,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
243452,271033,2016900032910001001,186620.652792552864412,139500.000000000000000,23400.000000000000000,,,,,12600.000000000000000,142200.000000000000000,144000.000000000000000,,,,,,,20169,SALINE
998217,1167256,2016900524910007001,165398.109068178688176,,25200.000000000000000,,,,900.000000000000000,,,,1800.000000000000000,,,,,,20169,SALINE
998218,1167257,2016900520050001001,122732.458506253984524,,,8100.000000000000000,1800.000000000000000,,9900.000000000000000,,900.000000000000000,88200.000000000000000,81000.000000000000000,,,,40768.000000000000000,,20169,SALINE
998219,1167258,2016900018900003001,130057.517551708151586,,900.000000000000000,18900.000000000000000,17100.000000000000000,25200.000000000000000,,,,,,,,,,,20169,SALINE
998220,1167259,2016900027090002001,151754.440931542339968,,11700.000000000000000,,,2700.000000000000000,,,,900.000000000000000,,,,900.000000000000000,,,20169,SALINE
998221,1167260,2016900021760004001,377991.987083584594075,1800.000000000000000,,5400.000000000000000,,18000.000000000000000,900.000000000000000,,900.000000000000000,317700.000000000000000,,28800.000000000000000,344700.000000000000000,6300.000000000000000,25088.000000000000000,100352.000000000000000,20169,SALINE
998222,1167261,2016900009700001001,172762.731656439776998,2700.000000000000000,2700.000000000000000,4500.000000000000000,,,,,,,,,,,,,20169,SALINE
998223,1167262,2016900014870001001,95301.752096448908560,,,22500.000000000000000,,,900.000000000000000,,,,,,,,,,20169,SALINE
998224,1167263,2016900000220002001,360986.604919171193615,,10800.000000000000000,21600.000000000000000,,,,,,,30600.000000000000000,312300.000000000000000,338400.000000000000000,,,,20169,SALINE
998225,1167264,2016900020090001001,453401.787433400691953,,9000.000000000000000,6300.000000000000000,,,7200.000000000000000,108900.000000000000000,312300.000000000000000,,,,,,,,20169,SALINE
998226,1167265,2016900014870003001,48462.243121165578486,3600.000000000000000,,3600.000000000000000,,,,,,,,,,,,,20169,SALINE
998227,1167266,2016900032470002001,96372.418569356610533,900.000000000000000,,14400.000000000000000,,6300.000000000000000,,9000.000000000000000,75600.000000000000000,,,1800.000000000000000,900.000000000000000,27000.000000000000000,,,20169,SALINE
998228,1167267,2016900517380001001,307395.232456971425563,2700.000000000000000,6300.000000000000000,3600.000000000000000,,1800.000000000000000,3600.000000000000000,10800.000000000000000,,,,900.000000000000000,,,,,20169,SALINE
998229,1167268,2016900028530001001,305298.847003058122937,279000.000000000000000,269100.000000000000000,11700.000000000000000,,,,,,4500.000000000000000,41400.000000000000000,1800.000000000000000,900.000000000000000,,65856.000000000000000,,20169,SALINE
998230,1167269,2016900020130001001,246402.802514149807394,,1800.000000000000000,13500.000000000000000,,,,,,49500.000000000000000,35100.000000000000000,13500.000000000000000,,,12544.000000000000000,56448.000000000000000,20169,SALINE
998231,1167270,2016900010340001001,183183.268026352365268,,900.000000000000000,16200.000000000000000,9900.000000000000000,,,,,,,,,,,,20169,SALINE
998232,1167271,2016900029230006001,117679.795399560724036,40500.000000000000000,71100.000000000000000,80100.000000000000000,63000.000000000000000,101700.000000000000000,105300.000000000000000,,900.000000000000000,,,900.000000000000000,,75600.000000000000000,3136.000000000000000,37632.000000000000000,20169,SALINE
998233,1167272,2016900009710003001,210728.394147295068251,,,,,,,,,,,,,,3136.000000000000000,31360.000000000000000,20169,SALINE
998234,1167273,2016900022240001001,200414.066523162095109,900.000000000000000,,149400.000000000000000,,,,,2700.000000000000000,5400.000000000000000,45000.000000000000000,9900.000000000000000,,900.000000000000000,,,20169,SALINE
998235,1167274,2016900009680001001,119239.236719940206967,,2700.000000000000000,,900.000000000000000,,,,,,,,,,,,20169,SALINE
998236,1167275,2016900021010001001,410108.369469298922922,,,5400.000000000000000,3600.000000000000000,4500.000000000000000,1800.000000000000000,9900.000000000000000,,25200.000000000000000,,,,,,,20169,SALINE
998237,1167276,2016900526380002001,191830.429531551431865,48600.000000000000000,41400.000000000000000,10800.000000000000000,,3600.000000000000000,,900.000000000000000,9000.000000000000000,37800.000000000000000,45900.000000000000000,18000.000000000000000,44100.000000000000000,37800.000000000000000,,,20169,SALINE
998238,1167277,2016900018180002001,57203.203384431195445,5400.000000000000000,,,,1800.000000000000000,,,,,900.000000000000000,,,,,,20169,SALINE
998239,1167278,2016900517940002001,199764.651759270171169,63000.000000000000000,59400.000000000000000,37800.000000000000000,,900.000000000000000,,,,,,76500.000000000000000,164700.000000000000000,176400.000000000000000,166208.000000000000000,,20169,SALINE
998240,1167279,2016900010790002001,99398.394816015177639,45000.000000000000000,23400.000000000000000,20700.000000000000000,10800.000000000000000,14400.000000000000000,5400.000000000000000,,14400.000000000000000,9900.000000000000000,1800.000000000000000,2700.000000000000000,,,,31360.000000000000000,20169,SALINE
998241,1167280,2016900032610001001,184278.316077019204386,,,,,9000.000000000000000,,,130500.000000000000000,12600.000000000000000,,,,154800.000000000000000,6272.000000000000000,,20169,SALINE
