,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
332893,367210,2017502018720001001,639827.963943922426552,,,602100.000000000000000,,,,,,,,,583200.000000000000000,,,,20175,SEWARD
333009,367327,2017520189450001001,233775.331355432601413,,,900.000000000000000,213300.000000000000000,,900.000000000000000,,13500.000000000000000,167400.000000000000000,,5400.000000000000000,170100.000000000000000,2700.000000000000000,12544.000000000000000,43904.000000000000000,20175,SEWARD
333089,367408,2017520189230001001,34980.084514734393451,3600.000000000000000,1800.000000000000000,900.000000000000000,900.000000000000000,,900.000000000000000,,,5400.000000000000000,4500.000000000000000,19800.000000000000000,,,,,20175,SEWARD
333090,367409,2017520189270008001,31339.479605674976483,,,1800.000000000000000,2700.000000000000000,2700.000000000000000,900.000000000000000,,1800.000000000000000,,900.000000000000000,,,2700.000000000000000,,,20175,SEWARD
333172,367492,2017500042390001001,145356.937098480062559,1800.000000000000000,93600.000000000000000,102600.000000000000000,,900.000000000000000,106200.000000000000000,91800.000000000000000,900.000000000000000,,53100.000000000000000,,,115200.000000000000000,,,20175,SEWARD
333207,367528,2017520189300006001,39199.123778128123377,,,2700.000000000000000,2700.000000000000000,900.000000000000000,900.000000000000000,1800.000000000000000,3600.000000000000000,900.000000000000000,900.000000000000000,,,900.000000000000000,,,20175,SEWARD
333595,367918,2017500042390001002,136420.839793789054966,,2700.000000000000000,10800.000000000000000,,12600.000000000000000,7200.000000000000000,,,,,,,,,,20175,SEWARD
333663,367986,2017520189470001001,249206.769685039558681,,1800.000000000000000,225900.000000000000000,1800.000000000000000,,4500.000000000000000,2700.000000000000000,226800.000000000000000,900.000000000000000,118800.000000000000000,237600.000000000000000,,46800.000000000000000,200704.000000000000000,,20175,SEWARD
333667,367990,2017520189480001001,270183.383830610837322,123300.000000000000000,8100.000000000000000,2700.000000000000000,3600.000000000000000,27900.000000000000000,18000.000000000000000,,253800.000000000000000,1800.000000000000000,54900.000000000000000,197100.000000000000000,,34200.000000000000000,50176.000000000000000,81536.000000000000000,20175,SEWARD
333992,368315,2017520189770010001,483483.380823378043715,,,17100.000000000000000,,1800.000000000000000,,900.000000000000000,4500.000000000000000,3600.000000000000000,900.000000000000000,,1800.000000000000000,,,,20175,SEWARD
334220,368546,2017520189230001002,31154.101645965271018,2700.000000000000000,,,,,,,4500.000000000000000,5400.000000000000000,3600.000000000000000,18000.000000000000000,,900.000000000000000,,,20175,SEWARD
334247,368573,2017520189760015001,31994.684074195865833,900.000000000000000,,2700.000000000000000,,,,,1800.000000000000000,,1800.000000000000000,,,1800.000000000000000,,,20175,SEWARD
334248,368574,2017520189390001001,475237.904730726440903,16200.000000000000000,11700.000000000000000,452700.000000000000000,417600.000000000000000,12600.000000000000000,2700.000000000000000,34200.000000000000000,455400.000000000000000,6300.000000000000000,,422100.000000000000000,12600.000000000000000,2700.000000000000000,,,20175,SEWARD
334547,368877,2017520189820001001,184061.841129355510930,2700.000000000000000,56700.000000000000000,,,162900.000000000000000,,,99900.000000000000000,900.000000000000000,10800.000000000000000,900.000000000000000,,900.000000000000000,,,20175,SEWARD
334615,368946,2017520189450001002,224666.890080094017321,,,198900.000000000000000,6300.000000000000000,,,7200.000000000000000,220500.000000000000000,,27900.000000000000000,207000.000000000000000,,13500.000000000000000,188160.000000000000000,,20175,SEWARD
334673,369004,2017520189360001003,1012486.127880316693336,14400.000000000000000,22500.000000000000000,31500.000000000000000,6300.000000000000000,14400.000000000000000,133200.000000000000000,21600.000000000000000,27000.000000000000000,11700.000000000000000,2700.000000000000000,2700.000000000000000,,9000.000000000000000,,25088.000000000000000,20175,SEWARD
334800,369133,2017520189330001001,641554.587192617240362,,,,,,,,,,,,,,,,20175,SEWARD
334866,369200,2017520189320004003,38559.993447735520022,,,900.000000000000000,900.000000000000000,,900.000000000000000,,2700.000000000000000,,1800.000000000000000,,,,,,20175,SEWARD
335010,369367,2017520189290001001,1000399.844667249009944,1800.000000000000000,2700.000000000000000,12600.000000000000000,13500.000000000000000,5400.000000000000000,12600.000000000000000,,6300.000000000000000,2700.000000000000000,2700.000000000000000,,19800.000000000000000,7200.000000000000000,,15680.000000000000000,20175,SEWARD
335057,369414,2017500042470001003,34281.201176202004717,,1800.000000000000000,,,,,,,900.000000000000000,,,,,,,20175,SEWARD
335191,369549,2017520189730001002,480746.956144661118742,1800.000000000000000,,1800.000000000000000,7200.000000000000000,900.000000000000000,,,3600.000000000000000,,2700.000000000000000,,4500.000000000000000,20700.000000000000000,,3136.000000000000000,20175,SEWARD
335359,369719,2017520189530001001,161189.263752340950305,21600.000000000000000,9900.000000000000000,12600.000000000000000,4500.000000000000000,24300.000000000000000,2700.000000000000000,52200.000000000000000,900.000000000000000,42300.000000000000000,26100.000000000000000,1800.000000000000000,23400.000000000000000,32400.000000000000000,3136.000000000000000,3136.000000000000000,20175,SEWARD
335384,369744,2017520189320004005,31773.242686947538459,,,1800.000000000000000,1800.000000000000000,,,,2700.000000000000000,,3600.000000000000000,,,,,,20175,SEWARD
335464,369826,2017520189800017001,498026.511706317774951,,460800.000000000000000,3600.000000000000000,,,1800.000000000000000,900.000000000000000,2700.000000000000000,,1800.000000000000000,,3600.000000000000000,4500.000000000000000,,,20175,SEWARD
335497,369860,2017520189780022001,28333.918382870971982,,,,,,,,,,6300.000000000000000,,,,,,20175,SEWARD
