,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
161081,177978,2018100107090001001,114168.231096624454949,6300.000000000000000,,14400.000000000000000,2700.000000000000000,900.000000000000000,900.000000000000000,1800.000000000000000,9900.000000000000000,900.000000000000000,46800.000000000000000,,,,3136.000000000000000,15680.000000000000000,20181,SHERMAN
161118,178015,2018100107090001002,22810.416647906837170,,,,,,,,,,900.000000000000000,,,,,,20181,SHERMAN
162389,179300,2018100107090001003,506104.301769784244243,,900.000000000000000,,,,5400.000000000000000,1800.000000000000000,9900.000000000000000,,6300.000000000000000,1800.000000000000000,,3600.000000000000000,,341824.000000000000000,20181,SHERMAN
163593,180519,2018100107090001004,94561.279585498676170,5400.000000000000000,,6300.000000000000000,,900.000000000000000,2700.000000000000000,1800.000000000000000,14400.000000000000000,,42300.000000000000000,,,,,6272.000000000000000,20181,SHERMAN
163621,180547,2018100107090001005,264973.649001464596950,,,,,,,,,,,,,8100.000000000000000,,112896.000000000000000,20181,SHERMAN
163678,180604,2018120193460001002,651933.991294975159690,,900.000000000000000,584100.000000000000000,1800.000000000000000,,1800.000000000000000,,,,,,,594900.000000000000000,84672.000000000000000,,20181,SHERMAN
163919,180845,2018100107090001006,239957.392690130538540,,,5400.000000000000000,,900.000000000000000,900.000000000000000,900.000000000000000,9900.000000000000000,,6300.000000000000000,900.000000000000000,,2700.000000000000000,,172480.000000000000000,20181,SHERMAN
262464,291231,2018100806310012001,211179.596070775529370,,,,,,,,,,,,,,,,20181,SHERMAN
262803,291597,2018100000480001001,5926.691799036690099,,,,,,,,,,,,,,,,20181,SHERMAN
262954,291819,2018108063140001001,372784.403528731490951,,,,,3600.000000000000000,,900.000000000000000,23400.000000000000000,,,,13500.000000000000000,900.000000000000000,,87808.000000000000000,20181,SHERMAN
263266,292164,2018100104510002001,28663.769073092815233,,,,,,,,,,,,,,,,20181,SHERMAN
263485,292403,2018100001370006001,60662.569863456570602,,,,,,,,,,,,,,,,20181,SHERMAN
263618,292558,2018100096320003001,40062.465840860735625,,,,,,,,,,,,,,,,20181,SHERMAN
264434,293463,2018100096320003002,45619.385823928969330,,,,,,,,,,,,,,,,20181,SHERMAN
265028,294106,2018100005270001002,8990.342538817205423,,,,,,,,,,,,,1800.000000000000000,,,20181,SHERMAN
265029,294106,2018100005270001002,7831.204549795041203,,,,,,,,,,,,,1800.000000000000000,,,20181,SHERMAN
