,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
867332,1017545,2018303106110044001,300961.021493647887837,,,,,,,,,,,,,,,,20183,SMITH
867333,1017546,2018303106110045001,36071.384396211607964,,,,,,,,,,,,,,,,20183,SMITH
867334,1017547,2018303118110003001,144900.312590173591161,,,,,,,,,,,,,3600.000000000000000,,,20183,SMITH
867335,1017548,2018300000250001001,290742.558792354655452,,,,,,,,,,900.000000000000000,,,,,,20183,SMITH
867336,1017549,2018300003370004001,515923.382980555354152,,,,,,,,,,,,,,,,20183,SMITH
867337,1017550,2018300009520001001,999656.578308587893844,,,,,,,,,,,900.000000000000000,,,,,20183,SMITH
867338,1017551,2018300003350005001,672891.437460451386869,1800.000000000000000,900.000000000000000,,,,,,,,,,,,,,20183,SMITH
867339,1017552,2018331181110016001,156147.091447826707736,6300.000000000000000,6300.000000000000000,2700.000000000000000,1800.000000000000000,,,,2700.000000000000000,,,,,,,,20183,SMITH
867340,1017553,2018300002480002001,1276983.763048876542598,,,900.000000000000000,,900.000000000000000,,,,900.000000000000000,,,,,,,20183,SMITH
867341,1017554,2018331181110007001,357331.245785444276407,,,,,,,,,,,,,,,,20183,SMITH
867342,1017555,2018300001500007001,127240.263014903976000,,,,,,,,,,,,,,,,20183,SMITH
867343,1017556,2018300001500012001,1576164.140023080864921,,900.000000000000000,,,3600.000000000000000,1800.000000000000000,,,,,900.000000000000000,3600.000000000000000,,,,20183,SMITH
867344,1017557,2018300008360001001,631349.207451543305069,,,,,,,,,,,,,,,,20183,SMITH
867345,1017558,2018331181110009001,84695.341666639535106,,,,,,,,,,,,,,,,20183,SMITH
867346,1017560,2018303106110047001,230229.278156442305772,,,,,,,,,,,2700.000000000000000,900.000000000000000,,,,20183,SMITH
