,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
878601,1032817,2018700018720002001,14325.118996346132917,9000.000000000000000,,,2700.000000000000000,,,,9000.000000000000000,,,,,,,,20187,STANTON
878602,1032818,2018700006160002001,602878.245172221446410,76500.000000000000000,,,12600.000000000000000,,,17100.000000000000000,,,,,,5400.000000000000000,,3136.000000000000000,20187,STANTON
878603,1032819,2018700001610002001,312086.317829628067557,7200.000000000000000,900.000000000000000,4500.000000000000000,2700.000000000000000,,3600.000000000000000,,19800.000000000000000,,900.000000000000000,,900.000000000000000,16200.000000000000000,,,20187,STANTON
878604,1032820,2018700025590001001,634638.445239432970993,,,,,,,900.000000000000000,,,,,,14400.000000000000000,,,20187,STANTON
878605,1032821,2018700002570001001,1276477.208124174270779,,,,1800.000000000000000,,,900.000000000000000,,,,,,23400.000000000000000,,,20187,STANTON
878606,1032822,2018702007520004001,21709.147839531153295,,,,,,,900.000000000000000,,1800.000000000000000,,,,,,,20187,STANTON
878607,1032823,2018702007520006001,13385.722755180819149,,,,,,,,,900.000000000000000,,,,,,,20187,STANTON
878608,1032824,2018702007520007001,59777.293607521496597,,,,,,,900.000000000000000,,,1800.000000000000000,,,1800.000000000000000,,,20187,STANTON
878609,1032825,2018702007520008001,26292.944270555526600,,,,,,5400.000000000000000,,12600.000000000000000,,2700.000000000000000,,,,,,20187,STANTON
878610,1032826,2018700000350001001,9419.480284620336533,,,,,,,,,,,,,,,,20187,STANTON
878611,1032827,2018702007510002001,325471.400702987739351,900.000000000000000,,,900.000000000000000,,,5400.000000000000000,5400.000000000000000,,,,,1800.000000000000000,,3136.000000000000000,20187,STANTON
878612,1032828,2018700002820003001,1166008.110962877981365,5400.000000000000000,,9900.000000000000000,2700.000000000000000,,13500.000000000000000,1800.000000000000000,10800.000000000000000,3600.000000000000000,1800.000000000000000,,,261000.000000000000000,,,20187,STANTON
878613,1032829,2018700002820002001,122202.697690911518293,,,,,,,,,,,,,8100.000000000000000,,,20187,STANTON
878614,1032830,2018700005320001001,30794.939850817390834,,,1800.000000000000000,,,,,,,,,,,,,20187,STANTON
