,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
214207,238109,2018902012910001001,212527.771768570528366,,,210600.000000000000000,,,211500.000000000000000,,10800.000000000000000,153000.000000000000000,9000.000000000000000,190800.000000000000000,,3600.000000000000000,178752.000000000000000,40768.000000000000000,20189,STEVENS
214240,238142,2018902012930001001,448800.688012008322403,,,417600.000000000000000,,10800.000000000000000,421200.000000000000000,1800.000000000000000,4500.000000000000000,,900.000000000000000,,59400.000000000000000,8100.000000000000000,65856.000000000000000,,20189,STEVENS
214308,238210,2018900017730005001,649563.060312431538478,3600.000000000000000,,,,,,,,,,900.000000000000000,,,,,20189,STEVENS
214431,238427,2018902012970002001,322699.302147707610857,,,323100.000000000000000,,,324000.000000000000000,900.000000000000000,12600.000000000000000,292500.000000000000000,153900.000000000000000,,,9900.000000000000000,,81536.000000000000000,20189,STEVENS
214455,238451,2018920129230001001,38045.244610396832286,2700.000000000000000,,,4500.000000000000000,,7200.000000000000000,20700.000000000000000,12600.000000000000000,2700.000000000000000,1800.000000000000000,18000.000000000000000,18900.000000000000000,26100.000000000000000,,3136.000000000000000,20189,STEVENS
214536,238532,2018902012910001003,215851.371890836104285,148500.000000000000000,1800.000000000000000,63000.000000000000000,145800.000000000000000,,65700.000000000000000,2700.000000000000000,,1800.000000000000000,108000.000000000000000,17100.000000000000000,93600.000000000000000,900.000000000000000,3136.000000000000000,28224.000000000000000,20189,STEVENS
214619,238615,2018900017730010001,501861.003824556188192,,,21600.000000000000000,900.000000000000000,,202500.000000000000000,,5400.000000000000000,,,900.000000000000000,18900.000000000000000,4500.000000000000000,3136.000000000000000,,20189,STEVENS
214643,238639,2018920129250001001,33975.644573816673073,1800.000000000000000,,,,,,,7200.000000000000000,3600.000000000000000,,,,,,,20189,STEVENS
214783,238780,2018920129130001001,392122.458183298469521,3600.000000000000000,900.000000000000000,12600.000000000000000,1800.000000000000000,,900.000000000000000,900.000000000000000,9900.000000000000000,5400.000000000000000,,2700.000000000000000,,,,,20189,STEVENS
214896,238894,2018902012960001001,320183.862910599214956,,310500.000000000000000,,,305100.000000000000000,,,305100.000000000000000,1800.000000000000000,1800.000000000000000,,190800.000000000000000,,3136.000000000000000,235200.000000000000000,20189,STEVENS
214899,238897,2018920129120002001,62621.916066392870562,,,,,,,,,,,,,5400.000000000000000,,9408.000000000000000,20189,STEVENS
214934,238933,2018920129110001001,436097.781430341128726,2700.000000000000000,4500.000000000000000,17100.000000000000000,900.000000000000000,1800.000000000000000,6300.000000000000000,6300.000000000000000,21600.000000000000000,1800.000000000000000,20700.000000000000000,,,10800.000000000000000,,,20189,STEVENS
214984,238983,2018900017730008001,314605.874407317664009,309600.000000000000000,,900.000000000000000,36900.000000000000000,,,297900.000000000000000,,18900.000000000000000,45000.000000000000000,,,70200.000000000000000,,31360.000000000000000,20189,STEVENS
215003,239002,2018902012940001001,633214.344212730182335,,,1800.000000000000000,,,,4500.000000000000000,,,1800.000000000000000,,,1800.000000000000000,,,20189,STEVENS
215274,239275,2018900017730009001,78772.462241404995439,2700.000000000000000,900.000000000000000,18000.000000000000000,,,,900.000000000000000,2700.000000000000000,900.000000000000000,,20700.000000000000000,,,,,20189,STEVENS
