,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
102332,113706,2019702006150005001,34280.450857798256038,,,,,,,,,,,,,,,,20197,WABAUNSEE
102567,113963,2019702006110003001,54291.068741919661989,,,,,,,,,,,3600.000000000000000,,,,,20197,WABAUNSEE
102858,114423,2019702006150011001,90174.433439388289116,,,,,,,,,,,,,,,,20197,WABAUNSEE
102864,114430,2019702006110003002,17796.204867715987348,,,,,,,,,,,,,,,,20197,WABAUNSEE
102977,114552,2019702006140003001,4779.217334600337381,,,,,,,,,,,,,,,,20197,WABAUNSEE
103095,114681,2019702006110003003,10377.086522640312978,,,,,900.000000000000000,,,,,,,,,,,20197,WABAUNSEE
103219,114813,2019702006110003004,184302.848263383115409,,,,,900.000000000000000,,,,900.000000000000000,,900.000000000000000,,,,,20197,WABAUNSEE
103447,115064,2019702006150008001,21400.535159081951861,,,,,,,,,,,,,,,,20197,WABAUNSEE
103972,115646,2019702006110007001,239152.227197362692095,,,17100.000000000000000,,1800.000000000000000,,,,,,2700.000000000000000,,1800.000000000000000,,178752.000000000000000,20197,WABAUNSEE
103996,115672,2019702006140002001,52999.540491069434211,8100.000000000000000,27000.000000000000000,,1800.000000000000000,14400.000000000000000,25200.000000000000000,,19800.000000000000000,,,,,,,,20197,WABAUNSEE
104073,115753,2019702006110005001,19900.090402228168387,,,,,,,,,,,,,,,6272.000000000000000,20197,WABAUNSEE
104083,115763,2019702006140001001,12698.054631477481962,1800.000000000000000,5400.000000000000000,,900.000000000000000,4500.000000000000000,900.000000000000000,,,,,,,,,,20197,WABAUNSEE
104375,116082,2019702006150009001,9333.834125355333526,,,,,,,,,,,,,,,,20197,WABAUNSEE
168583,186395,2019702011120003001,244386.782038402685430,,900.000000000000000,,,,,,900.000000000000000,,,,,,,,20197,WABAUNSEE
168645,186460,2019720111180003001,41553.747182419421733,,,,900.000000000000000,,900.000000000000000,,,,,,900.000000000000000,4500.000000000000000,,,20197,WABAUNSEE
168772,186594,2019720111130002001,339211.923251395870466,,,,,,,,,,,,,,,,20197,WABAUNSEE
168875,186701,2019720111120001001,36700.272091798833571,1800.000000000000000,,,,,,,900.000000000000000,,,,,,,,20197,WABAUNSEE
169111,186947,2019702011130002001,140909.213670858996920,,10800.000000000000000,,,,,,,,,,,,,,20197,WABAUNSEE
169120,186956,2019720111140003001,25217.494549805131101,8100.000000000000000,3600.000000000000000,,,,900.000000000000000,,,,,,,,,,20197,WABAUNSEE
169131,186969,2019702011120014001,8890.159584187733344,,,,,,,,,,,,,,,,20197,WABAUNSEE
169285,187129,2019702011120007001,28053.025222049014701,,,,,,,,,,,,,,,,20197,WABAUNSEE
169535,187393,2019720111110001001,36748.780919849246857,,,,,,,,,,,,,,,,20197,WABAUNSEE
169659,187520,2019702011140006001,58011.115052874869434,900.000000000000000,9000.000000000000000,,,,,,,,,,,,,,20197,WABAUNSEE
170280,188187,2019702011150008001,44107.012044203132973,,,,,,,,,,,,,,,,20197,WABAUNSEE
170356,188269,2019720111110002001,45999.886281392005912,,,,,,,,,,,,,,,,20197,WABAUNSEE
170460,188381,2019702011130001001,349639.548701687715948,,,,,,,,,,,,,,,,20197,WABAUNSEE
170588,188563,2019702011140003001,55491.182541513160686,900.000000000000000,,,,,,,,,,,,,,,20197,WABAUNSEE
170659,188638,2019702011140020001,23617.374191474387771,,,,,,,,,,,,,,,,20197,WABAUNSEE
