,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
111298,123326,2019920071300001001,322476.034318482154049,2700.000000000000000,9000.000000000000000,,,,4500.000000000000000,,,,,,,,,,20199,WALLACE
111305,123333,2019920071360001001,643038.369121753377840,,,,2700.000000000000000,,900.000000000000000,,900.000000000000000,,,,,,,,20199,WALLACE
111312,123340,2019902007180001001,312144.505684660281986,,,,,,,,312300.000000000000000,,,,,,,,20199,WALLACE
111354,123382,2019920071800001001,1254475.186874419916421,,15300.000000000000000,137700.000000000000000,,32400.000000000000000,60300.000000000000000,,,,,18000.000000000000000,,,,,20199,WALLACE
111382,123411,2019920071590001001,514866.260183260368649,1800.000000000000000,,3600.000000000000000,,,47700.000000000000000,15300.000000000000000,8100.000000000000000,14400.000000000000000,,,,,,6272.000000000000000,20199,WALLACE
111391,123420,2019920071780001001,96922.319019746675622,1800.000000000000000,,1800.000000000000000,,,900.000000000000000,15300.000000000000000,900.000000000000000,,,,9000.000000000000000,,,3136.000000000000000,20199,WALLACE
111399,123428,2019920071230006001,35930.414921417323058,900.000000000000000,,,2700.000000000000000,,2700.000000000000000,900.000000000000000,1800.000000000000000,,,,,,,,20199,WALLACE
111403,123432,2019920071740001001,654934.074203772819601,,,,650700.000000000000000,,625500.000000000000000,,,,,,,,,,20199,WALLACE
111408,123437,2019920071530001001,33585.133105456043268,900.000000000000000,,,,,27000.000000000000000,,900.000000000000000,900.000000000000000,,7200.000000000000000,4500.000000000000000,1800.000000000000000,6272.000000000000000,3136.000000000000000,20199,WALLACE
111420,123449,2019920071440001001,509474.990649510698859,1800.000000000000000,3600.000000000000000,,900.000000000000000,3600.000000000000000,63000.000000000000000,15300.000000000000000,9000.000000000000000,900.000000000000000,5400.000000000000000,6300.000000000000000,16200.000000000000000,27900.000000000000000,6272.000000000000000,12544.000000000000000,20199,WALLACE
111447,123476,2019920071230004001,33633.119602929735265,,,,900.000000000000000,900.000000000000000,,,3600.000000000000000,,,,,,,,20199,WALLACE
111503,123534,2019920071200001001,327409.371500176086556,,,,,,293400.000000000000000,,11700.000000000000000,,,,,,,,20199,WALLACE
111521,123552,2019902007170001001,309308.046433460549451,3600.000000000000000,,,,,4500.000000000000000,,1800.000000000000000,,,,,,,,20199,WALLACE
111562,123593,2019920071790002001,637518.842507658177055,393300.000000000000000,7200.000000000000000,26100.000000000000000,198000.000000000000000,626400.000000000000000,900.000000000000000,,2700.000000000000000,,,,619200.000000000000000,2700.000000000000000,529984.000000000000000,6272.000000000000000,20199,WALLACE
111629,123660,2019920071760002001,85636.441822624779888,,,38700.000000000000000,,78300.000000000000000,900.000000000000000,,,,13500.000000000000000,,2700.000000000000000,,,3136.000000000000000,20199,WALLACE
111640,123671,2019920071310003001,291266.142520099412650,,275400.000000000000000,,,,,,,,,,,,,3136.000000000000000,20199,WALLACE
111645,123676,2019920071730001001,641407.512691295938566,,,,633600.000000000000000,,630000.000000000000000,,,,27900.000000000000000,,,900.000000000000000,,,20199,WALLACE
