,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
30136,33266,2020102002960004001,5204.140863954826273,1800.000000000000000,,,2700.000000000000000,,900.000000000000000,,900.000000000000000,,900.000000000000000,,,,,,20201,WASHINGTON
30303,33458,2020120029130001001,127084.289412999365595,,900.000000000000000,,900.000000000000000,900.000000000000000,900.000000000000000,,,,,,,,,,20201,WASHINGTON
30312,33469,2020102002910002001,302657.638520229549613,,,,,900.000000000000000,9900.000000000000000,,1800.000000000000000,,900.000000000000000,,,7200.000000000000000,3136.000000000000000,3136.000000000000000,20201,WASHINGTON
30677,33888,2020120029100001001,69866.835687702987343,,,,,,900.000000000000000,,,,,,,,,,20201,WASHINGTON
30726,33943,2020102002960001001,456064.513492093072273,1800.000000000000000,,,13500.000000000000000,,119700.000000000000000,900.000000000000000,4500.000000000000000,,21600.000000000000000,51300.000000000000000,,,,6272.000000000000000,20201,WASHINGTON
30927,34176,2020120029130001002,70797.787772289957502,,,,900.000000000000000,900.000000000000000,6300.000000000000000,,,,900.000000000000000,,,,,,20201,WASHINGTON
30978,34237,2020120029130004001,107405.928784033370903,,,,,,,900.000000000000000,900.000000000000000,,,900.000000000000000,,,3136.000000000000000,3136.000000000000000,20201,WASHINGTON
31270,34563,2020120157100010001,32895.976584517920855,,,,,,,,,,,,,,,,20201,WASHINGTON
31623,34962,2020120029120002001,263384.898304382862989,,,,,,,,900.000000000000000,,17100.000000000000000,,,,3136.000000000000000,9408.000000000000000,20201,WASHINGTON
31678,35028,2020102002920011001,4596.208104820051631,900.000000000000000,,,,,,,,,,,,,,,20201,WASHINGTON
31909,35303,2020120029150007001,35530.664447294533602,,,,,,,,,,,,,,,,20201,WASHINGTON
32065,35489,2020120029130001003,10491.148623043927728,,900.000000000000000,,,,,,,,,,,,,,20201,WASHINGTON
32265,35726,2020102002920005001,6609.875830974095152,,,,,,,,,,,,1800.000000000000000,,,,20201,WASHINGTON
32367,35841,2020102002980002001,184787.731546012888430,,,,,,,,,,,900.000000000000000,,,,,20201,WASHINGTON
32474,35964,2020120029110001001,25083.394130369342747,,,,,,13500.000000000000000,,,9000.000000000000000,,900.000000000000000,14400.000000000000000,15300.000000000000000,,,20201,WASHINGTON
32715,36233,2020102002960004002,10327.809038472838438,,,,900.000000000000000,,,,,,,,,,,,20201,WASHINGTON
32944,36492,2020120029130002001,111701.344456571998307,,,900.000000000000000,,,,,,,,,2700.000000000000000,900.000000000000000,,,20201,WASHINGTON
33644,37387,2020102002970001001,31083.521815061005327,,,,,,,,,,,,,,12544.000000000000000,15680.000000000000000,20201,WASHINGTON
33681,37430,2020102002930005001,5210.470607531529822,900.000000000000000,,,,,,,,,,,,,,,20201,WASHINGTON
34206,38031,2020102002910003001,10005.957087950566347,1800.000000000000000,900.000000000000000,,,,,,,,,,,,,,20201,WASHINGTON
34217,38044,2020120029130001004,16641.440736154523620,,,,,,,,,900.000000000000000,,,,,,,20201,WASHINGTON
34656,38542,2020102002970002001,304996.131839214300271,,900.000000000000000,,,2700.000000000000000,,,,,7200.000000000000000,,,,,188160.000000000000000,20201,WASHINGTON
34757,38654,2020102002920001001,286612.362688070395961,,2700.000000000000000,11700.000000000000000,2700.000000000000000,5400.000000000000000,11700.000000000000000,,900.000000000000000,,5400.000000000000000,4500.000000000000000,82800.000000000000000,900.000000000000000,43904.000000000000000,3136.000000000000000,20201,WASHINGTON
34810,38716,2020102002930003001,105639.541616168295150,,,,,900.000000000000000,,,,,,,1800.000000000000000,2700.000000000000000,25088.000000000000000,6272.000000000000000,20201,WASHINGTON
35132,39073,2020120157100002001,129759.202632138185436,,,,,,,,,,,,,,,,20201,WASHINGTON
35436,39437,2020120029120001001,17085.212291836716759,,,,,,,,,,900.000000000000000,,,,,,20201,WASHINGTON
35923,39997,2020120157100013001,28946.581718300883949,,,,,,,,,,,,,,,,20201,WASHINGTON
36037,40125,2020120029120004001,10583.258249003269157,,,,,,,,,,4500.000000000000000,,,,,,20201,WASHINGTON
