,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
111404,123433,2020320071150001001,635604.273216013796628,,,17100.000000000000000,619200.000000000000000,6300.000000000000000,,603000.000000000000000,621000.000000000000000,900.000000000000000,900.000000000000000,549900.000000000000000,,,,,20203,WICHITA
111444,123473,2020320071360001001,39456.781459620688111,,,,,,3600.000000000000000,,,5400.000000000000000,1800.000000000000000,,900.000000000000000,,,6272.000000000000000,20203,WICHITA
111501,123532,2020320071320004001,262595.220594828540925,900.000000000000000,4500.000000000000000,27000.000000000000000,,7200.000000000000000,900.000000000000000,132300.000000000000000,176400.000000000000000,11700.000000000000000,3600.000000000000000,5400.000000000000000,900.000000000000000,9900.000000000000000,,3136.000000000000000,20203,WICHITA
111513,123544,2020320071360001002,505666.446607598976698,,12600.000000000000000,8100.000000000000000,26100.000000000000000,,38700.000000000000000,2700.000000000000000,34200.000000000000000,341100.000000000000000,207900.000000000000000,23400.000000000000000,1800.000000000000000,,,,20203,WICHITA
111517,123548,2020320071320004002,31853.409565564881632,,,900.000000000000000,,900.000000000000000,,,,,,,,,,,20203,WICHITA
111661,123692,2020320071210001001,591567.908931798185222,,,,5400.000000000000000,,,,,,,900.000000000000000,,,,,20203,WICHITA
111748,123779,2020320071320004004,27843.111066204692179,,900.000000000000000,,,7200.000000000000000,2700.000000000000000,,,,2700.000000000000000,,,,,,20203,WICHITA
111997,124030,2020302007190001001,1199472.042360952356830,,,,,644400.000000000000000,,458100.000000000000000,721800.000000000000000,,2700.000000000000000,,,,3136.000000000000000,235200.000000000000000,20203,WICHITA
112210,124243,2020302007190001003,318862.505753561330494,,,,,,309600.000000000000000,,900.000000000000000,,,,301500.000000000000000,,12544.000000000000000,6272.000000000000000,20203,WICHITA
112411,124445,2020320071370001001,641866.935900129028596,312300.000000000000000,315000.000000000000000,,306000.000000000000000,306000.000000000000000,900.000000000000000,,,619200.000000000000000,595800.000000000000000,,,,,232064.000000000000000,20203,WICHITA
112477,124511,2020320071320004005,40503.267273386001762,,,,,900.000000000000000,4500.000000000000000,1800.000000000000000,4500.000000000000000,,3600.000000000000000,,,,,,20203,WICHITA
112494,124529,2020320071160003001,242155.584311153012095,,1800.000000000000000,4500.000000000000000,3600.000000000000000,6300.000000000000000,,13500.000000000000000,,900.000000000000000,18900.000000000000000,,900.000000000000000,152100.000000000000000,,,20203,WICHITA
112514,124549,2020300027900001001,321908.607262134901248,281700.000000000000000,2700.000000000000000,,273600.000000000000000,1800.000000000000000,,,,,9900.000000000000000,,900.000000000000000,30600.000000000000000,,,20203,WICHITA
112531,124566,2020320071360001004,34707.457838174464996,,,900.000000000000000,,,2700.000000000000000,,,27900.000000000000000,5400.000000000000000,,2700.000000000000000,,,,20203,WICHITA
112642,124678,2020320071280002001,642137.784823794616386,,,595800.000000000000000,,603000.000000000000000,,9000.000000000000000,613800.000000000000000,,22500.000000000000000,,,589500.000000000000000,,15680.000000000000000,20203,WICHITA
112689,124725,2020320071190001001,641229.211186471162364,1800.000000000000000,,,,,900.000000000000000,1800.000000000000000,6300.000000000000000,,9900.000000000000000,,,,,,20203,WICHITA
112797,124833,2020320071300001001,646044.570079167373478,,,333900.000000000000000,900.000000000000000,5400.000000000000000,,,548100.000000000000000,,,567900.000000000000000,,,529984.000000000000000,3136.000000000000000,20203,WICHITA
112804,124840,2020300027900001002,325735.306605267222039,,285300.000000000000000,,,307800.000000000000000,,,4500.000000000000000,,,2700.000000000000000,,,,,20203,WICHITA
112919,124956,2020320071120001001,649111.824047870002687,,,3600.000000000000000,,601200.000000000000000,,,593100.000000000000000,,,1800.000000000000000,,,,3136.000000000000000,20203,WICHITA
112959,124996,2020320071310001001,1207751.513171650469303,3600.000000000000000,,,1095300.000000000000000,,,,,,17100.000000000000000,,,900.000000000000000,9408.000000000000000,,20203,WICHITA
113093,125130,2020320071360001005,37329.952202407534060,,,900.000000000000000,,,,900.000000000000000,,9900.000000000000000,,,,,,,20203,WICHITA
113176,125213,2020320071360001006,33839.239685433116392,,,,,,,,,13500.000000000000000,1800.000000000000000,6300.000000000000000,22500.000000000000000,,,,20203,WICHITA
113328,125365,2020320071230001001,644140.002018899889663,,,,,900.000000000000000,,,19800.000000000000000,7200.000000000000000,2700.000000000000000,,1800.000000000000000,,,,20203,WICHITA
113333,125370,2020320071340004001,639604.558234378462657,,,590400.000000000000000,,900.000000000000000,586800.000000000000000,39600.000000000000000,14400.000000000000000,117900.000000000000000,900.000000000000000,,,3600.000000000000000,,,20203,WICHITA
113453,125490,2020320071140001001,664124.740329812397249,900.000000000000000,1800.000000000000000,,1800.000000000000000,7200.000000000000000,,34200.000000000000000,634500.000000000000000,,4500.000000000000000,,,15300.000000000000000,,,20203,WICHITA
113471,125508,2020320071250001001,334387.712165172153618,,,,,,3600.000000000000000,,5400.000000000000000,333000.000000000000000,,,,,,15680.000000000000000,20203,WICHITA
113485,125522,2020320071130001001,655433.747691062628292,,52200.000000000000000,,,572400.000000000000000,3600.000000000000000,12600.000000000000000,57600.000000000000000,900.000000000000000,,900.000000000000000,,,,291648.000000000000000,20203,WICHITA
113507,125544,2020320071360001007,444683.348427449003793,,,9900.000000000000000,2700.000000000000000,2700.000000000000000,8100.000000000000000,44100.000000000000000,1800.000000000000000,4500.000000000000000,4500.000000000000000,40500.000000000000000,413100.000000000000000,19800.000000000000000,,6272.000000000000000,20203,WICHITA
113559,125614,2020320071360001008,38337.022805857617641,,900.000000000000000,,,,2700.000000000000000,,,29700.000000000000000,,,3600.000000000000000,,,,20203,WICHITA
113597,125652,2020320071160003002,347235.092219316225965,,,900.000000000000000,,318600.000000000000000,900.000000000000000,,45000.000000000000000,,71100.000000000000000,2700.000000000000000,,2700.000000000000000,18816.000000000000000,,20203,WICHITA
113684,125739,2020320071160003003,216553.467216771125095,,9000.000000000000000,34200.000000000000000,,1800.000000000000000,9000.000000000000000,,,44100.000000000000000,27900.000000000000000,,,199800.000000000000000,,,20203,WICHITA
113797,125852,2020320071160003004,373523.936455218819901,,,5400.000000000000000,2700.000000000000000,358200.000000000000000,85500.000000000000000,,,900.000000000000000,222300.000000000000000,,317700.000000000000000,4500.000000000000000,,,20203,WICHITA
113841,125896,2020320071220001001,632677.838193027768284,,,3600.000000000000000,,4500.000000000000000,595800.000000000000000,,1800.000000000000000,,4500.000000000000000,,,29700.000000000000000,25088.000000000000000,,20203,WICHITA
113931,125986,2020302007130001001,656793.350774789112620,161100.000000000000000,,,,,621000.000000000000000,,,,1800.000000000000000,,,,,,20203,WICHITA
