,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
602434,712254,2020700021060002001,243580.834136623423547,,,,,,,,,,,,,,,,20207,WOODSON
894517,1051873,2020700016080002001,629886.763243190245703,,,,,,,,,,,,,,,,20207,WOODSON
894518,1051874,2020700011910001001,1294110.029968485934660,,,,,,,,,,,,,,,,20207,WOODSON
894519,1051876,2020720031220005001,6373.884937854268173,,,,,,,,,,,,,,,,20207,WOODSON
894520,1051877,2020700066250001001,25098.014164515963785,,,,,,,,,,,,,,,,20207,WOODSON
894521,1051878,2020700066250002001,5697.399278990411403,,,,,,,,,,,,,,,,20207,WOODSON
894522,1051879,2020720031480005001,644975.389877969282679,,,,,,,,,,,,,,,,20207,WOODSON
894523,1051880,2020700012040001001,643525.504087511799298,,,,,,,,,,,,,,,,20207,WOODSON
894524,1051881,2020700011890001001,326434.292190638778266,,,,,,,,,,,,,,,,20207,WOODSON
894525,1051882,2020700001490010001,889230.168057628325187,,,,,,,,,,,,,,,,20207,WOODSON
894526,1051883,2020700069850014001,65191.091976777570380,,,,,,,,,,,,,,,,20207,WOODSON
894527,1051884,2020700069860007001,76290.153648044666625,,,,,,,,,,,,,,18816.000000000000000,,20207,WOODSON
894528,1051885,2020700069860012001,7269.730377922513071,,,,,,,,,,,,,,,,20207,WOODSON
894529,1051886,2020700069860006001,217664.902781633340055,,,,,,,,,15300.000000000000000,1800.000000000000000,,,,,,20207,WOODSON
894530,1051887,2020700069860008001,104630.716386634434457,,,,,,,,,,,,,,,,20207,WOODSON
894531,1051888,2020700069860004001,145604.347004209237639,,,,,,,,,,5400.000000000000000,,,,,,20207,WOODSON
894532,1051890,2020700001760009001,119718.314853502641199,,,,,,,,,14400.000000000000000,,,,,3136.000000000000000,,20207,WOODSON
894533,1051891,2020720031450002001,42008.200724951944721,,,,,,,,,,,,,,,,20207,WOODSON
894534,1051892,2020700011610001001,2572224.165949124377221,,,1800.000000000000000,,,,,,,,,,,,,20207,WOODSON
