,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
6194,6552,2000500021420001001,14371.780262593556472,,6300.000000000000000,,,10800.000000000000000,,8100.000000000000000,900.000000000000000,9000.000000000000000,,4500.000000000000000,,8100.000000000000000,,3136.000000000000000,20005,ATCHISON
6195,6554,2000500018750001001,212848.529014540283242,204300.000000000000000,,201600.000000000000000,,201600.000000000000000,,201600.000000000000000,900.000000000000000,189000.000000000000000,,189900.000000000000000,,199800.000000000000000,203840.000000000000000,,20005,ATCHISON
6196,6555,2000500022610007001,9456.466564456899505,,,,1800.000000000000000,,,,1800.000000000000000,2700.000000000000000,,1800.000000000000000,1800.000000000000000,3600.000000000000000,,,20005,ATCHISON
6197,6556,2000500018560008001,27269.924513833182573,2700.000000000000000,,1800.000000000000000,,,1800.000000000000000,1800.000000000000000,,,,,,,6272.000000000000000,,20005,ATCHISON
6198,6559,2000500023030001001,289377.115211184427608,298800.000000000000000,,296100.000000000000000,,280800.000000000000000,3600.000000000000000,295200.000000000000000,,287100.000000000000000,1800.000000000000000,266400.000000000000000,288900.000000000000000,12600.000000000000000,266560.000000000000000,,20005,ATCHISON
6199,6560,2000500023030005001,244746.836290232051397,22500.000000000000000,,243900.000000000000000,,244800.000000000000000,,243000.000000000000000,900.000000000000000,243000.000000000000000,,232200.000000000000000,900.000000000000000,243000.000000000000000,,225792.000000000000000,20005,ATCHISON
6200,6562,2000500012910001001,93824.293821686587762,,90000.000000000000000,1800.000000000000000,90900.000000000000000,900.000000000000000,54900.000000000000000,,5400.000000000000000,,80100.000000000000000,,73800.000000000000000,,78400.000000000000000,,20005,ATCHISON
6201,6563,2000500005140002001,179572.578178962081438,163800.000000000000000,900.000000000000000,162900.000000000000000,900.000000000000000,163800.000000000000000,,161100.000000000000000,27900.000000000000000,155700.000000000000000,900.000000000000000,138600.000000000000000,,148500.000000000000000,,159936.000000000000000,20005,ATCHISON
6202,6564,2000500025960003001,27564.755252786555502,,,,,,,,,,,,,,,,20005,ATCHISON
6203,6566,2000500005860001001,6976.920097293779691,,,,,,,,,,,,,,,,20005,ATCHISON
6204,6567,2000500000450001001,4471.691239085598681,,5400.000000000000000,,5400.000000000000000,,2700.000000000000000,,5400.000000000000000,,2700.000000000000000,,5400.000000000000000,,6272.000000000000000,3136.000000000000000,20005,ATCHISON
6205,6568,2000500013290004001,68045.233865113594220,,65700.000000000000000,,64800.000000000000000,,65700.000000000000000,,30600.000000000000000,,62100.000000000000000,,64800.000000000000000,,50176.000000000000000,,20005,ATCHISON
6206,6571,2000500025680001002,279035.022882973484229,265500.000000000000000,4500.000000000000000,268200.000000000000000,,268200.000000000000000,,266400.000000000000000,,255600.000000000000000,,265500.000000000000000,,264600.000000000000000,,285376.000000000000000,20005,ATCHISON
6207,6572,2000500023480001001,25751.547255034427508,25200.000000000000000,900.000000000000000,22500.000000000000000,900.000000000000000,20700.000000000000000,2700.000000000000000,23400.000000000000000,3600.000000000000000,23400.000000000000000,3600.000000000000000,18900.000000000000000,,23400.000000000000000,,21952.000000000000000,20005,ATCHISON
6208,6573,2000500007600003001,54983.776000607402239,900.000000000000000,53100.000000000000000,15300.000000000000000,53100.000000000000000,3600.000000000000000,53100.000000000000000,,54000.000000000000000,9900.000000000000000,53100.000000000000000,52200.000000000000000,53100.000000000000000,51300.000000000000000,53312.000000000000000,31360.000000000000000,20005,ATCHISON
6209,6574,2000500020480019001,24654.840272278739576,1800.000000000000000,6300.000000000000000,7200.000000000000000,900.000000000000000,7200.000000000000000,1800.000000000000000,5400.000000000000000,8100.000000000000000,9000.000000000000000,5400.000000000000000,,8100.000000000000000,1800.000000000000000,,,20005,ATCHISON
6210,6575,2000500018810001001,21193.970040857082495,16200.000000000000000,,16200.000000000000000,,16200.000000000000000,,15300.000000000000000,5400.000000000000000,14400.000000000000000,,11700.000000000000000,,6300.000000000000000,,,20005,ATCHISON
6211,6576,2000500006920011001,25778.715167787246173,20700.000000000000000,12600.000000000000000,,2700.000000000000000,,18000.000000000000000,,20700.000000000000000,,8100.000000000000000,1800.000000000000000,,,,6272.000000000000000,20005,ATCHISON
6212,6577,2000500020140002001,19186.290766338745016,20700.000000000000000,,11700.000000000000000,,11700.000000000000000,,10800.000000000000000,1800.000000000000000,6300.000000000000000,,,7200.000000000000000,,,,20005,ATCHISON
6213,6578,2000500010290008001,5005.584175906050405,,3600.000000000000000,900.000000000000000,3600.000000000000000,1800.000000000000000,900.000000000000000,,5400.000000000000000,,1800.000000000000000,,2700.000000000000000,,3136.000000000000000,,20005,ATCHISON
6214,6579,2000500005100004001,7592.618627833625396,3600.000000000000000,,2700.000000000000000,,2700.000000000000000,,3600.000000000000000,,1800.000000000000000,,1800.000000000000000,,1800.000000000000000,,3136.000000000000000,20005,ATCHISON
6215,6581,2000500016040006001,57155.008473401037918,57600.000000000000000,900.000000000000000,46800.000000000000000,,56700.000000000000000,,45000.000000000000000,900.000000000000000,45900.000000000000000,,34200.000000000000000,,2700.000000000000000,37632.000000000000000,,20005,ATCHISON
6216,6582,2000500024210014001,9520.512122796541007,1800.000000000000000,,,,,,1800.000000000000000,,,,,,,,,20005,ATCHISON
6217,6584,2000500022970002001,256629.172340576682473,900.000000000000000,141300.000000000000000,,130500.000000000000000,,,138600.000000000000000,78300.000000000000000,,9000.000000000000000,7200.000000000000000,,,,,20005,ATCHISON
6218,6585,2000500008380004001,312772.650018209242262,295200.000000000000000,,283500.000000000000000,900.000000000000000,18000.000000000000000,282600.000000000000000,,283500.000000000000000,,252000.000000000000000,,258300.000000000000000,2700.000000000000000,163072.000000000000000,,20005,ATCHISON
6219,6586,2000500018800009001,11682.240260709137146,,,,,1800.000000000000000,900.000000000000000,,2700.000000000000000,,,900.000000000000000,,,,,20005,ATCHISON
