,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
13581,15954,2000900003760001001,43812.718237087843590,,,,,,,,,,,,900.000000000000000,,,,20009,BARTON
13582,15955,2000900023060001001,58481.589103576108755,900.000000000000000,2700.000000000000000,,,8100.000000000000000,2700.000000000000000,,,24300.000000000000000,9000.000000000000000,1800.000000000000000,,1800.000000000000000,,3136.000000000000000,20009,BARTON
13583,15956,2000900076240006001,188887.289765363995684,,900.000000000000000,,,,,900.000000000000000,,,5400.000000000000000,18900.000000000000000,,,,,20009,BARTON
13584,15957,2000900013830001001,26952.484021752501576,,16200.000000000000000,,,,,18900.000000000000000,,,,,1800.000000000000000,,,,20009,BARTON
13585,15958,2000900061890002001,321946.686077096033841,900.000000000000000,121500.000000000000000,94500.000000000000000,900.000000000000000,102600.000000000000000,,59400.000000000000000,102600.000000000000000,,24300.000000000000000,126900.000000000000000,900.000000000000000,14400.000000000000000,,,20009,BARTON
13586,15959,2000900026260001001,38573.630835869415023,14400.000000000000000,1800.000000000000000,,,,,,33300.000000000000000,31500.000000000000000,,,,,,,20009,BARTON
13587,15960,2000900027860001001,90643.971183518442558,9900.000000000000000,,,,,,,,,,2700.000000000000000,,,,6272.000000000000000,20009,BARTON
13588,15961,2000900015700001001,84546.586874043554417,,,,,,,,,14400.000000000000000,900.000000000000000,,,,,,20009,BARTON
13589,15962,2000900026860001001,47541.631881407352921,900.000000000000000,8100.000000000000000,,1800.000000000000000,,,,,,1800.000000000000000,9000.000000000000000,,,,15680.000000000000000,20009,BARTON
13590,15963,2000900017140009001,221600.003718592401128,2700.000000000000000,900.000000000000000,64800.000000000000000,,,193500.000000000000000,900.000000000000000,,,200700.000000000000000,33300.000000000000000,,,,,20009,BARTON
13591,15964,2000900067450001001,287426.157936849864200,900.000000000000000,900.000000000000000,2700.000000000000000,,,,,7200.000000000000000,,,,,,,3136.000000000000000,20009,BARTON
13592,15965,2000900029170002001,29615.798636852650816,,,,1800.000000000000000,,1800.000000000000000,,,9000.000000000000000,,900.000000000000000,,,,,20009,BARTON
13593,15966,2000900003100002001,140071.502372445422225,,,,4500.000000000000000,,,124200.000000000000000,,,,,900.000000000000000,,,,20009,BARTON
13594,15967,2000900031650001001,26386.592011125107092,,,,,,,,,,,,,,,,20009,BARTON
13595,15968,2000900010950005001,96812.276881566984230,,,,,,,,54900.000000000000000,900.000000000000000,20700.000000000000000,18000.000000000000000,,,,,20009,BARTON
13596,15969,2000900023700013001,135172.236450222437270,,,,900.000000000000000,,,,,,,5400.000000000000000,,,,,20009,BARTON
13597,15970,2000900014470006001,33132.162619969632942,,,,21600.000000000000000,,,,,1800.000000000000000,,4500.000000000000000,,,,,20009,BARTON
13598,15971,2000900079670001001,73251.551690173146199,,900.000000000000000,900.000000000000000,,,,,,3600.000000000000000,,,1800.000000000000000,6300.000000000000000,,,20009,BARTON
13599,15972,2000900033530010001,42454.935733460166375,900.000000000000000,,,4500.000000000000000,,,,,23400.000000000000000,,,,,,,20009,BARTON
13600,15973,2000900000650002001,183852.429061619797722,,98100.000000000000000,,,,,,,,,,1800.000000000000000,,,,20009,BARTON
13601,15974,2000900075140002001,45792.752517793647712,,,,,,2700.000000000000000,,,,,,,,,,20009,BARTON
13602,15975,2000900031010001001,195613.630175140075153,183600.000000000000000,,183600.000000000000000,2700.000000000000000,162000.000000000000000,900.000000000000000,185400.000000000000000,900.000000000000000,,187200.000000000000000,1800.000000000000000,182700.000000000000000,,144256.000000000000000,47040.000000000000000,20009,BARTON
13603,15976,2000900027090001001,92075.249743845823104,,,,,,,,,,,10800.000000000000000,,,,,20009,BARTON
13604,15977,2000900013260005001,146190.122688545670826,31500.000000000000000,1800.000000000000000,11700.000000000000000,,,,57600.000000000000000,,8100.000000000000000,81900.000000000000000,9000.000000000000000,39600.000000000000000,2700.000000000000000,65856.000000000000000,62720.000000000000000,20009,BARTON
13605,15978,2000900073970005001,53765.536692017019959,,,47700.000000000000000,,,,16200.000000000000000,,23400.000000000000000,8100.000000000000000,,,4500.000000000000000,,,20009,BARTON
13606,15979,2000900012750004001,65197.334119057450152,,,,56700.000000000000000,3600.000000000000000,,,,,1800.000000000000000,,,,,,20009,BARTON
13607,15980,2000900065820001001,13009.124157546089918,,,,,,,,,1800.000000000000000,,,,,,,20009,BARTON
13608,15981,2000900080050001001,92646.918709377438063,,,,,,900.000000000000000,,,900.000000000000000,,,,,,3136.000000000000000,20009,BARTON
13610,15985,2000900032620001001,593001.564309267909266,,,576000.000000000000000,221400.000000000000000,4500.000000000000000,,,558900.000000000000000,900.000000000000000,,900.000000000000000,,,,,20009,BARTON
13611,15986,2000900016320002001,32264.557100355814327,900.000000000000000,4500.000000000000000,,,,18900.000000000000000,2700.000000000000000,,,,,,,,,20009,BARTON
13612,15987,2000900075550003001,39445.755324265759555,,,,,28800.000000000000000,2700.000000000000000,23400.000000000000000,,,,,,21600.000000000000000,,,20009,BARTON
13613,15988,2000900066810001001,85221.351203414204065,5400.000000000000000,9000.000000000000000,900.000000000000000,28800.000000000000000,,24300.000000000000000,900.000000000000000,,2700.000000000000000,2700.000000000000000,6300.000000000000000,900.000000000000000,5400.000000000000000,,,20009,BARTON
13614,15989,2000900068990003001,11346.898372681145702,,,,,,,3600.000000000000000,,,,,,,,,20009,BARTON
13615,15990,2000900019660011001,334516.942466436186805,,,,,,,,,,,,,,,,20009,BARTON
13616,15991,2000900030920003001,28875.974324124868872,,,,18900.000000000000000,900.000000000000000,900.000000000000000,,,,,,,,,,20009,BARTON
13617,15992,2000900060850001001,425661.591729693871457,393300.000000000000000,5400.000000000000000,,1800.000000000000000,,2700.000000000000000,,,,,389700.000000000000000,11700.000000000000000,900.000000000000000,,,20009,BARTON
13618,15993,2000900076620002001,15625.502883041588575,,,,,,,,,3600.000000000000000,,,,,,,20009,BARTON
13619,15994,2000900032910001001,80880.511204390553758,,,,,900.000000000000000,,,7200.000000000000000,,,2700.000000000000000,,,,,20009,BARTON
13620,15995,2000900064890012001,392013.113461790664587,,299700.000000000000000,2700.000000000000000,1800.000000000000000,,2700.000000000000000,,,102600.000000000000000,7200.000000000000000,900.000000000000000,,3600.000000000000000,,,20009,BARTON
13621,15996,2000900013530001001,241739.918955785979051,,,,,2700.000000000000000,,,3600.000000000000000,,,,130500.000000000000000,,,,20009,BARTON
13622,15997,2000900078750001001,230735.730953067133669,900.000000000000000,,,900.000000000000000,2700.000000000000000,,,,,1800.000000000000000,8100.000000000000000,900.000000000000000,900.000000000000000,,,20009,BARTON
13623,15998,2000900002290017001,22605.602837999027543,,,,,,,,,900.000000000000000,,,,,,,20009,BARTON
13624,15999,2000900010620006001,57604.866145918342227,,,,,,,,,,45000.000000000000000,1800.000000000000000,,900.000000000000000,,,20009,BARTON
13625,16000,2000900008300001001,177376.210355241375510,1800.000000000000000,4500.000000000000000,,900.000000000000000,11700.000000000000000,,,,7200.000000000000000,900.000000000000000,4500.000000000000000,,,,,20009,BARTON
13626,16001,2000900078770001001,56084.670307120533835,,,,,,,,,,,,,,,,20009,BARTON
13627,16002,2000900079270001001,72390.051463467345457,,,62100.000000000000000,,,,,,,,,,9000.000000000000000,,15680.000000000000000,20009,BARTON
13628,16003,2000900067420001001,33338.283586980091059,,,,,,,,,,,,,,,,20009,BARTON
13629,16004,2000900072990002001,118764.417138624601648,,,,9000.000000000000000,,,,,,,,,4500.000000000000000,,,20009,BARTON
13630,16005,2000900023830005001,115859.408134289478767,,,,116100.000000000000000,1800.000000000000000,,,,96300.000000000000000,11700.000000000000000,,,,,3136.000000000000000,20009,BARTON
13631,16006,2000900022240001001,322109.528880781726912,,,,,,,,,,900.000000000000000,,,,,,20009,BARTON
13632,16007,2000900068300004001,21118.813796886792261,,,,,,,,,2700.000000000000000,,,,,,,20009,BARTON
13633,16008,2000900004040002001,78431.804877182701603,,,,,,,,,,,,,,9408.000000000000000,,20009,BARTON
13634,16009,2000900027460006001,7110.801242429291960,,,,,,,,,,,,,,,,20009,BARTON
13635,16011,2000900002780011001,33101.607523586761090,,2700.000000000000000,900.000000000000000,900.000000000000000,,,900.000000000000000,,,,,,,,,20009,BARTON
