,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
611740,722895,2001100109860007001,204827.693500112509355,,,,,,,,,,,,,,,,20011,BOURBON
611741,722896,2001100105110012001,91140.418274511452182,,,,900.000000000000000,900.000000000000000,1800.000000000000000,,1800.000000000000000,,,4500.000000000000000,,,3136.000000000000000,,20011,BOURBON
611742,722897,2001100002130001001,181819.239374003984267,,,,,,,900.000000000000000,,,,,,,,,20011,BOURBON
611743,722898,2001100100640028001,57468.273531766506494,900.000000000000000,,,,,,,,,900.000000000000000,,,,,,20011,BOURBON
611744,722899,2001100104480011001,8255.284609309306688,,,,,,,,,,,,,,,,20011,BOURBON
611745,722900,2001100109860018001,7319.988347675295699,,,,,,,,,,,,,,,,20011,BOURBON
611746,722901,2001100105110015001,13273.086706145730204,,,,,,,,,,,,,,,,20011,BOURBON
611747,722902,2001100100640021001,13447.673295158785550,8100.000000000000000,,8100.000000000000000,,9900.000000000000000,,10800.000000000000000,,,,2700.000000000000000,7200.000000000000000,,9408.000000000000000,,20011,BOURBON
611748,722903,2001100100640023001,20701.003352315128723,1800.000000000000000,900.000000000000000,,900.000000000000000,6300.000000000000000,,,6300.000000000000000,,,4500.000000000000000,,2700.000000000000000,,9408.000000000000000,20011,BOURBON
611749,722904,2001100025420005001,119249.849486558945500,900.000000000000000,,,,,,,900.000000000000000,,,,,,,,20011,BOURBON
611750,722905,2001100025420001001,312276.293259051046334,5400.000000000000000,,,,,,,,,,,,,,,20011,BOURBON
611751,722906,2001100025420006001,14094.778899567643748,,,,,,,,900.000000000000000,,,,,,,,20011,BOURBON
611752,722907,2001100025420003001,4658.280085533227975,,,,,,,,,,,,,,,,20011,BOURBON
611753,722908,2001102010790006001,370991.039309642161243,,,,,,,6300.000000000000000,,,,,,,,,20011,BOURBON
611754,722909,2001102010790001001,20265.456499238978722,,,,,,,,,,,,,,,,20011,BOURBON
611755,722910,2001100001300001001,23252.166189906143700,,,900.000000000000000,,,,,,,,,,,,,20011,BOURBON
611756,722911,2001102010790025001,271668.233683633734472,,,,,,,,,,,,,,,,20011,BOURBON
611757,722912,2001100092840005001,206097.519664574792841,,,,,,,,,,,,,,,,20011,BOURBON
611758,722913,2001100092840002001,15470.340139767939036,,,,,,,,,,,,,,,,20011,BOURBON
611759,722914,2001102010790030001,37703.004758801267599,,,,,,,,,,,,,,,,20011,BOURBON
611760,722915,2001102010790035001,446970.339177223446313,,900.000000000000000,,,,,,1800.000000000000000,,,,,,,,20011,BOURBON
611761,722917,2001100092840004001,81565.870572300569620,,,,,,,,,,,,,,,,20011,BOURBON
611762,722918,2001102010790031001,53644.507000524077739,,,,,,,,,,,,,,,,20011,BOURBON
611763,722919,2001100000210008001,10454.691602722969037,900.000000000000000,,,,,,,,,,,,,,,20011,BOURBON
611764,722920,2001120107130050001,160079.957144959596917,2700.000000000000000,1800.000000000000000,,,2700.000000000000000,9900.000000000000000,6300.000000000000000,900.000000000000000,,,5400.000000000000000,,,,,20011,BOURBON
611765,722921,2001120107130051001,155760.249663774098735,144900.000000000000000,144900.000000000000000,144000.000000000000000,,143100.000000000000000,143100.000000000000000,144000.000000000000000,142200.000000000000000,,129600.000000000000000,117900.000000000000000,144900.000000000000000,,,,20011,BOURBON
611766,722922,2001100000450008001,69618.663076757846284,,,,,,,,,,,,,,,,20011,BOURBON
611767,722923,2001100002440009001,564524.899036882445216,,,,,,,900.000000000000000,,,,,,,,,20011,BOURBON
611768,722924,2001100002440001001,171431.463020252675051,,,,,,,,,,,,,,,,20011,BOURBON
611769,722925,2001100002440004001,9409.866382452522885,,,,,,,,,,,,,,,,20011,BOURBON
611770,722926,2001120107130041001,922143.100668004713953,6300.000000000000000,24300.000000000000000,2700.000000000000000,23400.000000000000000,20700.000000000000000,6300.000000000000000,27000.000000000000000,6300.000000000000000,14400.000000000000000,,18900.000000000000000,35100.000000000000000,22500.000000000000000,21952.000000000000000,6272.000000000000000,20011,BOURBON
611771,722927,2001120107130040001,282071.860592524986714,38700.000000000000000,249300.000000000000000,900.000000000000000,246600.000000000000000,175500.000000000000000,,212400.000000000000000,72000.000000000000000,169200.000000000000000,,205200.000000000000000,235800.000000000000000,233100.000000000000000,163072.000000000000000,,20011,BOURBON
611772,722928,2001120107130060001,102749.314010968606453,10800.000000000000000,99000.000000000000000,4500.000000000000000,99900.000000000000000,,900.000000000000000,55800.000000000000000,82800.000000000000000,,,58500.000000000000000,90900.000000000000000,77400.000000000000000,68992.000000000000000,6272.000000000000000,20011,BOURBON
611773,722929,2001100100640026001,6105.216228816829243,900.000000000000000,,900.000000000000000,,2700.000000000000000,,,,,,1800.000000000000000,900.000000000000000,,,,20011,BOURBON
611774,722930,2001100106180003001,201754.321459345752373,,,,,,,1800.000000000000000,,900.000000000000000,,,,,,,20011,BOURBON
611775,722931,2001100000070001001,53253.560414674793719,55800.000000000000000,55800.000000000000000,55800.000000000000000,8100.000000000000000,,55800.000000000000000,54000.000000000000000,18000.000000000000000,,,50400.000000000000000,50400.000000000000000,46800.000000000000000,28224.000000000000000,,20011,BOURBON
611776,722932,2001100000070011001,178737.583690757019212,27000.000000000000000,12600.000000000000000,24300.000000000000000,13500.000000000000000,6300.000000000000000,10800.000000000000000,14400.000000000000000,15300.000000000000000,4500.000000000000000,,9900.000000000000000,13500.000000000000000,6300.000000000000000,3136.000000000000000,9408.000000000000000,20011,BOURBON
611777,722933,2001100100640015001,33816.989506704012456,900.000000000000000,29700.000000000000000,900.000000000000000,29700.000000000000000,29700.000000000000000,8100.000000000000000,900.000000000000000,27000.000000000000000,,28800.000000000000000,,23400.000000000000000,,3136.000000000000000,28224.000000000000000,20011,BOURBON
611778,722934,2001100002440003001,6732.224414437819178,,,,,,,,,,,,,,,,20011,BOURBON
611779,722935,2001100004440003001,146428.271772428852273,119700.000000000000000,3600.000000000000000,110700.000000000000000,118800.000000000000000,119700.000000000000000,117900.000000000000000,123300.000000000000000,120600.000000000000000,114300.000000000000000,4500.000000000000000,,103500.000000000000000,,,81536.000000000000000,20011,BOURBON
611780,722936,2001100101960008001,90191.164105018397095,,,,,,,,,,,,900.000000000000000,,,,20011,BOURBON
611781,722937,2001100002440005001,13764.185192570779691,,,,,,,,,,,,,,,,20011,BOURBON
611782,722938,2001100006160002001,336338.280507627874613,6300.000000000000000,1800.000000000000000,900.000000000000000,,1800.000000000000000,5400.000000000000000,,7200.000000000000000,,,1800.000000000000000,1800.000000000000000,,3136.000000000000000,,20011,BOURBON
611783,722939,2001120107180003001,65473.272089949110523,,,,,,,,,,,,,,,,20011,BOURBON
611784,722940,2001100105160005001,4328.524794450776426,,,,,,,,,,,,,,,,20011,BOURBON
611785,722941,2001100025420004001,181816.075172029435635,900.000000000000000,,,,,,,,,,,,,3136.000000000000000,,20011,BOURBON
611786,722942,2001120107180006001,100131.349878575609182,24300.000000000000000,24300.000000000000000,11700.000000000000000,,22500.000000000000000,17100.000000000000000,24300.000000000000000,21600.000000000000000,12600.000000000000000,18000.000000000000000,14400.000000000000000,,4500.000000000000000,18816.000000000000000,12544.000000000000000,20011,BOURBON
611787,722943,2001120107180002001,14478.890351727748566,1800.000000000000000,1800.000000000000000,,,,,1800.000000000000000,,,,,,,,,20011,BOURBON
611788,722944,2001120107180007001,199376.036800189322094,189900.000000000000000,189900.000000000000000,165600.000000000000000,,176400.000000000000000,164700.000000000000000,180900.000000000000000,183600.000000000000000,171000.000000000000000,170100.000000000000000,145800.000000000000000,,5400.000000000000000,163072.000000000000000,156800.000000000000000,20011,BOURBON
611789,722945,2001120107180008001,10734.180265055003474,,,,,,,900.000000000000000,,,,,,,,,20011,BOURBON
611790,722946,2001100001300002001,114367.319220150035108,3600.000000000000000,1800.000000000000000,2700.000000000000000,3600.000000000000000,,,,,,,,,,,,20011,BOURBON
611791,722947,2001100004200006001,12687.118785082415343,,,,,,,,,,,,,,,,20011,BOURBON
611792,722948,2001100004200004001,36306.962216991167224,900.000000000000000,900.000000000000000,,,900.000000000000000,,1800.000000000000000,,,,,,,12544.000000000000000,,20011,BOURBON
611793,722950,2001100004970008001,8082.489814472689432,,,,,,,4500.000000000000000,,,,,,,,,20011,BOURBON
611794,722951,2001100005630006001,66381.560155500803376,43200.000000000000000,45900.000000000000000,900.000000000000000,,15300.000000000000000,,,1800.000000000000000,,,,,,,,20011,BOURBON
611795,722952,2001100000310003001,11280.210059269480553,,,,,,,,,,,,,,,,20011,BOURBON
611796,722953,2001100101880001001,24443.314334523980506,20700.000000000000000,3600.000000000000000,,20700.000000000000000,20700.000000000000000,5400.000000000000000,,11700.000000000000000,4500.000000000000000,10800.000000000000000,,,,,,20011,BOURBON
611797,722954,2001120001110002001,7843.793018647561439,,,,,,,,,,,,,,,,20011,BOURBON
611798,722955,2001100000870002001,11173.796943908420872,,,,,,,,,,,,,,,,20011,BOURBON
611799,722956,2001100000870004001,53521.064782237510371,900.000000000000000,,,,,,,,,,,,,,,20011,BOURBON
611800,722957,2001100003550002001,63658.919999901248957,,,,,,,,,,,,,,,,20011,BOURBON
611801,722958,2001100001790015001,130066.409289231523871,,,,,,,,,,,,,,,,20011,BOURBON
611802,722959,2001100028940004001,33095.371337548946030,32400.000000000000000,,31500.000000000000000,,32400.000000000000000,32400.000000000000000,,33300.000000000000000,29700.000000000000000,23400.000000000000000,30600.000000000000000,32400.000000000000000,31500.000000000000000,15680.000000000000000,18816.000000000000000,20011,BOURBON
611803,722960,2001100102980002001,36806.822890086594271,,,,,,,,,,,,,900.000000000000000,,,20011,BOURBON
611804,722961,2001100001590002001,54721.624739632461569,1800.000000000000000,2700.000000000000000,,,,,,20700.000000000000000,,,,,,,,20011,BOURBON
611805,722962,2001100102980003001,12988.133021805513636,,,,,,,,,,,,,,,,20011,BOURBON
611806,722964,2001100006230019001,262718.781215884431731,11700.000000000000000,10800.000000000000000,9000.000000000000000,,,900.000000000000000,9000.000000000000000,12600.000000000000000,,5400.000000000000000,9900.000000000000000,9900.000000000000000,9900.000000000000000,12544.000000000000000,,20011,BOURBON
611807,722965,2001100102980004001,4274.066187271436320,,,,,,,,,,,,,,,,20011,BOURBON
611808,722968,2001100006230010001,116727.756890212869621,100800.000000000000000,99000.000000000000000,95400.000000000000000,,,,97200.000000000000000,99000.000000000000000,,65700.000000000000000,84600.000000000000000,101700.000000000000000,75600.000000000000000,15680.000000000000000,,20011,BOURBON
611809,722969,2001120107200109001,386151.676423300988972,107100.000000000000000,98100.000000000000000,31500.000000000000000,900.000000000000000,18000.000000000000000,,29700.000000000000000,,,,,,,,,20011,BOURBON
611810,722970,2001100101470004001,39873.279363507150265,,,,,,,,,,,,,,,,20011,BOURBON
611811,722972,2001120107200110001,61688.244505598268006,,,,,,,,,,,,,,,,20011,BOURBON
611812,722973,2001100027820011001,5682.555096959490584,1800.000000000000000,,900.000000000000000,900.000000000000000,,900.000000000000000,1800.000000000000000,,,,900.000000000000000,,1800.000000000000000,,,20011,BOURBON
611813,722974,2001100004200002001,102656.006151604538900,5400.000000000000000,29700.000000000000000,,7200.000000000000000,,,3600.000000000000000,,,,900.000000000000000,,1800.000000000000000,37632.000000000000000,3136.000000000000000,20011,BOURBON
611814,722975,2001100005740001001,89906.382733567894320,84600.000000000000000,79200.000000000000000,,81000.000000000000000,,81000.000000000000000,80100.000000000000000,3600.000000000000000,74700.000000000000000,71100.000000000000000,66600.000000000000000,82800.000000000000000,61200.000000000000000,47040.000000000000000,,20011,BOURBON
611815,722976,2001100001570011001,33261.233371334114054,,,,,,,,,,,,,,,,20011,BOURBON
611816,722977,2001100096730002001,87515.716581292421324,,,,,,,,,,,,,,,,20011,BOURBON
611817,722978,2001100096720009001,402966.846802738844417,1800.000000000000000,,900.000000000000000,2700.000000000000000,2700.000000000000000,3600.000000000000000,6300.000000000000000,5400.000000000000000,1800.000000000000000,,1800.000000000000000,3600.000000000000000,3600.000000000000000,21952.000000000000000,18816.000000000000000,20011,BOURBON
611818,722979,2001100003850001001,29526.199871878583508,,,,,,,,,,,,,,,,20011,BOURBON
611819,722980,2001100004170001001,118485.290576259474619,,,,,,,,,,,,,,3136.000000000000000,,20011,BOURBON
611820,722981,2001100007100002001,26231.183432961785002,,,,,,,,,,,,,,,,20011,BOURBON
611821,722983,2001100005740005001,116388.461332363571273,102600.000000000000000,100800.000000000000000,1800.000000000000000,101700.000000000000000,102600.000000000000000,,103500.000000000000000,1800.000000000000000,91800.000000000000000,,97200.000000000000000,108000.000000000000000,98100.000000000000000,3136.000000000000000,78400.000000000000000,20011,BOURBON
611822,722984,2001100004200005001,34500.476135589357000,,,,,,,5400.000000000000000,,,,,,,9408.000000000000000,,20011,BOURBON
611823,722985,2001100000040012001,265743.916742949048057,,,,,,,,,,,,,,,,20011,BOURBON
611824,722986,2001100100500011001,5597.249192906863755,,,,,,,,,,,,,,,,20011,BOURBON
611825,722987,2001100015660007001,5447.009016089974466,,,,,,,,,,,,,,6272.000000000000000,6272.000000000000000,20011,BOURBON
611826,722988,2001100001590004001,6514.315312363024532,,,,,,,,,,,,,,,,20011,BOURBON
611827,722989,2001100001570010001,17495.434507941081392,,,,,,,1800.000000000000000,,,,,,,,,20011,BOURBON
611828,722991,2001100003250007001,595108.608565918169916,,,,,,,1800.000000000000000,,,,,,,,,20011,BOURBON
611829,722992,2001100003250001001,178448.689567856374197,,,,,,,,,,,,,,,,20011,BOURBON
611830,722994,2001100101340008001,7426.488216907478090,,,,,,,,,,,,,,,,20011,BOURBON
611831,722995,2001100101340003001,34276.083148262696341,18000.000000000000000,19800.000000000000000,,12600.000000000000000,13500.000000000000000,11700.000000000000000,900.000000000000000,14400.000000000000000,,9000.000000000000000,,9000.000000000000000,,,,20011,BOURBON
611832,722996,2001100002230007001,151208.346871152200038,,,,,,,,,,,,,,,,20011,BOURBON
611833,722997,2001100004200001001,9299.450781134828503,,,,,,,,,,,,,,,,20011,BOURBON
611834,722998,2001100093110006001,10530.691388753211868,,,,,,,,,,,,,,,,20011,BOURBON
611835,722999,2001100027820016001,39147.776645851576177,,,,,,,,,,,,,,,,20011,BOURBON
611836,723000,2001100002350005001,9898.246883784710008,,,,,,,,,,,,,,,,20011,BOURBON
611837,723001,2001100094570007001,10919.682949500456743,3600.000000000000000,3600.000000000000000,,2700.000000000000000,,3600.000000000000000,,,,,,,,,,20011,BOURBON
611838,723002,2001100093110005001,10870.167523905402049,,,,,,,,,,,,,,,,20011,BOURBON
611839,723003,2001100006050002001,9354.049061394314776,,,,,,,,,,,,,,,,20011,BOURBON
611840,723004,2001100100580001001,47993.861573270522058,,,,,,,1800.000000000000000,,,,,,,6272.000000000000000,,20011,BOURBON
611841,723005,2001100006080001001,16606.665812663308316,3600.000000000000000,900.000000000000000,,,3600.000000000000000,3600.000000000000000,6300.000000000000000,10800.000000000000000,,900.000000000000000,,900.000000000000000,9900.000000000000000,18816.000000000000000,3136.000000000000000,20011,BOURBON
611842,723007,2001100100590001001,126986.009680670395028,102600.000000000000000,117900.000000000000000,34200.000000000000000,46800.000000000000000,,900.000000000000000,,2700.000000000000000,,,3600.000000000000000,900.000000000000000,900.000000000000000,3136.000000000000000,,20011,BOURBON
