,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
23963,26665,2001500045090001001,324945.599385927256662,162900.000000000000000,153000.000000000000000,175500.000000000000000,34200.000000000000000,86400.000000000000000,157500.000000000000000,99900.000000000000000,,,170100.000000000000000,3600.000000000000000,171000.000000000000000,4500.000000000000000,6272.000000000000000,,20015,BUTLER
23964,26666,2001500085570006001,78294.648031137228827,63900.000000000000000,63000.000000000000000,,42300.000000000000000,3600.000000000000000,,900.000000000000000,,900.000000000000000,,45900.000000000000000,900.000000000000000,,,,20015,BUTLER
23965,26667,2001500004950002001,258060.111263067345135,36000.000000000000000,245700.000000000000000,,3600.000000000000000,4500.000000000000000,,220500.000000000000000,,,,238500.000000000000000,,,,,20015,BUTLER
23966,26669,2001500044190003001,23978.541012880188646,,,,,,,,,,,900.000000000000000,,,,,20015,BUTLER
23967,26670,2001500085120003001,20385.382115967066056,,900.000000000000000,,,,,,,,,,,,,,20015,BUTLER
23968,26671,2001500022360003001,115876.177955376770115,,,,,,,,,,,,,,,,20015,BUTLER
23969,26672,2001500106810003001,231410.565970862749964,,,,,,,,,,900.000000000000000,224100.000000000000000,900.000000000000000,206100.000000000000000,,,20015,BUTLER
23970,26673,2001500030590007001,16243.651327815912737,,7200.000000000000000,4500.000000000000000,,4500.000000000000000,4500.000000000000000,2700.000000000000000,7200.000000000000000,5400.000000000000000,2700.000000000000000,900.000000000000000,4500.000000000000000,,,,20015,BUTLER
23971,26674,2001500088950001001,49885.951735132344766,900.000000000000000,,34200.000000000000000,1800.000000000000000,4500.000000000000000,3600.000000000000000,,900.000000000000000,,4500.000000000000000,,1800.000000000000000,900.000000000000000,,6272.000000000000000,20015,BUTLER
23972,26675,2001500044040001001,268695.999913544626907,,267300.000000000000000,4500.000000000000000,9000.000000000000000,,178200.000000000000000,,268200.000000000000000,,2700.000000000000000,1800.000000000000000,,13500.000000000000000,25088.000000000000000,,20015,BUTLER
23973,26676,2001500090860003001,80056.798423807049403,900.000000000000000,,,75600.000000000000000,1800.000000000000000,,72000.000000000000000,,76500.000000000000000,,1800.000000000000000,,,68992.000000000000000,3136.000000000000000,20015,BUTLER
23974,26677,2001500025530015001,9501.029105437424732,,900.000000000000000,,,,,,,,3600.000000000000000,,3600.000000000000000,4500.000000000000000,,,20015,BUTLER
23975,26678,2001500041550001001,7520.143647476552360,,,,,,,,,,,,,,,,20015,BUTLER
23976,26679,2001500024200002001,125833.857432053846424,87300.000000000000000,45900.000000000000000,,2700.000000000000000,3600.000000000000000,,12600.000000000000000,,42300.000000000000000,88200.000000000000000,63000.000000000000000,900.000000000000000,,,,20015,BUTLER
23977,26680,2001500052680004001,226860.073958452092484,1800.000000000000000,2700.000000000000000,900.000000000000000,,,5400.000000000000000,,2700.000000000000000,900.000000000000000,,2700.000000000000000,,1800.000000000000000,,,20015,BUTLER
23978,26681,2001500051340001001,10586.339496526867151,9900.000000000000000,9900.000000000000000,3600.000000000000000,,2700.000000000000000,,900.000000000000000,4500.000000000000000,5400.000000000000000,1800.000000000000000,,,,,,20015,BUTLER
23979,26682,2001500012960001001,39283.641307222656906,33300.000000000000000,23400.000000000000000,33300.000000000000000,,,30600.000000000000000,900.000000000000000,,,23400.000000000000000,9000.000000000000000,,7200.000000000000000,,,20015,BUTLER
23980,26683,2001500052810001001,178983.604157511872472,166500.000000000000000,,162000.000000000000000,,,,70200.000000000000000,,,,144900.000000000000000,,158400.000000000000000,3136.000000000000000,156800.000000000000000,20015,BUTLER
23981,26684,2001500024720007001,13056.755364307002310,,8100.000000000000000,,9000.000000000000000,,9000.000000000000000,,9000.000000000000000,,7200.000000000000000,,9900.000000000000000,,,,20015,BUTLER
23982,26685,2001500054860003001,22545.593928955378942,,900.000000000000000,,,,,,,17100.000000000000000,,,,,,,20015,BUTLER
23983,26686,2001500109820003001,96420.509234702185495,900.000000000000000,90000.000000000000000,,54900.000000000000000,81000.000000000000000,86400.000000000000000,,86400.000000000000000,,73800.000000000000000,,86400.000000000000000,,56448.000000000000000,59584.000000000000000,20015,BUTLER
23984,26688,2001500054260005001,275112.868091191630810,258300.000000000000000,2700.000000000000000,900.000000000000000,93600.000000000000000,3600.000000000000000,259200.000000000000000,900.000000000000000,263700.000000000000000,,254700.000000000000000,10800.000000000000000,261900.000000000000000,8100.000000000000000,244608.000000000000000,9408.000000000000000,20015,BUTLER
23985,26689,2001500095540001001,22961.071423617897381,,,,,,,,,,,,,,,,20015,BUTLER
23986,26690,2001500000550002001,74874.944010863648145,51300.000000000000000,,48600.000000000000000,50400.000000000000000,,50400.000000000000000,18900.000000000000000,900.000000000000000,53100.000000000000000,49500.000000000000000,900.000000000000000,54000.000000000000000,1800.000000000000000,,34496.000000000000000,20015,BUTLER
23987,26691,2001500046220001001,94032.076322749635438,29700.000000000000000,900.000000000000000,,90900.000000000000000,,,81000.000000000000000,3600.000000000000000,,900.000000000000000,82800.000000000000000,900.000000000000000,4500.000000000000000,,37632.000000000000000,20015,BUTLER
23988,26692,2001500055930002001,333955.598495698068291,,324000.000000000000000,900.000000000000000,,315900.000000000000000,900.000000000000000,273600.000000000000000,2700.000000000000000,,,269100.000000000000000,,307800.000000000000000,,257152.000000000000000,20015,BUTLER
23989,26693,2001500001180004001,23152.727794090562384,,18900.000000000000000,,15300.000000000000000,,,,,,,,,,,,20015,BUTLER
23990,26694,2001500050180004001,19956.570679193304386,,,,,,,900.000000000000000,,,,6300.000000000000000,,,,,20015,BUTLER
23991,26695,2001500031770004001,89835.398849619567045,,,,,,,88200.000000000000000,,,,87300.000000000000000,,,,59584.000000000000000,20015,BUTLER
23992,26696,2001500108750003001,504743.229564652661793,213300.000000000000000,279000.000000000000000,466200.000000000000000,467100.000000000000000,424800.000000000000000,454500.000000000000000,3600.000000000000000,233100.000000000000000,142200.000000000000000,7200.000000000000000,,1800.000000000000000,,47040.000000000000000,131712.000000000000000,20015,BUTLER
23993,26698,2001500012870001001,432778.503619330178481,8100.000000000000000,402300.000000000000000,1800.000000000000000,13500.000000000000000,396900.000000000000000,,389700.000000000000000,900.000000000000000,417600.000000000000000,2700.000000000000000,378900.000000000000000,5400.000000000000000,,319872.000000000000000,,20015,BUTLER
23994,26699,2001500097180001001,28273.750469476555736,,900.000000000000000,,27000.000000000000000,,27000.000000000000000,,,,26100.000000000000000,,27900.000000000000000,,21952.000000000000000,3136.000000000000000,20015,BUTLER
23995,26700,2001500046530005001,6651.546822099030578,7200.000000000000000,,,,,,,,,7200.000000000000000,,3600.000000000000000,,,,20015,BUTLER
23996,26701,2001500103250004001,20281.461407508526463,,,,,,,3600.000000000000000,,,12600.000000000000000,8100.000000000000000,,,,,20015,BUTLER
23997,26702,2001500010970004001,73127.720683974868734,65700.000000000000000,,,60300.000000000000000,,61200.000000000000000,20700.000000000000000,,62100.000000000000000,,,65700.000000000000000,46800.000000000000000,,37632.000000000000000,20015,BUTLER
23998,26703,2001500049700003001,53522.602208559706924,,,,,,,,,,,,,,,,20015,BUTLER
23999,26704,2001500053130001001,47285.072492884253734,1800.000000000000000,40500.000000000000000,1800.000000000000000,38700.000000000000000,900.000000000000000,4500.000000000000000,,,,,27000.000000000000000,,,,12544.000000000000000,20015,BUTLER
24000,26705,2001500084930001001,75853.596956279958249,,1800.000000000000000,,900.000000000000000,42300.000000000000000,41400.000000000000000,24300.000000000000000,41400.000000000000000,,,,,,,,20015,BUTLER
24001,26706,2001500100080005001,5037.515995810953427,,,,,,,,,,,,,,,,20015,BUTLER
24002,26707,2001500002710001001,369881.373232250742149,246600.000000000000000,83700.000000000000000,,206100.000000000000000,129600.000000000000000,1800.000000000000000,295200.000000000000000,15300.000000000000000,253800.000000000000000,325800.000000000000000,297000.000000000000000,1800.000000000000000,,15680.000000000000000,6272.000000000000000,20015,BUTLER
24003,26708,2001500098900004001,299619.965555779752322,51300.000000000000000,144000.000000000000000,,274500.000000000000000,272700.000000000000000,,245700.000000000000000,,268200.000000000000000,,258300.000000000000000,3600.000000000000000,242100.000000000000000,,3136.000000000000000,20015,BUTLER
24004,26709,2001500053430003001,55842.857625876880775,900.000000000000000,50400.000000000000000,,46800.000000000000000,,45900.000000000000000,,48600.000000000000000,22500.000000000000000,51300.000000000000000,25200.000000000000000,,,6272.000000000000000,28224.000000000000000,20015,BUTLER
24005,26710,2001500012610002001,75241.968316616490483,36900.000000000000000,44100.000000000000000,67500.000000000000000,,900.000000000000000,,,,,,5400.000000000000000,,,,,20015,BUTLER
24006,26711,2001500043590002001,19638.185003291790053,,,9000.000000000000000,,9000.000000000000000,,8100.000000000000000,,,9000.000000000000000,,,,,15680.000000000000000,20015,BUTLER
24007,26712,2001500102130002001,32938.298408328068035,,28800.000000000000000,900.000000000000000,29700.000000000000000,,27000.000000000000000,,26100.000000000000000,,24300.000000000000000,,27900.000000000000000,,,12544.000000000000000,20015,BUTLER
24008,26713,2001500010140004001,7821.479736647212121,,,,,,,,,,,,,,,,20015,BUTLER
24009,26714,2001500051050010001,35772.677028729194717,,29700.000000000000000,11700.000000000000000,,,,,,,,16200.000000000000000,900.000000000000000,,,,20015,BUTLER
24010,26715,2001500105260001001,75824.796019238463487,70200.000000000000000,1800.000000000000000,72000.000000000000000,72000.000000000000000,67500.000000000000000,,,,59400.000000000000000,67500.000000000000000,27000.000000000000000,,,,,20015,BUTLER
24011,26716,2001500048010001001,511687.762149451300502,,486000.000000000000000,1800.000000000000000,468900.000000000000000,2700.000000000000000,,900.000000000000000,474300.000000000000000,,477900.000000000000000,900.000000000000000,459000.000000000000000,2700.000000000000000,407680.000000000000000,,20015,BUTLER
24012,26717,2001500052840003001,202873.034329301473917,,189900.000000000000000,,191700.000000000000000,,,,188100.000000000000000,,1800.000000000000000,140400.000000000000000,,186300.000000000000000,3136.000000000000000,59584.000000000000000,20015,BUTLER
24013,26718,2001500021400004001,7350.241341486454075,900.000000000000000,,7200.000000000000000,6300.000000000000000,4500.000000000000000,,,,,,,,,,,20015,BUTLER
24014,26719,2001500000980009001,16327.247848383667588,8100.000000000000000,1800.000000000000000,2700.000000000000000,900.000000000000000,6300.000000000000000,,,,,,,,,,,20015,BUTLER
24015,26720,2001500013170002001,292579.630264453182463,282600.000000000000000,276300.000000000000000,17100.000000000000000,900.000000000000000,265500.000000000000000,244800.000000000000000,166500.000000000000000,4500.000000000000000,,1800.000000000000000,63000.000000000000000,,,,275968.000000000000000,20015,BUTLER
24016,26721,2001500053630002001,1155686.871470371726900,24300.000000000000000,18900.000000000000000,9000.000000000000000,620100.000000000000000,4500.000000000000000,2700.000000000000000,6300.000000000000000,1800.000000000000000,,15300.000000000000000,7200.000000000000000,23400.000000000000000,900.000000000000000,37632.000000000000000,,20015,BUTLER
24017,26722,2001500033600011001,19098.896870080359804,,,,,,,,,,,,,,,,20015,BUTLER
24018,26723,2001500045250001001,252088.719183945038822,228600.000000000000000,,217800.000000000000000,,210600.000000000000000,,191700.000000000000000,,,211500.000000000000000,900.000000000000000,228600.000000000000000,,156800.000000000000000,,20015,BUTLER
24019,26724,2001500040800001001,151064.117854164185701,,143100.000000000000000,,137700.000000000000000,132300.000000000000000,112500.000000000000000,122400.000000000000000,29700.000000000000000,140400.000000000000000,55800.000000000000000,126900.000000000000000,11700.000000000000000,122400.000000000000000,,,20015,BUTLER
24020,26725,2001500096450003001,168334.576900190935703,900.000000000000000,171000.000000000000000,170100.000000000000000,,162900.000000000000000,,,,,,,,,,,20015,BUTLER
24021,26726,2001500030040004001,26563.577258048069780,22500.000000000000000,19800.000000000000000,21600.000000000000000,20700.000000000000000,,21600.000000000000000,10800.000000000000000,9900.000000000000000,,9900.000000000000000,,1800.000000000000000,4500.000000000000000,,12544.000000000000000,20015,BUTLER
24022,26727,2001500045160004001,42990.935923163357074,,,,,,,,,,29700.000000000000000,14400.000000000000000,,,,,20015,BUTLER
24023,26728,2001500107820003001,8555.465566356982890,4500.000000000000000,4500.000000000000000,,1800.000000000000000,,,,,,,1800.000000000000000,,,,,20015,BUTLER
24024,26729,2001500046660001001,25735.150464507329161,900.000000000000000,900.000000000000000,,23400.000000000000000,23400.000000000000000,,2700.000000000000000,,,23400.000000000000000,10800.000000000000000,,23400.000000000000000,,21952.000000000000000,20015,BUTLER
24025,26730,2001500107820006001,39488.966181790914561,21600.000000000000000,21600.000000000000000,6300.000000000000000,9000.000000000000000,,5400.000000000000000,,,,,16200.000000000000000,,7200.000000000000000,,15680.000000000000000,20015,BUTLER
24026,26731,2001500032450001001,84083.131533379942994,,,,,,,,,4500.000000000000000,,9000.000000000000000,1800.000000000000000,900.000000000000000,3136.000000000000000,18816.000000000000000,20015,BUTLER
24027,26732,2001500008350006001,35860.588917577028042,,900.000000000000000,,,,,900.000000000000000,,,,,900.000000000000000,,,,20015,BUTLER
24028,26733,2001500041920002001,16860.372875804503565,15300.000000000000000,2700.000000000000000,9900.000000000000000,6300.000000000000000,,,,,,,,,,,,20015,BUTLER
24029,26734,2001500090200007001,352742.867891412111931,12600.000000000000000,6300.000000000000000,9000.000000000000000,7200.000000000000000,5400.000000000000000,900.000000000000000,5400.000000000000000,23400.000000000000000,2700.000000000000000,,223200.000000000000000,9000.000000000000000,1800.000000000000000,25088.000000000000000,9408.000000000000000,20015,BUTLER
24030,26737,2001500045650001001,169106.314713636122178,,141300.000000000000000,135900.000000000000000,136800.000000000000000,134100.000000000000000,128700.000000000000000,118800.000000000000000,,,,116100.000000000000000,136800.000000000000000,125100.000000000000000,,3136.000000000000000,20015,BUTLER
24031,26738,2001500052180003001,100673.576465822523460,93600.000000000000000,1800.000000000000000,1800.000000000000000,102600.000000000000000,6300.000000000000000,2700.000000000000000,94500.000000000000000,1800.000000000000000,,99900.000000000000000,3600.000000000000000,100800.000000000000000,,6272.000000000000000,94080.000000000000000,20015,BUTLER
24032,26739,2001500045320004001,82701.307764301847783,67500.000000000000000,4500.000000000000000,,75600.000000000000000,70200.000000000000000,,,,72000.000000000000000,,20700.000000000000000,63900.000000000000000,66600.000000000000000,3136.000000000000000,,20015,BUTLER
24033,26740,2001500010910003001,19519.156663123121689,8100.000000000000000,7200.000000000000000,5400.000000000000000,,5400.000000000000000,5400.000000000000000,,6300.000000000000000,,,,,,,,20015,BUTLER
24034,26741,2001500024090002001,173176.577949965459993,,161100.000000000000000,900.000000000000000,134100.000000000000000,,,,,,,51300.000000000000000,900.000000000000000,,,,20015,BUTLER
24035,26742,2001500102080001001,39193.788984848208202,33300.000000000000000,,34200.000000000000000,34200.000000000000000,31500.000000000000000,900.000000000000000,20700.000000000000000,,,,25200.000000000000000,,33300.000000000000000,,18816.000000000000000,20015,BUTLER
