,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
24523,27253,2001702001510024001,61091.660207331718993,,,,,,,,,,,900.000000000000000,,,,,20017,CHASE
26057,28838,2001702001510020001,61799.779647788862349,,,,,,,,,,,,,,,,20017,CHASE
26884,29745,2001702001510092001,103310.468566724623088,,,,,,,,,,,,,,,,20017,CHASE
27155,30023,2001702001510022001,33700.280482335714623,,,,,,,,,,,,,,,,20017,CHASE
27569,30451,2001702001510019001,39944.862748753701453,,,,,,,,,,,,,,,,20017,CHASE
28837,31767,2001702001510089001,20723.328844149349607,,,,,,,,,,,,,,,,20017,CHASE
28916,31849,2001702001510098001,122386.791608311992604,,,,,,,,,,,,,,,,20017,CHASE
29649,32616,2001702001510096001,167304.675864012941020,,,,,,,,,,900.000000000000000,,,,,,20017,CHASE
55444,61862,2001700008400006001,6321.847058553536954,,2700.000000000000000,,,,,,,,,,,,,,20017,CHASE
55445,61863,2001700007870008001,74564.565645045950077,22500.000000000000000,15300.000000000000000,,44100.000000000000000,28800.000000000000000,,26100.000000000000000,10800.000000000000000,48600.000000000000000,44100.000000000000000,27900.000000000000000,45000.000000000000000,15300.000000000000000,,43904.000000000000000,20017,CHASE
55446,61864,2001700022300005001,8444.909523269525380,,,,,,,,,,,,,,,,20017,CHASE
55447,61865,2001700001190003001,90945.255995498882839,78300.000000000000000,,81000.000000000000000,,78300.000000000000000,,67500.000000000000000,,80100.000000000000000,,78300.000000000000000,2700.000000000000000,1800.000000000000000,59584.000000000000000,,20017,CHASE
55448,61866,2001700003960006001,47128.826863736663654,4500.000000000000000,,,,,,,,,,,,,,,20017,CHASE
55449,61867,2001700009770016001,188380.289973229955649,,,,,,,,,,,,,,,,20017,CHASE
55450,61868,2001700009880011001,52611.986532940420147,8100.000000000000000,900.000000000000000,3600.000000000000000,,900.000000000000000,,4500.000000000000000,,,900.000000000000000,10800.000000000000000,7200.000000000000000,15300.000000000000000,9408.000000000000000,28224.000000000000000,20017,CHASE
55451,61869,2001700009790014001,62281.271292365956469,50400.000000000000000,,50400.000000000000000,46800.000000000000000,50400.000000000000000,50400.000000000000000,49500.000000000000000,48600.000000000000000,50400.000000000000000,50400.000000000000000,47700.000000000000000,50400.000000000000000,,37632.000000000000000,47040.000000000000000,20017,CHASE
55452,61870,2001700005040003001,32144.248831138203968,10800.000000000000000,,,,,,,,,1800.000000000000000,900.000000000000000,,,,,20017,CHASE
55453,61871,2001702011510002001,7186.451499615362081,,,,,,,,,,,,,,,,20017,CHASE
55454,61872,2001702011510270001,48686.608299692692526,,,45000.000000000000000,45000.000000000000000,,,,42300.000000000000000,44100.000000000000000,,,,,28224.000000000000000,,20017,CHASE
55455,61873,2001700000570001001,22871.440824535042339,24300.000000000000000,18000.000000000000000,23400.000000000000000,22500.000000000000000,,,,,,,9900.000000000000000,28800.000000000000000,22500.000000000000000,3136.000000000000000,18816.000000000000000,20017,CHASE
55456,61874,2001700026640003001,40367.547466528987570,,,,,,,,,,,10800.000000000000000,900.000000000000000,,,,20017,CHASE
55457,61875,2001700005870029001,118923.338876245921711,,,,,,,,,,,,,4500.000000000000000,78400.000000000000000,,20017,CHASE
55458,61876,2001700024270002001,27636.683218541405950,13500.000000000000000,1800.000000000000000,,,11700.000000000000000,,,9000.000000000000000,,,2700.000000000000000,14400.000000000000000,16200.000000000000000,,,20017,CHASE
55459,61877,2001700001650010001,11172.457159760970171,,,,,,,,,,,,,,,,20017,CHASE
55460,61878,2001700024270004001,12995.262508839121438,,900.000000000000000,7200.000000000000000,900.000000000000000,4500.000000000000000,,,,,9000.000000000000000,4500.000000000000000,900.000000000000000,7200.000000000000000,,,20017,CHASE
55461,61879,2001700021150012001,21102.782830362488312,,,4500.000000000000000,4500.000000000000000,1800.000000000000000,,,,,,,,,,,20017,CHASE
