,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
434744,489333,2002100017450001001,632446.994443088071421,20700.000000000000000,14400.000000000000000,18000.000000000000000,24300.000000000000000,13500.000000000000000,5400.000000000000000,3600.000000000000000,4500.000000000000000,6300.000000000000000,9900.000000000000000,19800.000000000000000,20700.000000000000000,36000.000000000000000,31360.000000000000000,12544.000000000000000,20021,CHEROKEE
438447,493535,2002100014410003001,22602.661716860271554,1800.000000000000000,5400.000000000000000,,5400.000000000000000,2700.000000000000000,1800.000000000000000,900.000000000000000,900.000000000000000,,5400.000000000000000,900.000000000000000,,5400.000000000000000,9408.000000000000000,,20021,CHEROKEE
438629,493735,2002100013150003001,21010.759268927904486,,,,,,,,,,,,,,,,20021,CHEROKEE
438695,493812,2002100054740001001,84966.972859525340027,,,,,,,,,,,,,,,,20021,CHEROKEE
641584,758971,2002100007700001001,113004.214094936192851,12600.000000000000000,7200.000000000000000,2700.000000000000000,21600.000000000000000,13500.000000000000000,25200.000000000000000,,6300.000000000000000,,4500.000000000000000,,,7200.000000000000000,,,20021,CHEROKEE
641585,758972,2002100008230013001,8028.027751576627452,,,,,,,,,,,,,,,,20021,CHEROKEE
641586,758973,2002100025400015001,6319.303459451150957,,,,,,,,,,,,,,,,20021,CHEROKEE
641587,758974,2002100007700002001,24618.515187289358437,,14400.000000000000000,,3600.000000000000000,6300.000000000000000,,900.000000000000000,8100.000000000000000,,5400.000000000000000,8100.000000000000000,19800.000000000000000,2700.000000000000000,,,20021,CHEROKEE
641588,758975,2002100007700004001,12627.899709051565878,,,,,,,,,,,1800.000000000000000,900.000000000000000,,,,20021,CHEROKEE
641589,758976,2002100025400004001,78529.230286300415173,72000.000000000000000,,,,,2700.000000000000000,,,900.000000000000000,,45000.000000000000000,,,,,20021,CHEROKEE
641590,758977,2002100025400005001,147392.297841295425314,142200.000000000000000,1800.000000000000000,,,,6300.000000000000000,,,,,103500.000000000000000,,900.000000000000000,,,20021,CHEROKEE
641591,758978,2002100025400006001,237056.263222696288722,207900.000000000000000,,,900.000000000000000,,6300.000000000000000,,,,2700.000000000000000,3600.000000000000000,223200.000000000000000,,6272.000000000000000,3136.000000000000000,20021,CHEROKEE
641592,758979,2002100008250012001,52638.623328869201941,52200.000000000000000,,900.000000000000000,900.000000000000000,1800.000000000000000,,41400.000000000000000,,900.000000000000000,,38700.000000000000000,,900.000000000000000,,,20021,CHEROKEE
641593,758980,2002100008250014001,18513.932961111087934,3600.000000000000000,,,,900.000000000000000,900.000000000000000,900.000000000000000,900.000000000000000,,,900.000000000000000,,,3136.000000000000000,,20021,CHEROKEE
