,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
30126,33255,2002700044700002001,18149.871790155553754,,11700.000000000000000,900.000000000000000,9000.000000000000000,,8100.000000000000000,,,,,,,,,,20027,CLAY
30783,34007,2002700200290005001,6023.955689000596067,2700.000000000000000,,2700.000000000000000,2700.000000000000000,2700.000000000000000,,,,3600.000000000000000,2700.000000000000000,,,,,,20027,CLAY
30849,34092,2002700200290021001,134827.441198894404806,21600.000000000000000,108900.000000000000000,,110700.000000000000000,,112500.000000000000000,,9900.000000000000000,9900.000000000000000,107100.000000000000000,6300.000000000000000,2700.000000000000000,2700.000000000000000,,,20027,CLAY
31114,34385,2002700200290055001,95486.474332290090388,94500.000000000000000,,92700.000000000000000,900.000000000000000,,,,,,,900.000000000000000,80100.000000000000000,,,,20027,CLAY
31187,34468,2002700200290043001,253006.052705551875988,12600.000000000000000,,7200.000000000000000,,,900.000000000000000,,900.000000000000000,11700.000000000000000,,2700.000000000000000,900.000000000000000,,,,20027,CLAY
31390,34698,2002700200290059001,10046.718975995639994,,,,,,,,,1800.000000000000000,,,,,,,20027,CLAY
31706,35062,2002700200290013001,5646.303356540502136,900.000000000000000,,5400.000000000000000,,5400.000000000000000,,4500.000000000000000,2700.000000000000000,5400.000000000000000,,5400.000000000000000,,,,3136.000000000000000,20027,CLAY
31717,35078,2002700200290049001,83975.771356436336646,12600.000000000000000,80100.000000000000000,10800.000000000000000,90000.000000000000000,12600.000000000000000,54900.000000000000000,8100.000000000000000,54900.000000000000000,8100.000000000000000,9000.000000000000000,1800.000000000000000,81000.000000000000000,8100.000000000000000,59584.000000000000000,53312.000000000000000,20027,CLAY
31723,35085,2002700200290006001,131593.415558881271863,8100.000000000000000,,108900.000000000000000,126900.000000000000000,125100.000000000000000,,,37800.000000000000000,124200.000000000000000,81000.000000000000000,27000.000000000000000,3600.000000000000000,,,12544.000000000000000,20027,CLAY
31983,35390,2002700200290054001,22304.319933954811859,3600.000000000000000,3600.000000000000000,6300.000000000000000,6300.000000000000000,,3600.000000000000000,,1800.000000000000000,,900.000000000000000,900.000000000000000,1800.000000000000000,1800.000000000000000,,,20027,CLAY
