,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
664374,783486,2003502001900001001,190613.901624607882695,,,,,,,,,,,,,,,,20035,COWLEY
664375,783487,2003502001900002001,111380.760834122120286,,,,,,,,,,,,,,,,20035,COWLEY
664376,783488,2003502001910001001,669823.243330564000644,,,,,,,,,,,,,,,,20035,COWLEY
664377,783489,2003502001910006001,8147.724647833016206,,,,,,,,,,,,,,,,20035,COWLEY
664378,783490,2003502001910010001,29246.497573697564803,,,,,,,,,,,,,,,,20035,COWLEY
664379,783491,2003502001920011001,5902.938860670922622,,,,,,,,,,,,,,,,20035,COWLEY
664380,783492,2003502001910009001,61646.841488074795052,,,,,,,,,,,,,,,,20035,COWLEY
664381,783493,2003502001910004001,42183.758331436256412,,,,,,,,,,,,,,,,20035,COWLEY
664382,783494,2003502001920006001,12053.763234821679362,,,,,,,,,,,,,,,,20035,COWLEY
664383,783495,2003502001920003001,41173.656679934487329,,,,,,,,,,,,,,,,20035,COWLEY
664384,783496,2003502001930002001,16561.480241591088998,,,,,,,,,,,,,,,,20035,COWLEY
664385,783499,2003502001940001001,946002.063072063843720,,,,,,,,,,,,,,,,20035,COWLEY
664386,783500,2003502001940002001,1232081.190252230269834,,,,,,2700.000000000000000,,,,,,,,,,20035,COWLEY
664387,783501,2003502001950001001,4786.261253603244768,,,,,,,,,,,,,,,,20035,COWLEY
664388,783502,2003502001960001001,1097064.263451524544507,,,,,,,,,,,,,,,,20035,COWLEY
664389,783503,2003502001930003001,119417.348059585885494,,900.000000000000000,,,900.000000000000000,,,,,,,,,,,20035,COWLEY
664390,783504,2003502001920004001,82258.377515298663639,,,,,,,,,,,,,,,,20035,COWLEY
664391,783505,2003502001930006001,8635.321115325275969,,,,,,,,,,,,,,,,20035,COWLEY
664392,783506,2003502001970001001,205318.193854063603794,,,,,,,,,,,,,,,3136.000000000000000,20035,COWLEY
664393,783507,2003502001910020001,46173.428731689746201,,,,,,,,,,,,,,,,20035,COWLEY
664394,783508,2003502001950002001,106157.626219920770382,,,1800.000000000000000,,,,,,,,,,,,,20035,COWLEY
664395,783509,2003502001510001001,330078.386856743833050,,,,,,,,,,,,,,,,20035,COWLEY
664396,783510,2003502001940003001,245971.736154322599759,,,,,,,,,,,,,,,,20035,COWLEY
664397,783511,2003502001960002001,118178.016776231772383,,,,,,,,,,,5400.000000000000000,,,,,20035,COWLEY
664398,783512,2003502001910005001,9237.994368996278354,,,,,,,,,,,,,,,,20035,COWLEY
664399,783513,2003500107840002001,48985.872832489636494,15300.000000000000000,32400.000000000000000,36900.000000000000000,37800.000000000000000,44100.000000000000000,,30600.000000000000000,,,46800.000000000000000,,36900.000000000000000,,,,20035,COWLEY
664400,783514,2003500107840004001,76344.282180491776671,900.000000000000000,,,900.000000000000000,900.000000000000000,,900.000000000000000,,,2700.000000000000000,,900.000000000000000,,,3136.000000000000000,20035,COWLEY
664401,783516,2003500107840003001,26452.127981510358950,900.000000000000000,6300.000000000000000,8100.000000000000000,16200.000000000000000,6300.000000000000000,10800.000000000000000,11700.000000000000000,,,,,12600.000000000000000,,,,20035,COWLEY
664402,783518,2003502001950003001,354184.379791033454239,,,,,,,,,,,,,,,,20035,COWLEY
664403,783519,2003502001970002001,80770.161879355451674,900.000000000000000,900.000000000000000,,,,,,,,900.000000000000000,,,,,,20035,COWLEY
664404,783520,2003502001910008001,18035.518016986599832,,,,,,,,,900.000000000000000,,,,,,,20035,COWLEY
664405,783521,2003502001960003001,7015.014712375727868,,,,,,,,,,,,,,,,20035,COWLEY
664406,783522,2003502001940004001,18885.470943262051151,,,,,,,,,,,,,,,,20035,COWLEY
664407,783523,2003500109250001001,63429.045538838887296,,,,,,,,,,,,,,,,20035,COWLEY
664408,783525,2003500109250002001,32702.209534741919924,,,,,,,,,,,,,,,,20035,COWLEY
664409,783526,2003502001980001001,319108.803354553878307,,,,,,,,900.000000000000000,,,,,,,,20035,COWLEY
664410,783527,2003500109250005001,146936.768913914507721,,,,,,,,,,,,,,,,20035,COWLEY
664411,783528,2003500109250003001,9358.891822430310640,,,,,,,,,,,,,,,,20035,COWLEY
664412,783529,2003500109100014001,4262.890775736668729,,,,,,,,,,,,,,,,20035,COWLEY
664413,783530,2003500109100012001,4090.793513163510397,,,,,,,,,,,,,,,,20035,COWLEY
664414,783531,2003500109100010001,103752.997323982155649,,,,,,,,,,,,,,,,20035,COWLEY
664415,783532,2003500109250006001,142808.304619023983832,,,,,,,,,,,,,900.000000000000000,,,20035,COWLEY
664416,783533,2003500109100007001,32845.619642038625898,,,,,,,,,,,,,,,,20035,COWLEY
664417,783534,2003500109100009001,33849.172557079116814,,,,,,,,,,,,,,,,20035,COWLEY
664418,783535,2003500109100006001,121130.322940420737723,,,,,,,,,,,,,,,,20035,COWLEY
664419,783536,2003500109100013001,404617.361178386257961,,,,,,,,,,,,,,,,20035,COWLEY
664420,783537,2003500109100008001,75086.722364971210482,,,,,,,,,,,,,,,,20035,COWLEY
664421,783538,2003500109100003001,57610.063915146012732,,,,,,,,,,,,,,,,20035,COWLEY
664422,783539,2003500109100015001,841702.473938092472963,,,,,,,,,,,,,,,,20035,COWLEY
664423,783540,2003500109100011001,130651.584544657889637,,,,,,,,,,,,,,,,20035,COWLEY
664424,783541,2003500109100001001,107919.135728644701885,,,,,,,,,,,,,,,,20035,COWLEY
664425,783542,2003502001920007001,4346.741766143094537,,,,,,,,,,,,,,,,20035,COWLEY
664426,783543,2003500112540001001,69641.067079607790220,5400.000000000000000,2700.000000000000000,1800.000000000000000,1800.000000000000000,2700.000000000000000,,,,5400.000000000000000,900.000000000000000,3600.000000000000000,3600.000000000000000,900.000000000000000,,,20035,COWLEY
664427,783544,2003500016370004001,5203.483713481654377,,,,,,,,,,,,,,,,20035,COWLEY
664428,783545,2003500016370003001,15987.594150363656809,,,,,,,,,,900.000000000000000,11700.000000000000000,,,,,20035,COWLEY
664429,783546,2003500016110003001,626892.449559408705682,,,,,,,,,,900.000000000000000,,,,,,20035,COWLEY
664430,783547,2003500014990003001,7410.580772012242960,4500.000000000000000,3600.000000000000000,,,,,,,,,,,,,,20035,COWLEY
664431,783548,2003500016110002001,573163.443990571657196,,1800.000000000000000,1800.000000000000000,900.000000000000000,900.000000000000000,,,,1800.000000000000000,,900.000000000000000,,,,,20035,COWLEY
664432,783550,2003500015620010001,314956.123106869636104,,,,,,,,,900.000000000000000,900.000000000000000,11700.000000000000000,,,,,20035,COWLEY
664433,783551,2003500015620001001,30386.157853798664291,,,,,,,,,,,,,,,,20035,COWLEY
664434,783552,2003500014990002001,82821.763670124419150,65700.000000000000000,,63900.000000000000000,62100.000000000000000,7200.000000000000000,60300.000000000000000,19800.000000000000000,2700.000000000000000,,,7200.000000000000000,,,,,20035,COWLEY
664435,783553,2003500000530005001,163280.819127756811213,40500.000000000000000,,900.000000000000000,,,,,900.000000000000000,22500.000000000000000,8100.000000000000000,1800.000000000000000,,1800.000000000000000,18816.000000000000000,34496.000000000000000,20035,COWLEY
664436,783554,2003500106120001001,399353.976019162626471,,,,,,,,,,900.000000000000000,,,,,,20035,COWLEY
664437,783556,2003500015730004001,154871.084416986268479,,,900.000000000000000,,,,,,4500.000000000000000,,15300.000000000000000,,3600.000000000000000,,,20035,COWLEY
664438,783557,2003500100220006001,13712.195165567511140,,,900.000000000000000,,900.000000000000000,,,,,900.000000000000000,,,,,3136.000000000000000,20035,COWLEY
664439,783558,2003500002480001001,5124.096971588761335,,,,,,,,,,,,,,,,20035,COWLEY
664440,783559,2003500015730003001,31464.484206952842214,,,,,,,,,16200.000000000000000,4500.000000000000000,7200.000000000000000,900.000000000000000,3600.000000000000000,,,20035,COWLEY
664441,783560,2003500016430002001,99964.509502270346275,4500.000000000000000,,,,,,,,,,,,,,,20035,COWLEY
664442,783561,2003500100220002001,16411.857800496793061,,,,,,,,,,,,,,,,20035,COWLEY
664443,783562,2003500002540007001,96615.373084400722291,,5400.000000000000000,900.000000000000000,3600.000000000000000,,,900.000000000000000,,,6300.000000000000000,9900.000000000000000,,,3136.000000000000000,6272.000000000000000,20035,COWLEY
664444,783563,2003500016670004001,157606.143097865046002,,,,,,,,,,,4500.000000000000000,,,,,20035,COWLEY
664445,783564,2003500002540001001,59249.084047617710894,7200.000000000000000,58500.000000000000000,,47700.000000000000000,,,37800.000000000000000,,,40500.000000000000000,40500.000000000000000,,,,15680.000000000000000,20035,COWLEY
664446,783565,2003500112540014001,106950.525697027915157,9900.000000000000000,6300.000000000000000,15300.000000000000000,6300.000000000000000,,,,1800.000000000000000,6300.000000000000000,42300.000000000000000,17100.000000000000000,,1800.000000000000000,,,20035,COWLEY
664447,783566,2003500003260001001,35828.499106248775206,900.000000000000000,,,,,,,,,900.000000000000000,900.000000000000000,,,,,20035,COWLEY
664448,783567,2003500015660006001,5314.293246940972494,,,,,,,,,,,,,,,,20035,COWLEY
664449,783568,2003500003260002001,7246.422030003735017,,,,,,,,,,1800.000000000000000,,,,,,20035,COWLEY
664450,783569,2003500016670003001,131998.729217352083651,,,,,,,,,,,,,,,,20035,COWLEY
664451,783570,2003502001520004001,4170.001390784903379,,,,,,,,,,,,,,,,20035,COWLEY
664452,783571,2003500027010003001,404933.176067009393591,,,,,,,,,,,,,,,,20035,COWLEY
664453,783572,2003500016680008001,788494.744913929840550,3600.000000000000000,,3600.000000000000000,21600.000000000000000,2700.000000000000000,,,,22500.000000000000000,16200.000000000000000,24300.000000000000000,,900.000000000000000,,12544.000000000000000,20035,COWLEY
664454,783573,2003500026650001001,319163.412639609770849,,,,,,,,,1800.000000000000000,5400.000000000000000,11700.000000000000000,,,,,20035,COWLEY
664455,783574,2003500093850002001,125536.982839869917370,,,,,,,,,,900.000000000000000,,,,,,20035,COWLEY
664456,783575,2003500097720005001,4064.584363619299893,3600.000000000000000,,,,,,,,,,,,,,6272.000000000000000,20035,COWLEY
664457,783576,2003502001520005001,7014.421229278843384,,,,,,,,,,,,,,,,20035,COWLEY
664458,783577,2003500015540002001,170541.902096262841951,,,,,,,,,,,3600.000000000000000,,,,,20035,COWLEY
664459,783578,2003500103540003001,31530.487510901963105,,,,,,,,,,,3600.000000000000000,,,,,20035,COWLEY
664460,783579,2003500103540004001,75593.039076679619029,,,,,,,,,,,900.000000000000000,,,,,20035,COWLEY
664461,783580,2003500014990010001,14362.174218035241211,,,,,,,,,,,,,,,,20035,COWLEY
664462,783581,2003500112540024001,7077.303860435749812,,,,,,,,,,,,,,,,20035,COWLEY
664463,783582,2003500103850002001,29599.269334310476552,,27000.000000000000000,26100.000000000000000,27000.000000000000000,7200.000000000000000,,,,15300.000000000000000,5400.000000000000000,9000.000000000000000,,25200.000000000000000,,,20035,COWLEY
664464,783583,2003500027070001001,2472831.799939942546189,,,,,,,,,900.000000000000000,7200.000000000000000,23400.000000000000000,,,,,20035,COWLEY
664465,783585,2003500016380006001,7937.358567688241237,,,,,,,,,,,,,,,,20035,COWLEY
664466,783586,2003500027030001001,363424.844849967746995,,,,,,,,,,,,,,,,20035,COWLEY
664467,783587,2003500016380001001,202230.617676610971102,,189000.000000000000000,183600.000000000000000,184500.000000000000000,10800.000000000000000,,,,159300.000000000000000,24300.000000000000000,6300.000000000000000,,175500.000000000000000,,,20035,COWLEY
664468,783588,2003500004410001001,16710.897317966857372,,,,,,,,,,,,,,,,20035,COWLEY
664469,783589,2003500016750005001,37140.719769033079501,,,26100.000000000000000,,,2700.000000000000000,,,2700.000000000000000,,900.000000000000000,900.000000000000000,,,,20035,COWLEY
664470,783590,2003500093850001001,19885.353974746703898,,,,,,,,,,,,,,,,20035,COWLEY
664471,783591,2003500027400001001,4678.000790888082520,,,,,,,,,,,,,,,,20035,COWLEY
664472,783592,2003500002730006001,93780.239194365800358,95400.000000000000000,94500.000000000000000,,94500.000000000000000,2700.000000000000000,93600.000000000000000,18000.000000000000000,,88200.000000000000000,1800.000000000000000,91800.000000000000000,93600.000000000000000,72900.000000000000000,,3136.000000000000000,20035,COWLEY
664473,783593,2003500007240002001,63464.496430022380082,,,,,,,,,,,900.000000000000000,,,,,20035,COWLEY
664474,783594,2003500000440008001,1646653.737367041409016,9900.000000000000000,900.000000000000000,3600.000000000000000,1800.000000000000000,1800.000000000000000,1800.000000000000000,,900.000000000000000,7200.000000000000000,3600.000000000000000,27900.000000000000000,900.000000000000000,900.000000000000000,,3136.000000000000000,20035,COWLEY
664475,783595,2003500100220005001,159602.630411748599727,11700.000000000000000,,,,,,,,,1800.000000000000000,,,,,,20035,COWLEY
664476,783596,2003500016370001001,192836.631634509889409,186300.000000000000000,162000.000000000000000,169200.000000000000000,173700.000000000000000,164700.000000000000000,2700.000000000000000,,,58500.000000000000000,158400.000000000000000,158400.000000000000000,900.000000000000000,,,6272.000000000000000,20035,COWLEY
664477,783597,2003500002110015001,414262.538405596860684,1800.000000000000000,,,,,,,,900.000000000000000,7200.000000000000000,9900.000000000000000,,,,9408.000000000000000,20035,COWLEY
664478,783598,2003500002110005001,178053.949216732318746,,,,,,,,,4500.000000000000000,127800.000000000000000,21600.000000000000000,,,,34496.000000000000000,20035,COWLEY
664479,783599,2003500093840002001,5404.534100330467481,,,,,,,,,900.000000000000000,,,,,,,20035,COWLEY
664480,783600,2003500002110001001,147581.742542391351890,139500.000000000000000,24300.000000000000000,126000.000000000000000,,,,,,,13500.000000000000000,129600.000000000000000,111600.000000000000000,,,,20035,COWLEY
664481,783601,2003500016750006001,43071.835179956986394,,,37800.000000000000000,,2700.000000000000000,,900.000000000000000,,24300.000000000000000,900.000000000000000,,,,,3136.000000000000000,20035,COWLEY
664482,783602,2003500100990001001,146168.941530871379655,134100.000000000000000,128700.000000000000000,,108900.000000000000000,3600.000000000000000,111600.000000000000000,,115200.000000000000000,,110700.000000000000000,900.000000000000000,112500.000000000000000,,53312.000000000000000,,20035,COWLEY
664483,783603,2003500107530001001,9230.997199957850171,,,,,,,,,900.000000000000000,,,,,,,20035,COWLEY
664484,783604,2003500107540001001,278776.140160791866947,,269100.000000000000000,270900.000000000000000,3600.000000000000000,271800.000000000000000,,257400.000000000000000,,192600.000000000000000,,254700.000000000000000,,240300.000000000000000,,,20035,COWLEY
664485,783605,2003520015100006001,94926.286114484959398,,2700.000000000000000,,,,,,,,,,,,,,20035,COWLEY
664486,783606,2003520015100001001,296831.015683111909311,,275400.000000000000000,,239400.000000000000000,,236700.000000000000000,,97200.000000000000000,12600.000000000000000,253800.000000000000000,,265500.000000000000000,,,,20035,COWLEY
664487,783607,2003520015100004001,15490.608360409585657,900.000000000000000,900.000000000000000,1800.000000000000000,,1800.000000000000000,,,,1800.000000000000000,,,,,,,20035,COWLEY
664488,783608,2003500007240001001,359246.635981316794641,,338400.000000000000000,334800.000000000000000,1800.000000000000000,333900.000000000000000,,308700.000000000000000,,333900.000000000000000,,303300.000000000000000,7200.000000000000000,303300.000000000000000,,,20035,COWLEY
664489,783609,2003500016770005001,5980.816569953897670,900.000000000000000,,,,,,,,,1800.000000000000000,,,,,,20035,COWLEY
664490,783610,2003500004190008001,263172.492488841002341,,2700.000000000000000,,2700.000000000000000,,2700.000000000000000,1800.000000000000000,900.000000000000000,,3600.000000000000000,900.000000000000000,8100.000000000000000,,,3136.000000000000000,20035,COWLEY
664491,783611,2003500004190004001,210524.179564969410421,189000.000000000000000,183600.000000000000000,187200.000000000000000,185400.000000000000000,,187200.000000000000000,179100.000000000000000,190800.000000000000000,,189900.000000000000000,11700.000000000000000,175500.000000000000000,117000.000000000000000,,56448.000000000000000,20035,COWLEY
664492,783613,2003500103540001001,72274.992083026896580,,,,,,,,,,,21600.000000000000000,,,,,20035,COWLEY
664493,783614,2003500004190005001,137868.967332798667485,22500.000000000000000,41400.000000000000000,4500.000000000000000,,,116100.000000000000000,21600.000000000000000,,,1800.000000000000000,61200.000000000000000,122400.000000000000000,,,100352.000000000000000,20035,COWLEY
664494,783615,2003500015620003001,8428.138540765348807,,7200.000000000000000,6300.000000000000000,,6300.000000000000000,,,,900.000000000000000,,3600.000000000000000,,,,,20035,COWLEY
664495,783616,2003500015100001001,312973.032777311746031,,,,,,,,,,13500.000000000000000,,,,,,20035,COWLEY
664496,783618,2003500016670001001,84288.505601501092315,,78300.000000000000000,77400.000000000000000,77400.000000000000000,,,,,62100.000000000000000,15300.000000000000000,8100.000000000000000,,,15680.000000000000000,3136.000000000000000,20035,COWLEY
664497,783619,2003500102570002001,4116.750761019678066,,,,,,,,,,,,,,,,20035,COWLEY
