,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
47511,53183,2003700021270004001,88954.133131025213515,,,,,,,,,,,,,,,,20037,CRAWFORD
47512,53184,2003700014310002001,7303.334944136458034,900.000000000000000,,900.000000000000000,,900.000000000000000,,900.000000000000000,3600.000000000000000,900.000000000000000,,,900.000000000000000,,,,20037,CRAWFORD
47513,53185,2003700033050006001,75621.703869889664929,53100.000000000000000,,,,,,,,,,,,,,,20037,CRAWFORD
47514,53186,2003700034620003001,189674.395002877659863,,168300.000000000000000,,10800.000000000000000,,,,,,,2700.000000000000000,126900.000000000000000,5400.000000000000000,153664.000000000000000,,20037,CRAWFORD
47515,53187,2003700009740001001,14091.164201118823257,5400.000000000000000,5400.000000000000000,1800.000000000000000,3600.000000000000000,900.000000000000000,1800.000000000000000,1800.000000000000000,,,2700.000000000000000,1800.000000000000000,3600.000000000000000,2700.000000000000000,3136.000000000000000,6272.000000000000000,20037,CRAWFORD
47516,53188,2003700018290001001,198943.629515728942351,179100.000000000000000,137700.000000000000000,9900.000000000000000,178200.000000000000000,1800.000000000000000,178200.000000000000000,3600.000000000000000,178200.000000000000000,,167400.000000000000000,,131400.000000000000000,167400.000000000000000,134848.000000000000000,3136.000000000000000,20037,CRAWFORD
47517,53189,2003700042770006001,30468.056182798394730,20700.000000000000000,5400.000000000000000,22500.000000000000000,20700.000000000000000,22500.000000000000000,23400.000000000000000,22500.000000000000000,22500.000000000000000,,,,,,3136.000000000000000,,20037,CRAWFORD
47518,53190,2003700038250007001,48850.376681378525973,42300.000000000000000,900.000000000000000,42300.000000000000000,42300.000000000000000,,2700.000000000000000,,1800.000000000000000,,10800.000000000000000,,36000.000000000000000,,,6272.000000000000000,20037,CRAWFORD
47519,53191,2003700027000001001,30709.405545357269148,10800.000000000000000,1800.000000000000000,2700.000000000000000,,,,,,,,,12600.000000000000000,,,,20037,CRAWFORD
47520,53192,2003700041040001001,23932.297683552631497,,,,,,,1800.000000000000000,,,,,,2700.000000000000000,,,20037,CRAWFORD
