,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
684040,805414,2004300002320004001,39418.306117152751540,900.000000000000000,,,,,,,,,,,,,,,20043,DONIPHAN
684041,805415,2004300002320006001,164498.190386185859097,,,,,,,,,,,,,,,,20043,DONIPHAN
684042,805416,2004300002320003001,492695.002847427618690,329400.000000000000000,900.000000000000000,317700.000000000000000,141300.000000000000000,,473400.000000000000000,,900.000000000000000,,900.000000000000000,390600.000000000000000,,358200.000000000000000,15680.000000000000000,445312.000000000000000,20043,DONIPHAN
684043,805417,2004300022250003001,8409.047263167873098,,,,,,,,,,,,,,,,20043,DONIPHAN
684044,805418,2004300000470002001,23005.469436747731379,,,1800.000000000000000,,,18000.000000000000000,,,,,,,9900.000000000000000,,,20043,DONIPHAN
684045,805419,2004300000470012001,13120.653249526609216,,,,,,,,,,,,,,,,20043,DONIPHAN
684046,805420,2004300000470010001,8726.683860947108769,,,,,,,,,,,,,,,,20043,DONIPHAN
684047,805421,2004300000860002001,43041.929678084976331,,900.000000000000000,,,,,,900.000000000000000,,,,,900.000000000000000,,,20043,DONIPHAN
684048,805422,2004300001580002001,16117.917745622728035,,,,,,,,,,,,,,,,20043,DONIPHAN
684049,805424,2004300001580005001,8442.222534966060266,,,,,,,,,,,,,,,,20043,DONIPHAN
684050,805425,2004300001580004001,7839.744620718273836,,,,,,,,,,,,,,,,20043,DONIPHAN
684051,805426,2004300001580001001,61935.821815492665337,,,,,,,900.000000000000000,,,,900.000000000000000,,,,,20043,DONIPHAN
684052,805427,2004300001580003001,82914.759204865680658,900.000000000000000,,,,,,,,,,,,,,,20043,DONIPHAN
684053,805428,2004300000860001001,16049.904206276620243,,,,,,,,,,,,,,,,20043,DONIPHAN
684054,805429,2004300021050001001,36205.522796010009188,,,900.000000000000000,,,,,,,,27900.000000000000000,,,,12544.000000000000000,20043,DONIPHAN
684055,805430,2004300021050006001,6222.223395845800951,,,,,900.000000000000000,,,,,900.000000000000000,,,,,,20043,DONIPHAN
684056,805431,2004300000030001001,17690.643876603131503,,,,,,,,,,,,1800.000000000000000,,,,20043,DONIPHAN
684057,805433,2004303114730001001,25948.322071272821631,900.000000000000000,1800.000000000000000,1800.000000000000000,,,1800.000000000000000,,900.000000000000000,,,,16200.000000000000000,,6272.000000000000000,,20043,DONIPHAN
684058,805434,2004303114730002001,76571.261531877680682,,,900.000000000000000,,,,,,,,,900.000000000000000,,,,20043,DONIPHAN
684059,805435,2004303114740002001,65713.056030490115518,,,,61200.000000000000000,,,,,,,19800.000000000000000,46800.000000000000000,5400.000000000000000,6272.000000000000000,31360.000000000000000,20043,DONIPHAN
684060,805436,2004303114740004001,89581.762805503196432,,1800.000000000000000,,78300.000000000000000,,,,,,45000.000000000000000,39600.000000000000000,82800.000000000000000,61200.000000000000000,,62720.000000000000000,20043,DONIPHAN
684061,805437,2004303114740001001,305309.504589707008563,212400.000000000000000,,216900.000000000000000,,203400.000000000000000,,15300.000000000000000,167400.000000000000000,144900.000000000000000,,22500.000000000000000,243000.000000000000000,147600.000000000000000,232064.000000000000000,,20043,DONIPHAN
684062,805438,2004303114740003001,37739.781261803727830,,,,5400.000000000000000,,,,,900.000000000000000,,1800.000000000000000,,900.000000000000000,,,20043,DONIPHAN
684063,805439,2004300001230001001,20171.452741862398398,,1800.000000000000000,,,,900.000000000000000,2700.000000000000000,9000.000000000000000,,4500.000000000000000,,,2700.000000000000000,,,20043,DONIPHAN
684064,805440,2004300001230002001,19254.060155538430990,,900.000000000000000,,,,,,900.000000000000000,,,,,,,,20043,DONIPHAN
684065,805441,2004300000030003001,68771.222827346384292,,900.000000000000000,,,,,,,,,,,,,,20043,DONIPHAN
684066,805442,2004300002330001001,41042.388867049405235,,,,,,,,,,,,,,,,20043,DONIPHAN
684067,805443,2004300000630001001,198388.564961928816047,,,,,,,,,,,,,,,,20043,DONIPHAN
684068,805444,2004300001230003001,105592.224067839095369,,,,,,,,,,,,,,,,20043,DONIPHAN
684069,805446,2004300002630002001,31643.487934991491784,,,,19800.000000000000000,,,18900.000000000000000,,20700.000000000000000,,,,20700.000000000000000,,18816.000000000000000,20043,DONIPHAN
684070,805448,2004300002630001001,94897.507654928820557,,,,80100.000000000000000,,,81900.000000000000000,,71100.000000000000000,,,,73800.000000000000000,,75264.000000000000000,20043,DONIPHAN
684071,805449,2004300002620004001,13339.173161785816774,,,,,,,,,,,,900.000000000000000,,,,20043,DONIPHAN
684072,805450,2004300002630004001,42218.744757714899606,,900.000000000000000,900.000000000000000,31500.000000000000000,,,31500.000000000000000,,30600.000000000000000,,,,,21952.000000000000000,3136.000000000000000,20043,DONIPHAN
684073,805451,2004300002620001001,217808.595840040070470,,,,178200.000000000000000,,,179100.000000000000000,,170100.000000000000000,,,,,150528.000000000000000,,20043,DONIPHAN
