,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
692857,816010,2004500007210003001,10364.881656568340986,,,,,,,,,,,,,,,,20045,DOUGLAS
692858,816011,2004500005550027001,52092.033911046390131,,,,,,,,,,,,,,,,20045,DOUGLAS
692859,816012,2004500017950001001,83367.946780809084885,,,,,,,,,,,,,,,,20045,DOUGLAS
692860,816013,2004500006250001001,380678.371406917984132,,,,,,,,,,,,,,,,20045,DOUGLAS
692861,816015,2004500097680002001,20229.080746265775815,,,,,,,,,,,,,,,,20045,DOUGLAS
692862,816017,2004500097680005001,5964.586735950316324,,,,,,,,,,,,,,,,20045,DOUGLAS
692863,816018,2004500097680004001,13932.905339229950187,,,,,,,,,,,,,,,,20045,DOUGLAS
692864,816019,2004500097700002001,7655.786749846348357,,,,,,,,,,,,,,,,20045,DOUGLAS
692865,816020,2004500006260001001,21100.792076893052581,4500.000000000000000,,,,,,,,,,,,,,,20045,DOUGLAS
692866,816021,2004500111110001001,8497.505440519445983,,4500.000000000000000,,4500.000000000000000,,4500.000000000000000,,900.000000000000000,,1800.000000000000000,,1800.000000000000000,,,,20045,DOUGLAS
692867,816022,2004500112840004001,64740.518784726897138,,,,,,,,,,,,,,3136.000000000000000,,20045,DOUGLAS
692868,816024,2004500091410002001,7731.427085431997511,,,,,,,,,,,1800.000000000000000,4500.000000000000000,2700.000000000000000,6272.000000000000000,6272.000000000000000,20045,DOUGLAS
692869,816025,2004500091410001001,15934.792278961414922,,,,,,,,,,,900.000000000000000,,4500.000000000000000,,,20045,DOUGLAS
692870,816026,2004500091410004001,17850.589099926233757,,,900.000000000000000,,,,,,,3600.000000000000000,2700.000000000000000,,6300.000000000000000,,9408.000000000000000,20045,DOUGLAS
692871,816027,2004500091410007001,6500.653721149587000,,,,,,,,,,,,,,,,20045,DOUGLAS
692872,816028,2004500017800002001,304755.266108473821077,265500.000000000000000,26100.000000000000000,257400.000000000000000,259200.000000000000000,29700.000000000000000,225000.000000000000000,,238500.000000000000000,,250200.000000000000000,183600.000000000000000,900.000000000000000,180900.000000000000000,,235200.000000000000000,20045,DOUGLAS
692873,816029,2004500017800001001,7954.502018293384936,,,,,,,,,,,,,,,,20045,DOUGLAS
692874,816030,2004500017800004001,11141.721078904702154,,,,,,,,,,,,,,,,20045,DOUGLAS
692875,816031,2004500017940004001,33954.563037025938684,6300.000000000000000,5400.000000000000000,5400.000000000000000,,,,,,,,,,,,,20045,DOUGLAS
692876,816032,2004500111310011001,35700.171820347764879,,,,,,900.000000000000000,,1800.000000000000000,,,2700.000000000000000,,,,,20045,DOUGLAS
692877,816033,2004500111310007001,93999.342316832698998,75600.000000000000000,9000.000000000000000,81000.000000000000000,,79200.000000000000000,72000.000000000000000,,79200.000000000000000,900.000000000000000,,61200.000000000000000,,66600.000000000000000,,75264.000000000000000,20045,DOUGLAS
