,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
57801,64600,2006100200270005001,24405.638227458992333,,,15300.000000000000000,16200.000000000000000,,18000.000000000000000,,,,16200.000000000000000,9900.000000000000000,17100.000000000000000,,3136.000000000000000,,20061,GEARY
57976,64802,2006100200270009002,65543.389140523679089,48600.000000000000000,900.000000000000000,39600.000000000000000,,21600.000000000000000,900.000000000000000,,,,30600.000000000000000,14400.000000000000000,5400.000000000000000,,3136.000000000000000,,20061,GEARY
58040,64874,2006100200270007001,23923.188022875863680,21600.000000000000000,,18900.000000000000000,20700.000000000000000,,20700.000000000000000,7200.000000000000000,,19800.000000000000000,,18900.000000000000000,,,,,20061,GEARY
58235,65093,2006100200270024001,22675.307981835278042,16200.000000000000000,,5400.000000000000000,2700.000000000000000,18000.000000000000000,13500.000000000000000,4500.000000000000000,,14400.000000000000000,,900.000000000000000,,,,,20061,GEARY
58247,65106,2006100200270025001,15896.862523331681587,,,,,,,,1800.000000000000000,,,1800.000000000000000,900.000000000000000,,,,20061,GEARY
58305,65176,2006100200270021001,43667.948970085322799,26100.000000000000000,,6300.000000000000000,15300.000000000000000,900.000000000000000,,9900.000000000000000,,30600.000000000000000,,9000.000000000000000,23400.000000000000000,,3136.000000000000000,,20061,GEARY
58440,65327,2006100200270024002,26662.653090714211430,3600.000000000000000,900.000000000000000,2700.000000000000000,10800.000000000000000,900.000000000000000,,9000.000000000000000,,14400.000000000000000,,8100.000000000000000,10800.000000000000000,,6272.000000000000000,,20061,GEARY
58547,65451,2006100200270025002,66070.604320219659712,57600.000000000000000,,40500.000000000000000,29700.000000000000000,900.000000000000000,56700.000000000000000,8100.000000000000000,2700.000000000000000,56700.000000000000000,,53100.000000000000000,,,37632.000000000000000,,20061,GEARY
58603,65514,2006100200270024003,42865.668860624333320,27900.000000000000000,,10800.000000000000000,21600.000000000000000,1800.000000000000000,,13500.000000000000000,,,7200.000000000000000,,13500.000000000000000,,3136.000000000000000,,20061,GEARY
58724,65651,2006100200270007002,24072.460405842033651,22500.000000000000000,,20700.000000000000000,14400.000000000000000,,21600.000000000000000,11700.000000000000000,,18900.000000000000000,,21600.000000000000000,,,,,20061,GEARY
58727,65654,2006100200270003001,37568.222019789020123,,,,,,,,,,,,,,,,20061,GEARY
58804,65747,2006100200270005002,15091.016010455941796,,,1800.000000000000000,,1800.000000000000000,,,1800.000000000000000,1800.000000000000000,900.000000000000000,,,,,,20061,GEARY
59432,66486,2006100200270019002,6774.058241710542461,,,900.000000000000000,,3600.000000000000000,,1800.000000000000000,2700.000000000000000,5400.000000000000000,,,,,,,20061,GEARY
59464,66526,2006100200270019003,35181.457754314258636,27000.000000000000000,,,25200.000000000000000,,,12600.000000000000000,,,12600.000000000000000,,,17100.000000000000000,,,20061,GEARY
59573,66657,2006100200270025004,6036.263263573496261,,,,,,,,1800.000000000000000,900.000000000000000,,900.000000000000000,,,,,20061,GEARY
59594,66683,2006100200270024004,10420.926282391692439,900.000000000000000,,1800.000000000000000,,1800.000000000000000,3600.000000000000000,,,,,,,,,,20061,GEARY
59705,66814,2006100200270006002,9233.338820126542487,,4500.000000000000000,900.000000000000000,,,6300.000000000000000,,,,,,,3600.000000000000000,,,20061,GEARY
59707,66817,2006100200270025005,7910.391503930139152,,,,,,,,900.000000000000000,1800.000000000000000,,,,,,,20061,GEARY
59755,66875,2006100200270025006,9474.385397761114291,,,,,,,,2700.000000000000000,900.000000000000000,,900.000000000000000,,,,,20061,GEARY
59799,66935,2006100200270006003,32528.667202308759443,,24300.000000000000000,17100.000000000000000,,,29700.000000000000000,,,,,,,9900.000000000000000,,,20061,GEARY
59859,67102,2006100200270024005,73619.366462966747349,55800.000000000000000,900.000000000000000,2700.000000000000000,49500.000000000000000,1800.000000000000000,,41400.000000000000000,900.000000000000000,,52200.000000000000000,,900.000000000000000,900.000000000000000,,12544.000000000000000,20061,GEARY
59862,67105,2006100200270020002,14432.528083850451367,,,9900.000000000000000,1800.000000000000000,,,7200.000000000000000,,,,3600.000000000000000,,,,12544.000000000000000,20061,GEARY
59963,67226,2006100200270005003,10832.834481381269143,900.000000000000000,,8100.000000000000000,7200.000000000000000,8100.000000000000000,,900.000000000000000,7200.000000000000000,,7200.000000000000000,,,,,,20061,GEARY
60005,67272,2006100200270023001,12482.702710808045595,6300.000000000000000,,3600.000000000000000,4500.000000000000000,1800.000000000000000,9900.000000000000000,2700.000000000000000,900.000000000000000,8100.000000000000000,,3600.000000000000000,,,,,20061,GEARY
60006,67273,2006100200270024006,10865.642734607101374,1800.000000000000000,,,900.000000000000000,900.000000000000000,,,2700.000000000000000,900.000000000000000,,,900.000000000000000,,,,20061,GEARY
60130,67419,2006100200270025007,11395.281043709388541,4500.000000000000000,,2700.000000000000000,,5400.000000000000000,,,4500.000000000000000,,,900.000000000000000,,,,,20061,GEARY
60131,67420,2006100200270025008,13904.348798179553341,,,,,,,,,,,,,,,,20061,GEARY
60308,67623,2006100200270024007,15673.873722253913002,900.000000000000000,,1800.000000000000000,5400.000000000000000,2700.000000000000000,,4500.000000000000000,,,,,1800.000000000000000,,3136.000000000000000,,20061,GEARY
60445,67785,2006100200270008002,76197.632744961767457,,,69300.000000000000000,1800.000000000000000,,68400.000000000000000,,64800.000000000000000,,65700.000000000000000,,,,,56448.000000000000000,20061,GEARY
60452,67795,2006100200270015001,78738.356912255709176,73800.000000000000000,,64800.000000000000000,1800.000000000000000,,64800.000000000000000,2700.000000000000000,900.000000000000000,66600.000000000000000,,31500.000000000000000,,58500.000000000000000,,,20061,GEARY
60573,67932,2006100200270019005,14338.028051115523340,,1800.000000000000000,900.000000000000000,,5400.000000000000000,,4500.000000000000000,,10800.000000000000000,,4500.000000000000000,,10800.000000000000000,,3136.000000000000000,20061,GEARY
60679,68062,2006100200270025009,7629.497488301814883,900.000000000000000,,900.000000000000000,,3600.000000000000000,,,900.000000000000000,,,1800.000000000000000,,,,,20061,GEARY
60829,68233,2006100200270005004,67720.497924817231251,,32400.000000000000000,3600.000000000000000,52200.000000000000000,,55800.000000000000000,,,,45900.000000000000000,16200.000000000000000,48600.000000000000000,,,18816.000000000000000,20061,GEARY
60948,68370,2006100200270018001,39572.617771369194088,31500.000000000000000,4500.000000000000000,,2700.000000000000000,,33300.000000000000000,,,,,27000.000000000000000,,,,21952.000000000000000,20061,GEARY
61038,68475,2006100200270005005,167491.356334939191584,14400.000000000000000,900.000000000000000,135900.000000000000000,124200.000000000000000,,,90900.000000000000000,2700.000000000000000,,,,121500.000000000000000,31500.000000000000000,,28224.000000000000000,20061,GEARY
61064,68505,2006100200270010001,26375.831063700330560,,,,,900.000000000000000,900.000000000000000,,,,,8100.000000000000000,5400.000000000000000,,,,20061,GEARY
61308,68785,2006100200270011001,18104.217269241587928,16200.000000000000000,,,14400.000000000000000,1800.000000000000000,,7200.000000000000000,,10800.000000000000000,900.000000000000000,16200.000000000000000,,900.000000000000000,,,20061,GEARY
61459,68964,2006100200270009003,71826.216183810669463,31500.000000000000000,19800.000000000000000,47700.000000000000000,,48600.000000000000000,,900.000000000000000,6300.000000000000000,,900.000000000000000,,48600.000000000000000,5400.000000000000000,,,20061,GEARY
61583,69104,2006100200270019007,66588.340357218243298,5400.000000000000000,4500.000000000000000,,,54900.000000000000000,2700.000000000000000,,58500.000000000000000,1800.000000000000000,,,,52200.000000000000000,3136.000000000000000,6272.000000000000000,20061,GEARY
61981,69579,2006100200270002001,167011.364037449122407,162000.000000000000000,,,,139500.000000000000000,,,144000.000000000000000,,,121500.000000000000000,,,103488.000000000000000,,20061,GEARY
