,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
718954,844838,2006700012100001001,639227.711276501766406,,,,,,,,,,,,,,,,20067,GRANT
718955,844839,2006700020590002001,46386.591048211608722,,,,,,,,,,,,,,,,20067,GRANT
718956,844840,2006700020600003001,32305.790762802065728,,,,,,,,,,,,,,,,20067,GRANT
718957,844841,2006700012120001001,621565.411471947212704,,,,,,,,,,,,,,,3136.000000000000000,20067,GRANT
718958,844842,2006700009380001001,642455.668005443527363,,,,,,,,,,,,,,,,20067,GRANT
718959,844843,2006702009310008001,618749.551481538917869,,,,,,,,900.000000000000000,,,,,,,,20067,GRANT
718960,844844,2006700017150001001,640201.317685060319491,,,,,,,,,,,2700.000000000000000,,,,,20067,GRANT
718961,844845,2006702008150005001,2571232.611072796862572,,,,,,,,,,5400.000000000000000,,,,,,20067,GRANT
718962,844846,2006700012630001001,645558.836150797666050,,,,,,,,,,,,,,,,20067,GRANT
718963,844847,2006700009890001001,640603.824043158208951,,,,,,,,,,,,,,,,20067,GRANT
718964,844848,2006702008120001001,641263.752149400999770,,,,,,,,,,,,,,,,20067,GRANT
718965,844849,2006702008130001001,632260.794660523766652,,,,,,,,,,,900.000000000000000,,,,,20067,GRANT
718966,844850,2006700011240001001,637488.177010759594850,,,,,,,,,,,,,,,,20067,GRANT
718967,844851,2006700011520001001,6767.641469456290906,,,,,,,,,,,,,,,,20067,GRANT
718968,844852,2006700018020001001,642660.653930169763044,,,,,,,,,,,,,,,,20067,GRANT
718969,844853,2006720081390001001,638172.921449257060885,,,,,,,,,,,,,,,,20067,GRANT
718970,844854,2006700010300001001,642647.854378783842549,,,,,,,,,,,,,,,,20067,GRANT
718971,844855,2006702008190001001,2392377.271181992255151,,,,,,,,,,,,,,,,20067,GRANT
718972,844856,2006700010200002001,649648.634346730192192,,,,,,,,,,,,,,,,20067,GRANT
718973,844857,2006720093130003001,14553.486689857973033,,,,,,,,,,,,,,,,20067,GRANT
718974,844858,2006700010670001001,635156.071253539295867,,,,900.000000000000000,,,,,,,,,900.000000000000000,,12544.000000000000000,20067,GRANT
