,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
90212,100885,2006902005550001001,27637.519735476780625,,,900.000000000000000,,,,,,,,,,,,,20069,GRAY
90213,100886,2006920055270001001,63238.903879686622531,,,,,,,,,,,,,,,,20069,GRAY
90402,101077,2006920055180001001,629978.819281928590499,,,,,,,,,,,,,,,,20069,GRAY
90451,101127,2006920055330001001,493030.897236509132199,,,,,,,,,,,,,,,,20069,GRAY
90482,101159,2006920055250001001,35071.925674709273153,,,,,,,,,,,,,,,,20069,GRAY
90544,101222,2006900200550001001,23217.956688218149793,,,,,,,,,,,,,,,,20069,GRAY
90592,101270,2006900200550001002,32337.102543723151030,,,,,,,,,,,,,,,,20069,GRAY
90614,101292,2006920055210001001,609015.514898248715326,,,,,,,,,,,,,,,,20069,GRAY
90779,101461,2006920055370001001,502689.338468728237785,,,,,,,,,,,7200.000000000000000,,,,,20069,GRAY
90798,101480,2006900200550001003,460281.684497474518139,,,,,,,,,,,,,,,15680.000000000000000,20069,GRAY
90859,101542,2006902005550001002,37236.342260253717541,,,,,,,,,,,,,,,,20069,GRAY
90868,101551,2006920055230001001,30272.204009673474502,,,,,,,,,,,,,,,,20069,GRAY
90884,101568,2006920055420001002,34354.998284129964304,,,,,,,,,,,,,,,,20069,GRAY
90948,101633,2006920055270001002,487125.049670609412715,,,,,,,,,,,,,,,,20069,GRAY
91080,101766,2006920055460001001,441806.717202002764679,,,,,,,,2700.000000000000000,,900.000000000000000,,900.000000000000000,,,,20069,GRAY
91092,101779,2006920055440001001,184630.135269990016241,,,,,,,,,,,,,,,,20069,GRAY
91142,101829,2006920055370001003,68244.536653604736784,,,900.000000000000000,,,,,,,,2700.000000000000000,,,,,20069,GRAY
91182,101869,2006920055420001003,33395.167610148913809,,,,,,,,,,,,,,,,20069,GRAY
91218,101905,2006920055420001004,499650.659237709711306,,,,,,,,,,,,,,,,20069,GRAY
91242,101929,2006920055330001002,37681.869000160608266,,,,,,,,,,,,,,,,20069,GRAY
91261,101948,2006900200550001004,39123.162017476293840,,,,,,,,,,900.000000000000000,,,,,,20069,GRAY
91350,102037,2006920055330001003,86838.232464410219109,,,,,,,,,,,,,,,,20069,GRAY
91510,102197,2006920055270001003,73554.939019057899714,,,,,,,,,,,,,,,,20069,GRAY
91528,102215,2006920055430001001,349609.011566503671929,,,,,,,,,,,,,,,,20069,GRAY
91610,102298,2006920055100001001,318219.371824832633138,,,,,,,,,,,,,,,,20069,GRAY
91634,102322,2006920055230001002,33142.967157962644706,,,,,,,,,,,1800.000000000000000,,,,,20069,GRAY
91681,102371,2006920055230001004,510268.276627912593540,,,,,,,,,,,,,,,,20069,GRAY
91762,102452,2006920055250001002,31071.272281157929683,,,,,,,,,,,,,,,,20069,GRAY
91775,102465,2006920055250001003,32685.443895744221663,,,900.000000000000000,,,,,,,,,,,,,20069,GRAY
91951,102644,2006920055420001005,35708.320073090748338,,,,,,,,,,,,,,,,20069,GRAY
92003,102696,2006920055510001001,1279391.143484924221411,,,,,,,,,,,,,,,,20069,GRAY
92056,102749,2006920055100001002,737078.326392065151595,,,,,,,,,,,,,,,,20069,GRAY
92111,102804,2006920055180001002,1264225.870243779383600,,,,,,,,,,,,,,,,20069,GRAY
92137,102830,2006920055330001005,473703.719408240809571,,,,,,,,,,,,,,,6272.000000000000000,20069,GRAY
92209,102903,2006900022770002002,117579.563059615873499,,,,,,,,,,,,,,,,20069,GRAY
92238,102932,2006920055310001001,649920.662865138961934,,,,,,,,,,,,,,,,20069,GRAY
92464,103159,2006902005550001003,511121.128008153114934,,,7200.000000000000000,,,,,,,,,,,,,20069,GRAY
