,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
14991,17396,2008300029830003001,60215.916685591997521,,,,,,,,,,,,,,,,20083,HODGEMAN
15226,17639,2008300029830004001,259807.839364904561080,,,,,,,,,,,,,,,,20083,HODGEMAN
19305,21836,2008300029830010001,145276.296250525483629,,,,,,,,,,,,,,,,20083,HODGEMAN
23384,26041,2008300029830001001,132647.458496731676860,,,,,,,,,,,,,,,,20083,HODGEMAN
69183,78275,2008320047490002001,38878.659171275146946,,,,,,,,,,,,,,,,20083,HODGEMAN
69239,78331,2008320047160001001,691773.305058611324057,,,,,,,,,,,,,,,,20083,HODGEMAN
69331,78423,2008320047320001001,296630.743759415519889,,,,,,,,,,,,900.000000000000000,,,,20083,HODGEMAN
69376,78469,2008320047300001001,172307.818332423281390,,,,,,,,,,,,,,,,20083,HODGEMAN
69405,78498,2008320047370001001,246906.944058298424352,,,,,,,,5400.000000000000000,,1800.000000000000000,,,,,6272.000000000000000,20083,HODGEMAN
69408,78501,2008320047420001001,73952.809595471873763,,,,,,,,,,,,,,,,20083,HODGEMAN
69486,78579,2008320047460001001,308816.002876509970520,,,,,,,,,,,,,,,,20083,HODGEMAN
69576,78669,2008302004740001001,842354.551892957650125,,,,,,,,,,,,,,,,20083,HODGEMAN
69587,78680,2008320047510002001,358106.732672021724284,,,,,,,,,,,,,,,,20083,HODGEMAN
69719,78814,2008320047280001001,627711.690681367064826,,,900.000000000000000,,,,,,,,,,,,,20083,HODGEMAN
69797,78892,2008320047510004001,564486.400238317670301,,,,,,,,,,,,,,,,20083,HODGEMAN
69814,78909,2008300029230003001,298825.668364062381443,,,,,,,,,,,,,,,,20083,HODGEMAN
69927,79025,2008320047400001001,150463.470431232417468,,,,,,,,,,,,900.000000000000000,,,,20083,HODGEMAN
69958,79056,2008320047230001001,136303.853096274920972,900.000000000000000,,,,,,,,,4500.000000000000000,,,900.000000000000000,,,20083,HODGEMAN
70101,79200,2008320047430001002,125547.848027487852960,,,,,,,,,,,,,,,,20083,HODGEMAN
70188,79287,2008302004740001002,849430.377031135372818,,,,26100.000000000000000,,,,,,,,,,,,20083,HODGEMAN
70227,79326,2008302004780005001,102124.157003219967009,,,,,,,,,,,,,,,,20083,HODGEMAN
70312,79411,2008320047260001001,500009.113525715249125,,,,,,,,,,,,,,,,20083,HODGEMAN
70324,79423,2008320047400001002,694251.964678440359421,,,,,,,,,,,,,,,,20083,HODGEMAN
70332,79431,2008320047400001003,141138.124380219203886,,,,,,,900.000000000000000,,,,,,,,,20083,HODGEMAN
70627,79728,2008320047380001001,1286622.837569265160710,,,,,,,,,,,,,,,,20083,HODGEMAN
70775,79876,2008320047180001001,628177.768908140482381,,,,,,,,,,,,,,,,20083,HODGEMAN
70849,79951,2008320047230001003,12202.640294150158297,,,,,,,,,,,,,,,,20083,HODGEMAN
