,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
750531,880624,2008520131130005001,113213.265537566054263,,112500.000000000000000,,111600.000000000000000,,96300.000000000000000,,110700.000000000000000,,106200.000000000000000,,103500.000000000000000,108000.000000000000000,3136.000000000000000,3136.000000000000000,20085,JACKSON
750532,880625,2008520131130002001,194885.434052402182715,184500.000000000000000,,179100.000000000000000,,180900.000000000000000,,178200.000000000000000,,172800.000000000000000,,164700.000000000000000,,183600.000000000000000,15680.000000000000000,34496.000000000000000,20085,JACKSON
750533,880627,2008500008310004001,5598.748518156007776,,5400.000000000000000,,,,,,,,,,,,,,20085,JACKSON
750534,880628,2008500008310009001,109326.751969325589016,,5400.000000000000000,,,,,,,,,,,,6272.000000000000000,,20085,JACKSON
750535,880629,2008500008310010001,17598.257765348673274,,1800.000000000000000,,7200.000000000000000,900.000000000000000,6300.000000000000000,,6300.000000000000000,,4500.000000000000000,,1800.000000000000000,,,,20085,JACKSON
750536,880631,2008500010840001001,50222.915461052791215,,15300.000000000000000,,9900.000000000000000,,2700.000000000000000,,,,,,,,,,20085,JACKSON
750537,880632,2008500010840005001,121483.412989020784153,900.000000000000000,1800.000000000000000,,1800.000000000000000,,1800.000000000000000,,1800.000000000000000,,900.000000000000000,,,,,,20085,JACKSON
750538,880633,2008500010840002001,152609.279723584390013,,111600.000000000000000,,100800.000000000000000,900.000000000000000,95400.000000000000000,,72900.000000000000000,,65700.000000000000000,,,,,,20085,JACKSON
750539,880634,2008500008200001001,73512.388481850415701,3600.000000000000000,900.000000000000000,,,,,,,,,,,,,,20085,JACKSON
750540,880635,2008500008200003001,187094.309445831924677,2700.000000000000000,900.000000000000000,,,,,,,,,,,,,,20085,JACKSON
750541,880636,2008500008200002001,78591.873913385759806,,,,,,,,,,,,,,,,20085,JACKSON
750542,880637,2008500008310011001,321902.022638625465333,3600.000000000000000,,900.000000000000000,900.000000000000000,2700.000000000000000,,2700.000000000000000,1800.000000000000000,,1800.000000000000000,4500.000000000000000,,3600.000000000000000,,3136.000000000000000,20085,JACKSON
750543,880638,2008500008280002001,162759.141775199415861,,,,,,,,,,,,,,,,20085,JACKSON
750544,880639,2008500008280001001,120080.269498845853377,,,,,,,,,,,,,,,,20085,JACKSON
750545,880640,2008500008280003001,356160.087713656947017,,,,,,,,,,,,,,,,20085,JACKSON
750546,880641,2008500010640002001,510666.915926433459390,,,,,,,,,,,,,,,3136.000000000000000,20085,JACKSON
750547,880642,2008500325860004001,9073.940781337072622,,,,,,,,,,,,,,,,20085,JACKSON
750548,880643,2008500325860003001,30584.426575823345047,,,,,,,,,,,,,,,,20085,JACKSON
750549,880645,2008500325860005001,41489.011973744381976,,,,,,,,,,,,,,,,20085,JACKSON
750550,880646,2008500325860002001,37765.881664297223324,,,,,,,,,,,,,,,,20085,JACKSON
750551,880647,2008500010810003001,78096.306724014197243,50400.000000000000000,,23400.000000000000000,,,,1800.000000000000000,,,,,,,,,20085,JACKSON
750552,880648,2008500010640001001,80307.875868200222612,,46800.000000000000000,,39600.000000000000000,56700.000000000000000,60300.000000000000000,,47700.000000000000000,50400.000000000000000,,34200.000000000000000,,,,12544.000000000000000,20085,JACKSON
750553,880649,2008500010640003001,19778.873186058968713,,,,,,,,900.000000000000000,,,,,,,,20085,JACKSON
750554,880650,2008500009690002001,24760.934412105892989,,,,,,,,,,,,,,,,20085,JACKSON
750555,880651,2008500009690003001,39033.491055858910840,,,,,,,,,,,,,,,,20085,JACKSON
750556,880652,2008500009200001001,77368.704033654852537,,,,,,,,,,,7200.000000000000000,1800.000000000000000,1800.000000000000000,,,20085,JACKSON
750557,880653,2008500009200004001,7734.385978734663695,,,,,,,,,,,,,,,,20085,JACKSON
750558,880654,2008500009200008001,48063.448343007963558,,,,,,,,,,,,,,,,20085,JACKSON
750559,880656,2008500009200005001,14399.859084828802224,,,,,,,,,,,,,,,,20085,JACKSON
750560,880657,2008500009200006001,68450.066249977317057,,,,,,,,,,,900.000000000000000,,,,,20085,JACKSON
750561,880659,2008500009640002001,45730.375811805999547,,40500.000000000000000,,34200.000000000000000,,34200.000000000000000,,36900.000000000000000,,36900.000000000000000,4500.000000000000000,33300.000000000000000,2700.000000000000000,47040.000000000000000,,20085,JACKSON
750562,880660,2008500009640007001,20260.242095592791884,,,,,,,,,,,,,,,,20085,JACKSON
750563,880661,2008500009640006001,55074.331944494588242,,,,,,,,,,,,,,,,20085,JACKSON
750564,880662,2008500008950006001,11819.648802706360584,12600.000000000000000,,9000.000000000000000,9000.000000000000000,,8100.000000000000000,,,,,,,900.000000000000000,6272.000000000000000,,20085,JACKSON
750565,880663,2008500009210001001,138929.349561682320200,,,,,,,,,,,900.000000000000000,,,,,20085,JACKSON
750566,880665,2008500314030003001,159171.147232619056012,,,,,,,,,,,,,,,,20085,JACKSON
750567,880666,2008500325240003001,230653.401326590916142,,,,,,,,,,,,,,,,20085,JACKSON
750568,880667,2008500325240001001,86688.029592214676086,,,,,,,,,,,,,,,,20085,JACKSON
750569,880668,2008500325240002001,4368.311170306074928,,,,,,,,,,,,,,,,20085,JACKSON
750570,880669,2008500321510003001,31050.526603985657857,,,,,,,,,,,,,,,,20085,JACKSON
750571,880670,2008500009420001001,29727.195770326266938,,,,,,,,,,,,,,,,20085,JACKSON
750572,880671,2008500009420002001,4601.731641188221147,,,,,,,,,,,,,,,,20085,JACKSON
750573,880672,2008500009420003001,152537.771908246417297,,,,,,,,,,,,,,,,20085,JACKSON
750574,880673,2008500009420008001,5750.288997060175461,,,,,,,,,,,,,,,,20085,JACKSON
750575,880676,2008500326800005001,20283.936820177255868,,,,,,,,,,,,,,,,20085,JACKSON
750576,880677,2008500326800002001,46483.923742514336482,,,,,,,,,,,,,,,,20085,JACKSON
750577,880678,2008500326800006001,18644.111333722605195,,,,,,900.000000000000000,,,,,,,,,,20085,JACKSON
750578,880679,2008500009420006001,68844.931978575710673,,,,,,,,,,,,,3600.000000000000000,,,20085,JACKSON
750579,880681,2008500009500001001,168327.628478155413177,141300.000000000000000,1800.000000000000000,137700.000000000000000,,137700.000000000000000,65700.000000000000000,135900.000000000000000,18900.000000000000000,125100.000000000000000,,125100.000000000000000,900.000000000000000,134100.000000000000000,3136.000000000000000,125440.000000000000000,20085,JACKSON
750580,880682,2008500009500009001,29868.146704574217438,,,,,5400.000000000000000,,900.000000000000000,4500.000000000000000,,,8100.000000000000000,,1800.000000000000000,,3136.000000000000000,20085,JACKSON
750581,880683,2008500316210013001,7444.439388820203931,,,,,,,,,,,,,,,,20085,JACKSON
750582,880685,2008500316210005001,28912.815077965591627,,1800.000000000000000,14400.000000000000000,,10800.000000000000000,12600.000000000000000,,18900.000000000000000,,14400.000000000000000,,17100.000000000000000,900.000000000000000,21952.000000000000000,12544.000000000000000,20085,JACKSON
750583,880686,2008500316210003001,33289.908651893063507,,,,,,,,,,,,,,,,20085,JACKSON
750584,880687,2008500316210014001,27017.200150637014303,,,,,,,,,,,,,,,,20085,JACKSON
750585,880690,2008500009720003001,12755.384778650506632,,,,,,,,,,,,,,,,20085,JACKSON
750586,880691,2008500031730002001,21394.240969233615033,,,,,,,,2700.000000000000000,5400.000000000000000,,,,,,,20085,JACKSON
750587,880692,2008500031730003001,13338.016318325817338,,,,,,,,,,,,,,,,20085,JACKSON
750588,880694,2008500031720002001,14197.180298083258094,,,,,,,,,,,,,,,,20085,JACKSON
750589,880696,2008500031720001001,311367.527369892399292,,,,,,,,,,,,,,,,20085,JACKSON
750590,880698,2008500031720005001,28399.476537665646902,,,,,,,,,,,,,,,,20085,JACKSON
750591,880700,2008500031720008001,39483.211662169785996,,,,,,,,,,,,,,,,20085,JACKSON
750592,880702,2008500316210015001,320617.975549773080274,,,,,,,,,,,,,,,,20085,JACKSON
750593,880703,2008500008840001001,42534.442541274671385,,,,,,,,,,,,,,,,20085,JACKSON
750594,880705,2008500008840003001,276597.790873706631828,,,,,,,,,,,,,,,,20085,JACKSON
750595,880706,2008500009370002001,12880.138860133998605,,,,,,,,,,,,,,,,20085,JACKSON
750596,880707,2008500009370003001,9593.548750183497759,,,,,,,,,,,,,,,,20085,JACKSON
750597,880708,2008500009370004001,17121.108105428669660,,,,,,,,,,,,,,,,20085,JACKSON
750598,880709,2008500009110005001,25453.710457361543376,,,,,,,,,,,,,1800.000000000000000,,,20085,JACKSON
750599,880710,2008500009110003001,19937.663475774203107,,,,,,,,,,,,,,,,20085,JACKSON
750600,880711,2008500009110006001,5734.296451420102130,,,,,,,,,,,,,900.000000000000000,,,20085,JACKSON
750601,880712,2008500008070007001,14655.871927537802549,9900.000000000000000,,9900.000000000000000,,9000.000000000000000,5400.000000000000000,9000.000000000000000,9000.000000000000000,7200.000000000000000,,5400.000000000000000,900.000000000000000,8100.000000000000000,,3136.000000000000000,20085,JACKSON
750602,880713,2008500008070006001,4228.157748091525718,900.000000000000000,,1800.000000000000000,,,,,,1800.000000000000000,,,,,,,20085,JACKSON
750603,880714,2008500008070011001,9242.876163481136246,4500.000000000000000,,6300.000000000000000,1800.000000000000000,5400.000000000000000,3600.000000000000000,4500.000000000000000,7200.000000000000000,7200.000000000000000,900.000000000000000,6300.000000000000000,900.000000000000000,6300.000000000000000,,6272.000000000000000,20085,JACKSON
750604,880715,2008500008070003001,76213.387669477786403,17100.000000000000000,54000.000000000000000,18900.000000000000000,56700.000000000000000,17100.000000000000000,68400.000000000000000,17100.000000000000000,63900.000000000000000,18000.000000000000000,54000.000000000000000,31500.000000000000000,51300.000000000000000,26100.000000000000000,34496.000000000000000,21952.000000000000000,20085,JACKSON
