,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
763837,896501,2008700002080001001,314652.282504318922292,,,,,,,,,,,,,,,,20087,JEFFERSON
763838,896502,2008700033960003001,27635.247048194931267,,,,,,,,,,,,,,,,20087,JEFFERSON
763839,896504,2008700002470032001,6698.049925374400118,,,,,,,,1800.000000000000000,,900.000000000000000,,,,,,20087,JEFFERSON
763840,896505,2008700000460002001,48698.460267977388867,,,,,,,,,,,,900.000000000000000,,,,20087,JEFFERSON
763841,896506,2008700000460001001,21142.500929863152123,,,,,,,,,,,,,,,,20087,JEFFERSON
763842,896507,2008700033170006001,173661.984793327777879,,152100.000000000000000,,144000.000000000000000,,149400.000000000000000,,136800.000000000000000,,143100.000000000000000,,135900.000000000000000,,175616.000000000000000,40768.000000000000000,20087,JEFFERSON
763843,896509,2008700033170010001,4445.659641748679860,,900.000000000000000,,3600.000000000000000,,3600.000000000000000,,3600.000000000000000,,,,,,,,20087,JEFFERSON
763844,896510,2008700033170004001,9083.070139952349564,,,,,,,,,,,,,,6272.000000000000000,,20087,JEFFERSON
763845,896511,2008700033170005001,31464.849470680666855,,26100.000000000000000,,23400.000000000000000,,25200.000000000000000,,27000.000000000000000,,23400.000000000000000,,21600.000000000000000,,21952.000000000000000,3136.000000000000000,20087,JEFFERSON
763846,896512,2008700033170003001,46247.071870442407089,36000.000000000000000,,35100.000000000000000,,34200.000000000000000,,33300.000000000000000,900.000000000000000,28800.000000000000000,,25200.000000000000000,,29700.000000000000000,,28224.000000000000000,20087,JEFFERSON
763847,896513,2008700033170007001,5269.800632297577977,,,,,,,,,,,,,,,,20087,JEFFERSON
763848,896514,2008700003080001001,14379.586197060783888,,13500.000000000000000,,13500.000000000000000,900.000000000000000,9000.000000000000000,900.000000000000000,13500.000000000000000,,8100.000000000000000,,9000.000000000000000,,15680.000000000000000,,20087,JEFFERSON
763849,896515,2008700003080004001,11867.877656119468156,,900.000000000000000,,3600.000000000000000,,,,4500.000000000000000,,,,,,9408.000000000000000,,20087,JEFFERSON
763850,896516,2008700003080007001,9217.661336799803394,,900.000000000000000,,1800.000000000000000,,1800.000000000000000,,2700.000000000000000,,1800.000000000000000,,,,3136.000000000000000,,20087,JEFFERSON
763851,896517,2008700003080002001,408251.426354040973820,,396000.000000000000000,,387900.000000000000000,900.000000000000000,369900.000000000000000,900.000000000000000,375300.000000000000000,,367200.000000000000000,,371700.000000000000000,,376320.000000000000000,,20087,JEFFERSON
763852,896518,2008700003080006001,6575.593827722096648,,900.000000000000000,,1800.000000000000000,,1800.000000000000000,,1800.000000000000000,,1800.000000000000000,,900.000000000000000,,,,20087,JEFFERSON
763853,896519,2008700003080008001,9078.931226819118820,,3600.000000000000000,,9000.000000000000000,,5400.000000000000000,,6300.000000000000000,,5400.000000000000000,,900.000000000000000,,12544.000000000000000,,20087,JEFFERSON
763854,896520,2008700003080005001,4405.361478376888954,,,,3600.000000000000000,,,2700.000000000000000,1800.000000000000000,,2700.000000000000000,,2700.000000000000000,,3136.000000000000000,,20087,JEFFERSON
763855,896521,2008700002300010001,24856.062495783131453,,,,,,,,,,,,,,3136.000000000000000,,20087,JEFFERSON
763856,896522,2008700002300011001,7925.614478738763864,,,,,,,,,,,,,,,,20087,JEFFERSON
763857,896523,2008700002300007001,31829.549478183806059,,,,,,,,,,,,,,12544.000000000000000,,20087,JEFFERSON
763858,896524,2008700002300008001,26334.367015875141078,,,,,,,,,,,,,,,,20087,JEFFERSON
763859,896526,2008700002470042001,4603.934453005312207,,,,,,,,,,,,,,,,20087,JEFFERSON
763860,896527,2008700002470016001,8963.337825829557914,7200.000000000000000,,5400.000000000000000,,3600.000000000000000,,3600.000000000000000,3600.000000000000000,3600.000000000000000,,,6300.000000000000000,,,6272.000000000000000,20087,JEFFERSON
763861,896528,2008700002470037001,5922.695838550209373,,,,,,,,,,,,,,,,20087,JEFFERSON
763862,896529,2008700002470044001,6666.553858952036535,2700.000000000000000,,1800.000000000000000,,1800.000000000000000,,3600.000000000000000,1800.000000000000000,1800.000000000000000,900.000000000000000,,900.000000000000000,2700.000000000000000,,3136.000000000000000,20087,JEFFERSON
763863,896530,2008700002470011001,57382.179318142167176,,,,,,,,,,,,,,,,20087,JEFFERSON
763864,896531,2008700002470038001,7339.906821049666178,900.000000000000000,,,,900.000000000000000,,,,,,,,,,,20087,JEFFERSON
763865,896532,2008700032490002001,9855.638564496184699,1800.000000000000000,900.000000000000000,9000.000000000000000,,9000.000000000000000,,,9000.000000000000000,,7200.000000000000000,,5400.000000000000000,,12544.000000000000000,,20087,JEFFERSON
763866,896534,2008700001280002001,85266.643070760590490,,80100.000000000000000,,80100.000000000000000,,82800.000000000000000,,69300.000000000000000,,73800.000000000000000,,72000.000000000000000,,68992.000000000000000,12544.000000000000000,20087,JEFFERSON
763867,896535,2008700001280001001,30015.801039110778220,,24300.000000000000000,,20700.000000000000000,,19800.000000000000000,,20700.000000000000000,,18900.000000000000000,,20700.000000000000000,,21952.000000000000000,6272.000000000000000,20087,JEFFERSON
763868,896536,2008700039880002001,24342.073439551109914,1800.000000000000000,15300.000000000000000,,,12600.000000000000000,,18000.000000000000000,,14400.000000000000000,,13500.000000000000000,,18900.000000000000000,,15680.000000000000000,20087,JEFFERSON
763869,896537,2008700039880001001,93503.737062832486117,,88200.000000000000000,,,86400.000000000000000,,89100.000000000000000,,73800.000000000000000,,81000.000000000000000,,80100.000000000000000,3136.000000000000000,75264.000000000000000,20087,JEFFERSON
763870,896538,2008700039880015001,15673.140550700447420,900.000000000000000,1800.000000000000000,,,3600.000000000000000,,6300.000000000000000,,900.000000000000000,,6300.000000000000000,,3600.000000000000000,,9408.000000000000000,20087,JEFFERSON
763871,896540,2008700002720002001,8101.597802283617057,900.000000000000000,1800.000000000000000,900.000000000000000,6300.000000000000000,,6300.000000000000000,,3600.000000000000000,3600.000000000000000,5400.000000000000000,,3600.000000000000000,,,,20087,JEFFERSON
763872,896541,2008700002720003001,15990.206868703256987,,,,,,,,,,,,,,,,20087,JEFFERSON
763873,896542,2008700002720001001,4355.280128917624097,,900.000000000000000,,900.000000000000000,,900.000000000000000,,,,,,,,,,20087,JEFFERSON
763874,896543,2008700002720004001,23612.242023624319700,,1800.000000000000000,,1800.000000000000000,,1800.000000000000000,,,,,,,,,,20087,JEFFERSON
763875,896544,2008700002720005001,7818.736002037278013,,,,,,,,,,,,,,,,20087,JEFFERSON
763876,896546,2008700043730007001,5894.211411555189443,,,,,,,,,,,,,,,,20087,JEFFERSON
763877,896547,2008700000920005001,22952.112872026784316,,,,,,,,,,,,,,,,20087,JEFFERSON
763878,896548,2008700000920010001,11809.731043018484343,,,,,,,,,,,,,,,,20087,JEFFERSON
763879,896549,2008700001850004001,6330.381239251751140,,,,,,,,,,,,,,,,20087,JEFFERSON
763880,896550,2008700000250001001,326339.209425383189227,,,,,,,,2700.000000000000000,,,,,,,,20087,JEFFERSON
763881,896551,2008700003060014001,14772.626579639696502,,,,,,,,,,,,,1800.000000000000000,3136.000000000000000,,20087,JEFFERSON
763882,896553,2008700003060011001,5464.422678804700809,,,,,,,,,,,,,,,,20087,JEFFERSON
763883,896554,2008700003060002001,53201.621607807071996,,,,,,,,,,,,,,,,20087,JEFFERSON
763884,896555,2008700003060013001,15247.968103915625761,,,,,,,,,,,,,,3136.000000000000000,,20087,JEFFERSON
763885,896556,2008700000250003001,19625.492956813166529,,,,,,,,,,,,,,,,20087,JEFFERSON
763886,896557,2008700002750001001,388792.445469160040375,2700.000000000000000,314100.000000000000000,17100.000000000000000,392400.000000000000000,58500.000000000000000,392400.000000000000000,20700.000000000000000,392400.000000000000000,43200.000000000000000,390600.000000000000000,14400.000000000000000,392400.000000000000000,29700.000000000000000,382592.000000000000000,21952.000000000000000,20087,JEFFERSON
763887,896558,2008700001840007001,141256.802228520304197,2700.000000000000000,124200.000000000000000,,126000.000000000000000,,126000.000000000000000,,126900.000000000000000,,124200.000000000000000,,122400.000000000000000,900.000000000000000,116032.000000000000000,9408.000000000000000,20087,JEFFERSON
763888,896559,2008700039850015001,43535.590166808062349,39600.000000000000000,,39600.000000000000000,,39600.000000000000000,,39600.000000000000000,,32400.000000000000000,,39600.000000000000000,,39600.000000000000000,3136.000000000000000,43904.000000000000000,20087,JEFFERSON
763889,896560,2008700034050011001,50860.814118638678337,900.000000000000000,,,,,,,,,,,,,,3136.000000000000000,20087,JEFFERSON
763890,896561,2008700034050010001,168960.780008803965757,,,,,,,,,,,,,,,,20087,JEFFERSON
763891,896563,2008700034050009001,60281.078428230233840,1800.000000000000000,,,,,,,,,,,,,,,20087,JEFFERSON
763892,896564,2008700034050008001,43923.110585257112689,900.000000000000000,,,,,,,,,,,,,,,20087,JEFFERSON
763893,896565,2008700007950010001,8481.370518318026370,2700.000000000000000,,2700.000000000000000,2700.000000000000000,,2700.000000000000000,1800.000000000000000,,2700.000000000000000,1800.000000000000000,,,,,,20087,JEFFERSON
763894,896566,2008700007950007001,5506.514284834375758,8100.000000000000000,,8100.000000000000000,8100.000000000000000,,8100.000000000000000,8100.000000000000000,,8100.000000000000000,4500.000000000000000,,,,3136.000000000000000,,20087,JEFFERSON
763895,896567,2008700007950011001,7358.395007985004668,5400.000000000000000,,5400.000000000000000,4500.000000000000000,,3600.000000000000000,5400.000000000000000,3600.000000000000000,,,,,,,3136.000000000000000,20087,JEFFERSON
763896,896569,2008700042030004001,12719.778464568436902,2700.000000000000000,,,,,,1800.000000000000000,,,,,,,,,20087,JEFFERSON
763897,896570,2008700042030001001,41521.439668995961256,36900.000000000000000,,34200.000000000000000,,34200.000000000000000,,33300.000000000000000,5400.000000000000000,30600.000000000000000,,30600.000000000000000,,22500.000000000000000,,,20087,JEFFERSON
763898,896572,2008700042030011001,24163.496294052096346,18000.000000000000000,900.000000000000000,14400.000000000000000,,14400.000000000000000,,7200.000000000000000,,,,,,,3136.000000000000000,,20087,JEFFERSON
763899,896573,2008700008660024001,51444.739762743862229,45000.000000000000000,5400.000000000000000,46800.000000000000000,,46800.000000000000000,900.000000000000000,43200.000000000000000,,45000.000000000000000,,21600.000000000000000,,36900.000000000000000,,25088.000000000000000,20087,JEFFERSON
763900,896576,2008700005670007001,5074.785596492558398,,,,,,,,,,,,,,,,20087,JEFFERSON
763901,896578,2008700005670018001,263608.090080634399783,251100.000000000000000,,237600.000000000000000,,248400.000000000000000,,244800.000000000000000,,222300.000000000000000,,218700.000000000000000,2700.000000000000000,229500.000000000000000,9408.000000000000000,247744.000000000000000,20087,JEFFERSON
763902,896579,2008700005670005001,7860.671225379624957,,5400.000000000000000,,5400.000000000000000,,5400.000000000000000,,5400.000000000000000,,3600.000000000000000,,5400.000000000000000,,,3136.000000000000000,20087,JEFFERSON
763903,896582,2008700005670011001,64505.244706523015338,900.000000000000000,,,900.000000000000000,7200.000000000000000,7200.000000000000000,2700.000000000000000,1800.000000000000000,,3600.000000000000000,,1800.000000000000000,4500.000000000000000,12544.000000000000000,9408.000000000000000,20087,JEFFERSON
763904,896583,2008700007160003001,70862.606530576158548,77400.000000000000000,,71100.000000000000000,,71100.000000000000000,,65700.000000000000000,900.000000000000000,1800.000000000000000,,57600.000000000000000,,,25088.000000000000000,31360.000000000000000,20087,JEFFERSON
763905,896584,2008700008380015001,184563.013943403057056,2700.000000000000000,,1800.000000000000000,,1800.000000000000000,,3600.000000000000000,,900.000000000000000,,1800.000000000000000,,900.000000000000000,,,20087,JEFFERSON
763906,896585,2008700008380016001,12271.763761793463345,5400.000000000000000,,1800.000000000000000,,1800.000000000000000,,2700.000000000000000,,,,900.000000000000000,,,,,20087,JEFFERSON
763907,896588,2008700005520017001,15638.713233519825735,,,,,,,,,,,,,,,,20087,JEFFERSON
