,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
415763,465113,2011500026980001001,654018.019777789711952,,,,,,,,,3600.000000000000000,900.000000000000000,900.000000000000000,,,,,20115,MARION
956494,1119058,2011500077690001001,65761.359705737748300,24300.000000000000000,900.000000000000000,43200.000000000000000,,,2700.000000000000000,1800.000000000000000,,,,,,,,,20115,MARION
956495,1119059,2011500010990009001,269819.597576862724964,269100.000000000000000,,235800.000000000000000,225000.000000000000000,,,,,9000.000000000000000,900.000000000000000,3600.000000000000000,6300.000000000000000,252900.000000000000000,6272.000000000000000,137984.000000000000000,20115,MARION
956496,1119060,2011500000920001001,131914.390520937769907,86400.000000000000000,112500.000000000000000,,,9900.000000000000000,103500.000000000000000,,,102600.000000000000000,114300.000000000000000,19800.000000000000000,,,65856.000000000000000,72128.000000000000000,20115,MARION
956497,1119061,2011500004260001001,405866.479047337837983,398700.000000000000000,2700.000000000000000,,,399600.000000000000000,,,,,302400.000000000000000,83700.000000000000000,375300.000000000000000,3600.000000000000000,,,20115,MARION
956498,1119062,2011500000330001001,81843.321969006356085,36900.000000000000000,,35100.000000000000000,37800.000000000000000,67500.000000000000000,,,,,,67500.000000000000000,1800.000000000000000,7200.000000000000000,,6272.000000000000000,20115,MARION
956499,1119063,2011500004630001001,200516.455047259805724,,37800.000000000000000,18000.000000000000000,3600.000000000000000,182700.000000000000000,2700.000000000000000,,16200.000000000000000,71100.000000000000000,54900.000000000000000,23400.000000000000000,1800.000000000000000,900.000000000000000,,6272.000000000000000,20115,MARION
956500,1119064,2011500004020002001,495003.786362103244755,900.000000000000000,470700.000000000000000,,461700.000000000000000,,,,458100.000000000000000,15300.000000000000000,,,461700.000000000000000,,,,20115,MARION
956501,1119065,2011500080760002001,75158.513073855996481,44100.000000000000000,7200.000000000000000,900.000000000000000,,,62100.000000000000000,61200.000000000000000,,,,54900.000000000000000,1800.000000000000000,,12544.000000000000000,,20115,MARION
956502,1119066,2011500009610003001,39680.269738892464375,,,,,,,,,,1800.000000000000000,,,,,,20115,MARION
956503,1119067,2011500011580001001,110710.743768605534569,,,,,,,900.000000000000000,84600.000000000000000,,,95400.000000000000000,102600.000000000000000,900.000000000000000,59584.000000000000000,84672.000000000000000,20115,MARION
956504,1119068,2011500069300007001,94541.300603248644620,900.000000000000000,1800.000000000000000,5400.000000000000000,70200.000000000000000,63900.000000000000000,1800.000000000000000,18000.000000000000000,65700.000000000000000,31500.000000000000000,,16200.000000000000000,2700.000000000000000,1800.000000000000000,,,20115,MARION
956505,1119069,2011500009710003001,78601.741106839981512,2700.000000000000000,,900.000000000000000,,,,,,,,,1800.000000000000000,,,,20115,MARION
956506,1119070,2011500009710006001,92388.949139586373349,900.000000000000000,,,,900.000000000000000,,,,,,,,,,3136.000000000000000,20115,MARION
956507,1119071,2011500007340001001,241944.524780552921584,14400.000000000000000,11700.000000000000000,,,,,,,900.000000000000000,900.000000000000000,176400.000000000000000,,,,,20115,MARION
956508,1119072,2011500004770002001,80751.561477945520892,,4500.000000000000000,61200.000000000000000,,,,,,,,,,5400.000000000000000,6272.000000000000000,3136.000000000000000,20115,MARION
956509,1119073,2011500010510002001,117378.713124822810641,32400.000000000000000,106200.000000000000000,102600.000000000000000,,22500.000000000000000,,6300.000000000000000,,52200.000000000000000,48600.000000000000000,900.000000000000000,,91800.000000000000000,3136.000000000000000,15680.000000000000000,20115,MARION
956510,1119074,2011500017140002001,211624.338363524264423,209700.000000000000000,,900.000000000000000,208800.000000000000000,11700.000000000000000,208800.000000000000000,190800.000000000000000,1800.000000000000000,199800.000000000000000,207000.000000000000000,194400.000000000000000,206100.000000000000000,203400.000000000000000,3136.000000000000000,178752.000000000000000,20115,MARION
956511,1119075,2011500017140003001,212978.258799727220321,1800.000000000000000,,,214200.000000000000000,214200.000000000000000,,,,203400.000000000000000,191700.000000000000000,213300.000000000000000,206100.000000000000000,211500.000000000000000,,,20115,MARION
956512,1119076,2011500079970004001,263233.968928537564352,,13500.000000000000000,8100.000000000000000,3600.000000000000000,42300.000000000000000,3600.000000000000000,45900.000000000000000,121500.000000000000000,,2700.000000000000000,129600.000000000000000,1800.000000000000000,27000.000000000000000,,,20115,MARION
956513,1119077,2011500005780005001,160951.715614331711549,153000.000000000000000,,152100.000000000000000,,5400.000000000000000,,,900.000000000000000,1800.000000000000000,,2700.000000000000000,,,,34496.000000000000000,20115,MARION
956514,1119078,2011500070560001001,122985.362408736764337,119700.000000000000000,,118800.000000000000000,2700.000000000000000,110700.000000000000000,,78300.000000000000000,,900.000000000000000,106200.000000000000000,70200.000000000000000,4500.000000000000000,,,,20115,MARION
956515,1119079,2011500007720001001,172030.934916125115706,,,,171000.000000000000000,1800.000000000000000,,,,168300.000000000000000,21600.000000000000000,9000.000000000000000,,,68992.000000000000000,3136.000000000000000,20115,MARION
956516,1119080,2011500007350003001,132523.809866810392123,,,68400.000000000000000,,,,900.000000000000000,900.000000000000000,,,2700.000000000000000,10800.000000000000000,2700.000000000000000,,,20115,MARION
956517,1119081,2011500005770001001,127024.759775204453035,1800.000000000000000,120600.000000000000000,113400.000000000000000,17100.000000000000000,8100.000000000000000,7200.000000000000000,2700.000000000000000,,,3600.000000000000000,117900.000000000000000,3600.000000000000000,,,,20115,MARION
956518,1119082,2011500079030003001,119041.247016491528484,,,,95400.000000000000000,,9000.000000000000000,,,,,,,,3136.000000000000000,,20115,MARION
956519,1119083,2011500005750001001,154901.948212223069277,111600.000000000000000,5400.000000000000000,,,90000.000000000000000,,98100.000000000000000,,95400.000000000000000,102600.000000000000000,55800.000000000000000,21600.000000000000000,92700.000000000000000,6272.000000000000000,,20115,MARION
956520,1119084,2011500007710001001,198634.252202262956416,,,,,,174600.000000000000000,162900.000000000000000,,,,189000.000000000000000,,173700.000000000000000,18816.000000000000000,9408.000000000000000,20115,MARION
956521,1119085,2011500017620001001,134494.204527657013386,20700.000000000000000,,130500.000000000000000,46800.000000000000000,135000.000000000000000,,,,108900.000000000000000,900.000000000000000,17100.000000000000000,,,,,20115,MARION
956522,1119086,2011500004860003001,153068.518458122416632,90900.000000000000000,13500.000000000000000,21600.000000000000000,83700.000000000000000,88200.000000000000000,66600.000000000000000,77400.000000000000000,9000.000000000000000,900.000000000000000,98100.000000000000000,131400.000000000000000,125100.000000000000000,,6272.000000000000000,,20115,MARION
956523,1119087,2011500012520004001,214747.482585843448760,216900.000000000000000,213300.000000000000000,181800.000000000000000,60300.000000000000000,17100.000000000000000,14400.000000000000000,,49500.000000000000000,36000.000000000000000,68400.000000000000000,192600.000000000000000,168300.000000000000000,49500.000000000000000,194432.000000000000000,106624.000000000000000,20115,MARION
956524,1119088,2011500009000020001,145685.523842710856115,121500.000000000000000,10800.000000000000000,,135000.000000000000000,17100.000000000000000,,90900.000000000000000,43200.000000000000000,7200.000000000000000,80100.000000000000000,142200.000000000000000,135900.000000000000000,1800.000000000000000,106624.000000000000000,75264.000000000000000,20115,MARION
956525,1119089,2011500009000151001,58630.473775389342336,900.000000000000000,11700.000000000000000,50400.000000000000000,50400.000000000000000,900.000000000000000,44100.000000000000000,900.000000000000000,39600.000000000000000,9000.000000000000000,50400.000000000000000,23400.000000000000000,,18000.000000000000000,3136.000000000000000,12544.000000000000000,20115,MARION
956526,1119090,2011500083560001001,105642.842340713730664,95400.000000000000000,,,2700.000000000000000,,,,,,,,900.000000000000000,,,,20115,MARION
956527,1119091,2011500083580001001,122103.448465040768497,,,,,,,,,,,17100.000000000000000,900.000000000000000,,,,20115,MARION
956528,1119092,2011500083570004001,81301.280640602184576,,79200.000000000000000,76500.000000000000000,81000.000000000000000,79200.000000000000000,80100.000000000000000,67500.000000000000000,81000.000000000000000,78300.000000000000000,68400.000000000000000,,,,,,20115,MARION
956529,1119093,2011500007090002001,127766.673621482535964,,117000.000000000000000,,,9000.000000000000000,125100.000000000000000,116100.000000000000000,,,6300.000000000000000,125100.000000000000000,900.000000000000000,28800.000000000000000,3136.000000000000000,,20115,MARION
956530,1119094,2011500068100001001,62823.193097111201496,8100.000000000000000,,,,,,,,,,,,,,3136.000000000000000,20115,MARION
956531,1119095,2011500006590001001,214483.752469347382430,56700.000000000000000,143100.000000000000000,128700.000000000000000,59400.000000000000000,114300.000000000000000,63000.000000000000000,58500.000000000000000,99000.000000000000000,63000.000000000000000,157500.000000000000000,81900.000000000000000,12600.000000000000000,189000.000000000000000,6272.000000000000000,,20115,MARION
956532,1119096,2011500007330003001,136018.743577725283103,,1800.000000000000000,5400.000000000000000,,,,6300.000000000000000,,,62100.000000000000000,5400.000000000000000,,,,,20115,MARION
956533,1119097,2011500007070003001,147651.642716709407978,900.000000000000000,4500.000000000000000,94500.000000000000000,23400.000000000000000,,900.000000000000000,28800.000000000000000,15300.000000000000000,5400.000000000000000,29700.000000000000000,36900.000000000000000,17100.000000000000000,900.000000000000000,3136.000000000000000,,20115,MARION
956534,1119098,2011500007660001001,327982.213000644405838,306000.000000000000000,159300.000000000000000,,163800.000000000000000,161100.000000000000000,900.000000000000000,137700.000000000000000,177300.000000000000000,26100.000000000000000,153000.000000000000000,230400.000000000000000,146700.000000000000000,175500.000000000000000,6272.000000000000000,97216.000000000000000,20115,MARION
956535,1119099,2011500006760001001,176147.243427732813871,9900.000000000000000,180000.000000000000000,3600.000000000000000,5400.000000000000000,,168300.000000000000000,88200.000000000000000,18000.000000000000000,,10800.000000000000000,144900.000000000000000,22500.000000000000000,8100.000000000000000,25088.000000000000000,,20115,MARION
956536,1119100,2011500081100002001,104881.975455428953865,,,,91800.000000000000000,1800.000000000000000,91800.000000000000000,4500.000000000000000,4500.000000000000000,95400.000000000000000,,3600.000000000000000,,,,18816.000000000000000,20115,MARION
956537,1119101,2011500079410002001,182294.968914915341884,,900.000000000000000,22500.000000000000000,3600.000000000000000,1800.000000000000000,,,,68400.000000000000000,108000.000000000000000,9000.000000000000000,116100.000000000000000,171000.000000000000000,,,20115,MARION
956538,1119102,2011500081100012001,49881.213899577269331,,,,50400.000000000000000,50400.000000000000000,900.000000000000000,,,45900.000000000000000,7200.000000000000000,9000.000000000000000,44100.000000000000000,,18816.000000000000000,3136.000000000000000,20115,MARION
956539,1119103,2011500017350001001,362102.397925441211555,9000.000000000000000,900.000000000000000,359100.000000000000000,,,7200.000000000000000,346500.000000000000000,,,,160200.000000000000000,311400.000000000000000,,21952.000000000000000,18816.000000000000000,20115,MARION
956540,1119104,2011500007630001001,167723.041604555997765,28800.000000000000000,900.000000000000000,900.000000000000000,1800.000000000000000,2700.000000000000000,5400.000000000000000,900.000000000000000,170100.000000000000000,136800.000000000000000,4500.000000000000000,2700.000000000000000,,2700.000000000000000,84672.000000000000000,78400.000000000000000,20115,MARION
