,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
659531,778269,2011900018960016001,4999630.766592296771705,,,,,,,,,,900.000000000000000,,,,,,20119,MEADE
794578,931914,2011900027330005001,24028.867515476122207,,,,,,,,,,,,,,,,20119,MEADE
794579,931915,2011920069140005001,371022.215909051825292,,,,,,,,900.000000000000000,,,6300.000000000000000,2700.000000000000000,4500.000000000000000,,,20119,MEADE
794580,931916,2011920069140006001,261056.300536045833724,,,,,,,,900.000000000000000,,,900.000000000000000,,,,,20119,MEADE
794581,931917,2011900026330002001,134806.416569703957066,,,,,,,,,,,61200.000000000000000,,117000.000000000000000,,,20119,MEADE
794582,931918,2011900026330003001,155029.324922236060956,,,900.000000000000000,,,,,,,,,,9000.000000000000000,,,20119,MEADE
794583,931919,2011900026330004001,9849.990006007416014,,,,,,,,,,,900.000000000000000,,4500.000000000000000,,,20119,MEADE
794584,931920,2011900026330001001,343093.329224763554521,,,,,,,,,,,45900.000000000000000,,,,12544.000000000000000,20119,MEADE
794585,931921,2011900020290002001,5252.783027511039109,,,,,,,,,,,,,,,,20119,MEADE
794586,931922,2011900003160002001,7097.716619160264599,,,,,,,,,,,,,,,,20119,MEADE
794587,931923,2011900003160001001,634283.952104644849896,,,,,,,,,,,,,900.000000000000000,,,20119,MEADE
794588,931924,2011900001390003001,8102.038936454717259,,,,,,,,,,,,,,,,20119,MEADE
794589,931925,2011902008110001001,643322.732351547339931,,,900.000000000000000,,,,,,,,900.000000000000000,,3600.000000000000000,,,20119,MEADE
794590,931926,2011902008110002001,647676.452592924586497,,,,,,,,,,,,,,,,20119,MEADE
794591,931927,2011900003430001001,629210.676247309660539,,504000.000000000000000,,,,,,,,,,2700.000000000000000,2700.000000000000000,,6272.000000000000000,20119,MEADE
794592,931929,2011900017970003001,5406.789068894928278,,,,,,,,,,,,,,,,20119,MEADE
794593,931930,2011900003360001001,643147.663067912682891,900.000000000000000,,484200.000000000000000,,,,,,,900.000000000000000,1800.000000000000000,900.000000000000000,,,9408.000000000000000,20119,MEADE
794594,931932,2011900001720004001,5295.460811064463996,,,,,,,,,,,,,,,,20119,MEADE
