,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
434,454,2012102000310005001,385224.011114702967461,363600.000000000000000,358200.000000000000000,365400.000000000000000,362700.000000000000000,363600.000000000000000,12600.000000000000000,13500.000000000000000,367200.000000000000000,12600.000000000000000,103500.000000000000000,321300.000000000000000,71100.000000000000000,334800.000000000000000,228928.000000000000000,354368.000000000000000,20121,MIAMI
1947,2022,2012102000310006001,28382.781153031239228,25200.000000000000000,25200.000000000000000,23400.000000000000000,23400.000000000000000,23400.000000000000000,,,25200.000000000000000,,2700.000000000000000,11700.000000000000000,900.000000000000000,21600.000000000000000,25088.000000000000000,15680.000000000000000,20121,MIAMI
4161,4431,2012102000320003001,125681.321747615365894,,,,,,,,,,,,,,,,20121,MIAMI
95639,106388,2012102005980003001,33835.463812622991099,7200.000000000000000,6300.000000000000000,1800.000000000000000,31500.000000000000000,27900.000000000000000,2700.000000000000000,27000.000000000000000,34200.000000000000000,2700.000000000000000,26100.000000000000000,,32400.000000000000000,,12544.000000000000000,12544.000000000000000,20121,MIAMI
95714,106471,2012102005980001001,324451.446764914260712,306900.000000000000000,304200.000000000000000,1800.000000000000000,302400.000000000000000,300600.000000000000000,900.000000000000000,294300.000000000000000,297000.000000000000000,2700.000000000000000,288000.000000000000000,,285300.000000000000000,900.000000000000000,272832.000000000000000,,20121,MIAMI
95901,106667,2012102005990002001,49507.017092211310228,,,8100.000000000000000,9900.000000000000000,,3600.000000000000000,,900.000000000000000,,,18000.000000000000000,3600.000000000000000,,3136.000000000000000,6272.000000000000000,20121,MIAMI
95999,106775,2012102005930001001,204688.524305381695740,,,,,900.000000000000000,4500.000000000000000,7200.000000000000000,,,900.000000000000000,,,,125440.000000000000000,,20121,MIAMI
96273,107111,2012120059100004001,70518.911190310725942,60300.000000000000000,57600.000000000000000,60300.000000000000000,60300.000000000000000,60300.000000000000000,4500.000000000000000,55800.000000000000000,2700.000000000000000,52200.000000000000000,900.000000000000000,44100.000000000000000,61200.000000000000000,54900.000000000000000,56448.000000000000000,37632.000000000000000,20121,MIAMI
96706,107577,2012102005920010001,5155.071489496852337,5400.000000000000000,5400.000000000000000,,,,,,,,,,,,,,20121,MIAMI
97228,108144,2012120059100007001,74632.041790257557295,36000.000000000000000,34200.000000000000000,56700.000000000000000,57600.000000000000000,54900.000000000000000,9900.000000000000000,52200.000000000000000,,44100.000000000000000,,33300.000000000000000,63000.000000000000000,64800.000000000000000,62720.000000000000000,40768.000000000000000,20121,MIAMI
