,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
30189,33331,2012302002950001001,149020.360508917045081,,123300.000000000000000,54000.000000000000000,,,,,,121500.000000000000000,,,,,,,20123,MITCHELL
30244,33390,2012300091610056001,12181.240451419353121,,,9000.000000000000000,3600.000000000000000,,,,900.000000000000000,900.000000000000000,,900.000000000000000,,,,3136.000000000000000,20123,MITCHELL
30394,33562,2012302002920001001,172023.865079237060854,166500.000000000000000,,,,158400.000000000000000,,,,,,,98100.000000000000000,,84672.000000000000000,,20123,MITCHELL
30490,33671,2012300091610044001,23151.372302164410939,,900.000000000000000,21600.000000000000000,900.000000000000000,,,,3600.000000000000000,900.000000000000000,,6300.000000000000000,,,,3136.000000000000000,20123,MITCHELL
31301,34598,2012302002990020001,11480.851497264968202,,3600.000000000000000,900.000000000000000,,,4500.000000000000000,900.000000000000000,,,,11700.000000000000000,,,,,20123,MITCHELL
31444,34761,2012320029180005001,23587.978768018772826,,,,,,6300.000000000000000,1800.000000000000000,,,,,,8100.000000000000000,,,20123,MITCHELL
31579,34909,2012320029140005001,6251.439558108458186,900.000000000000000,,,,,1800.000000000000000,,,,,4500.000000000000000,,,,,20123,MITCHELL
31804,35177,2012300091610027001,105474.986804738975479,,900.000000000000000,82800.000000000000000,,,,,1800.000000000000000,1800.000000000000000,,1800.000000000000000,,,,6272.000000000000000,20123,MITCHELL
32123,35556,2012320029120001001,31814.601382382992597,,,,1800.000000000000000,3600.000000000000000,2700.000000000000000,,,,12600.000000000000000,8100.000000000000000,8100.000000000000000,900.000000000000000,,,20123,MITCHELL
32236,35686,2012320029120004001,14916.263924121552918,900.000000000000000,,900.000000000000000,900.000000000000000,,,,,,5400.000000000000000,900.000000000000000,2700.000000000000000,,,,20123,MITCHELL
32504,35998,2012320029140002001,30608.987073047188460,31500.000000000000000,,,24300.000000000000000,1800.000000000000000,24300.000000000000000,,,,,18900.000000000000000,900.000000000000000,,,,20123,MITCHELL
32822,36352,2012320089260005001,4888.164679644314674,,,,,,,,,,900.000000000000000,,,,,,20123,MITCHELL
32913,36451,2012302002990015001,271946.327370964572765,,261900.000000000000000,2700.000000000000000,,,262800.000000000000000,7200.000000000000000,,,,264600.000000000000000,13500.000000000000000,,50176.000000000000000,,20123,MITCHELL
33154,36733,2012302002940001001,327854.179177304031327,900.000000000000000,311400.000000000000000,8100.000000000000000,,,317700.000000000000000,304200.000000000000000,319500.000000000000000,17100.000000000000000,3600.000000000000000,3600.000000000000000,,,,,20123,MITCHELL
33338,36950,2012320029180001001,81058.100084685167531,69300.000000000000000,11700.000000000000000,9000.000000000000000,4500.000000000000000,,,,,,,,26100.000000000000000,,3136.000000000000000,,20123,MITCHELL
33390,37014,2012320029180009001,6104.314374629073427,,,,,,,,,,,,,,,,20123,MITCHELL
33429,37133,2012320089260001002,88944.817002119205426,73800.000000000000000,,,,,,900.000000000000000,,900.000000000000000,,,65700.000000000000000,,25088.000000000000000,,20123,MITCHELL
33892,37675,2012320029180010001,12020.498288527689510,,,,,,,,,,,,,,,,20123,MITCHELL
34128,37946,2012302002910001001,99806.206378823961131,97200.000000000000000,,900.000000000000000,1800.000000000000000,92700.000000000000000,900.000000000000000,,,,,,78300.000000000000000,,,,20123,MITCHELL
34709,38598,2012320029160001001,85357.519216004671762,,,,,,,,,,,,,,,,20123,MITCHELL
34767,38665,2012320029100001001,376270.784982566372491,352800.000000000000000,,,272700.000000000000000,348300.000000000000000,,,,,,,52200.000000000000000,1800.000000000000000,50176.000000000000000,,20123,MITCHELL
35427,39426,2012320029100004001,34501.861476858146489,1800.000000000000000,,,2700.000000000000000,2700.000000000000000,,,,,,,1800.000000000000000,,,,20123,MITCHELL
35588,39604,2012320089260001003,238632.370711625873810,,,,,219600.000000000000000,900.000000000000000,,,,,,,,,,20123,MITCHELL
35751,39797,2012320029100002001,24207.704800716433965,24300.000000000000000,,,10800.000000000000000,16200.000000000000000,,,,,,,,900.000000000000000,,,20123,MITCHELL
35781,39833,2012320089260001004,138758.197906927438453,113400.000000000000000,,,,,,,,17100.000000000000000,,,3600.000000000000000,900.000000000000000,,,20123,MITCHELL
36132,40240,2012320029180004001,96572.904686514331843,,,,,,77400.000000000000000,23400.000000000000000,9900.000000000000000,,,,,,3136.000000000000000,,20123,MITCHELL
36243,40375,2012320029180007001,13335.917450607572391,,,,,,,,,,,,,,,,20123,MITCHELL
36280,40418,2012320029140003001,119539.131437207906856,113400.000000000000000,,,113400.000000000000000,900.000000000000000,67500.000000000000000,,,,5400.000000000000000,76500.000000000000000,9900.000000000000000,,3136.000000000000000,,20123,MITCHELL
36493,40662,2012302002970014001,634053.295914238668047,15300.000000000000000,345600.000000000000000,20700.000000000000000,87300.000000000000000,900.000000000000000,,,591300.000000000000000,57600.000000000000000,900.000000000000000,6300.000000000000000,,,,,20123,MITCHELL
36558,40739,2012302002910001002,346080.031138730817474,326700.000000000000000,4500.000000000000000,1800.000000000000000,1800.000000000000000,317700.000000000000000,10800.000000000000000,,,,,,,,,166208.000000000000000,20123,MITCHELL
36602,40789,2012302002970011001,8754.565385598210923,,1800.000000000000000,,,,,,3600.000000000000000,900.000000000000000,,,,,,,20123,MITCHELL
36748,40958,2012320029160003001,26277.308819064572162,,,,,,,,,,,,,,,,20123,MITCHELL
36784,41001,2012320029120002001,17964.473346154209139,,,2700.000000000000000,7200.000000000000000,1800.000000000000000,,,,,11700.000000000000000,8100.000000000000000,3600.000000000000000,,,,20123,MITCHELL
36940,41245,2012320029180002001,113048.257227934707771,,,,,,3600.000000000000000,1800.000000000000000,900.000000000000000,5400.000000000000000,,,,,,,20123,MITCHELL
37012,41332,2012320029180003001,14905.960215838740623,,,,,,11700.000000000000000,900.000000000000000,3600.000000000000000,,,,,,,,20123,MITCHELL
