,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
143788,158932,2012520099110002001,110909.234801070415415,900.000000000000000,96300.000000000000000,,900.000000000000000,,,1800.000000000000000,,,,,1800.000000000000000,,6272.000000000000000,9408.000000000000000,20125,MONTGOMERY
143918,159065,2012500294390003001,323684.948222102073487,,,,,,,,,,,,,,,,20125,MONTGOMERY
144193,159345,2012520099100002001,496660.461944858194329,435600.000000000000000,198000.000000000000000,,,,900.000000000000000,93600.000000000000000,,406800.000000000000000,404100.000000000000000,351900.000000000000000,342000.000000000000000,9900.000000000000000,323008.000000000000000,,20125,MONTGOMERY
144415,159568,2012502009960001001,204689.899765703827143,179100.000000000000000,177300.000000000000000,55800.000000000000000,,,41400.000000000000000,39600.000000000000000,2700.000000000000000,4500.000000000000000,20700.000000000000000,69300.000000000000000,182700.000000000000000,78300.000000000000000,6272.000000000000000,,20125,MONTGOMERY
144531,159685,2012502009990003001,90454.571668386357487,83700.000000000000000,85500.000000000000000,4500.000000000000000,,78300.000000000000000,2700.000000000000000,900.000000000000000,,79200.000000000000000,76500.000000000000000,46800.000000000000000,59400.000000000000000,,,53312.000000000000000,20125,MONTGOMERY
145027,160197,2012520099110001001,11507.151912587636616,,,,,,,,,,,,,,,,20125,MONTGOMERY
145779,160978,2012502009990002001,53350.601139921978756,900.000000000000000,46800.000000000000000,,41400.000000000000000,2700.000000000000000,,37800.000000000000000,40500.000000000000000,,38700.000000000000000,33300.000000000000000,41400.000000000000000,,,,20125,MONTGOMERY
146125,161331,2012520099100005001,235206.326869652431924,174600.000000000000000,11700.000000000000000,,900.000000000000000,,,56700.000000000000000,,136800.000000000000000,141300.000000000000000,148500.000000000000000,90900.000000000000000,1800.000000000000000,103488.000000000000000,,20125,MONTGOMERY
146758,162179,2012502009990001001,56648.582913191778061,46800.000000000000000,48600.000000000000000,48600.000000000000000,,,48600.000000000000000,16200.000000000000000,900.000000000000000,,41400.000000000000000,28800.000000000000000,43200.000000000000000,,,3136.000000000000000,20125,MONTGOMERY
147394,162829,2012502009950005001,115097.733568159455899,16200.000000000000000,2700.000000000000000,12600.000000000000000,,27900.000000000000000,,2700.000000000000000,,,,23400.000000000000000,100800.000000000000000,,12544.000000000000000,,20125,MONTGOMERY
147447,162885,2012502009990001002,120389.708196125196991,116100.000000000000000,116100.000000000000000,116100.000000000000000,45900.000000000000000,27900.000000000000000,18000.000000000000000,115200.000000000000000,110700.000000000000000,,,108000.000000000000000,,,,3136.000000000000000,20125,MONTGOMERY
147742,163192,2012502009990001003,115094.236070251834462,117000.000000000000000,117900.000000000000000,117900.000000000000000,15300.000000000000000,5400.000000000000000,117900.000000000000000,116100.000000000000000,71100.000000000000000,900.000000000000000,58500.000000000000000,92700.000000000000000,67500.000000000000000,8100.000000000000000,,3136.000000000000000,20125,MONTGOMERY
184087,204365,2012500033350004001,128312.508048121395404,13500.000000000000000,900.000000000000000,35100.000000000000000,,900.000000000000000,4500.000000000000000,103500.000000000000000,4500.000000000000000,1800.000000000000000,2700.000000000000000,,5400.000000000000000,88200.000000000000000,,,20125,MONTGOMERY
184088,204366,2012500283820008001,40369.657754537183791,,,,,,,,,,,,,,,,20125,MONTGOMERY
184089,204367,2012500010350003001,56218.922980303002987,3600.000000000000000,3600.000000000000000,,,,,,,,,,,900.000000000000000,,,20125,MONTGOMERY
184090,204370,2012500028920007001,24068.818134137854940,,,,,,,,,,,,,,,,20125,MONTGOMERY
184091,204371,2012500023790008001,62856.395939221591107,,,,,,,,,,,900.000000000000000,,,,,20125,MONTGOMERY
184092,204372,2012500005280004001,63612.803020680265035,,2700.000000000000000,,,,,,,,,,,,,,20125,MONTGOMERY
184093,204373,2012500001770007001,17226.482450018866075,,,,,,,,,,,,,,,,20125,MONTGOMERY
184095,204375,2012500018830004001,97509.107185397893772,13500.000000000000000,15300.000000000000000,4500.000000000000000,74700.000000000000000,41400.000000000000000,,,,,29700.000000000000000,60300.000000000000000,84600.000000000000000,,,,20125,MONTGOMERY
184096,204376,2012500021120002001,147686.436197344330139,129600.000000000000000,140400.000000000000000,9900.000000000000000,3600.000000000000000,6300.000000000000000,900.000000000000000,49500.000000000000000,2700.000000000000000,2700.000000000000000,9900.000000000000000,47700.000000000000000,126000.000000000000000,127800.000000000000000,28224.000000000000000,84672.000000000000000,20125,MONTGOMERY
184097,204377,2012500005840002001,66794.592590252781520,900.000000000000000,3600.000000000000000,,,,15300.000000000000000,,,,,29700.000000000000000,,,,,20125,MONTGOMERY
184098,204378,2012500001020002001,38059.932469391867926,30600.000000000000000,9900.000000000000000,29700.000000000000000,9000.000000000000000,29700.000000000000000,,25200.000000000000000,26100.000000000000000,,27900.000000000000000,30600.000000000000000,,,,3136.000000000000000,20125,MONTGOMERY
184099,204379,2012500295630001001,259733.386283042549621,1800.000000000000000,,115200.000000000000000,1800.000000000000000,141300.000000000000000,,,2700.000000000000000,,3600.000000000000000,46800.000000000000000,9000.000000000000000,2700.000000000000000,,,20125,MONTGOMERY
184100,204380,2012500002090001001,88973.549493951024488,21600.000000000000000,900.000000000000000,4500.000000000000000,15300.000000000000000,5400.000000000000000,18900.000000000000000,900.000000000000000,1800.000000000000000,1800.000000000000000,56700.000000000000000,43200.000000000000000,27000.000000000000000,30600.000000000000000,31360.000000000000000,6272.000000000000000,20125,MONTGOMERY
184101,204381,2012500000040006001,55275.237195439658535,,,,,,,,,,,,,,,,20125,MONTGOMERY
184102,204382,2012500033710005001,5372.769501750884956,,2700.000000000000000,,,,,,,,,,,,,,20125,MONTGOMERY
184103,204383,2012500014130011001,119981.861373016523430,,116100.000000000000000,117000.000000000000000,117000.000000000000000,,1800.000000000000000,104400.000000000000000,116100.000000000000000,116100.000000000000000,117000.000000000000000,104400.000000000000000,114300.000000000000000,5400.000000000000000,94080.000000000000000,109760.000000000000000,20125,MONTGOMERY
184104,204384,2012500031570004001,92920.458881249433034,900.000000000000000,,,,,,,,,,,,,,,20125,MONTGOMERY
184105,204385,2012500295020012001,32839.954446326853940,25200.000000000000000,27000.000000000000000,,,900.000000000000000,900.000000000000000,,,,,13500.000000000000000,2700.000000000000000,,,15680.000000000000000,20125,MONTGOMERY
184106,204386,2012500283810018001,8008.644610298544649,,,,,,,,,,,,,,,,20125,MONTGOMERY
184107,204387,2012500018900006001,10780.496314727595745,4500.000000000000000,4500.000000000000000,2700.000000000000000,3600.000000000000000,3600.000000000000000,3600.000000000000000,9000.000000000000000,,,,900.000000000000000,3600.000000000000000,2700.000000000000000,,9408.000000000000000,20125,MONTGOMERY
184108,204388,2012500033990001001,22896.359679303015582,5400.000000000000000,900.000000000000000,3600.000000000000000,,,,,14400.000000000000000,,,5400.000000000000000,14400.000000000000000,,,,20125,MONTGOMERY
184109,204389,2012500032550014001,33211.136186259034730,,,,,,,29700.000000000000000,,,30600.000000000000000,,30600.000000000000000,,,,20125,MONTGOMERY
184110,204390,2012500032220001001,114963.199166032311041,900.000000000000000,2700.000000000000000,900.000000000000000,6300.000000000000000,114300.000000000000000,,4500.000000000000000,14400.000000000000000,,102600.000000000000000,,5400.000000000000000,1800.000000000000000,,,20125,MONTGOMERY
184111,204391,2012500034140003001,97203.689593005896313,94500.000000000000000,94500.000000000000000,91800.000000000000000,,,91800.000000000000000,900.000000000000000,,6300.000000000000000,2700.000000000000000,,29700.000000000000000,,,,20125,MONTGOMERY
184112,204392,2012500002710001001,124974.810855007570353,119700.000000000000000,5400.000000000000000,115200.000000000000000,,,,,,,,,900.000000000000000,,,90944.000000000000000,20125,MONTGOMERY
184113,204393,2012500294920004001,4885.959025882793867,,,,,,,,,,,,,,,,20125,MONTGOMERY
184114,204394,2012500033510008001,77053.423487762906007,,3600.000000000000000,3600.000000000000000,7200.000000000000000,3600.000000000000000,73800.000000000000000,900.000000000000000,3600.000000000000000,,4500.000000000000000,72000.000000000000000,,,,,20125,MONTGOMERY
184115,204395,2012500284640004001,177963.760175451810937,137700.000000000000000,9900.000000000000000,3600.000000000000000,,9000.000000000000000,11700.000000000000000,6300.000000000000000,17100.000000000000000,,2700.000000000000000,7200.000000000000000,90900.000000000000000,16200.000000000000000,3136.000000000000000,,20125,MONTGOMERY
184116,204396,2012500011200001001,5811.349470867558011,,,,,,,,,,,900.000000000000000,,,,,20125,MONTGOMERY
184118,204398,2012500001250001001,73499.698179127284675,1800.000000000000000,,,,,,,,,,,,,,,20125,MONTGOMERY
184119,204399,2012500022300004001,44689.000656853604596,900.000000000000000,39600.000000000000000,43200.000000000000000,,,43200.000000000000000,,,,,,,,,,20125,MONTGOMERY
184120,204400,2012500011150005001,59585.173587465491437,,,54000.000000000000000,11700.000000000000000,,52200.000000000000000,,1800.000000000000000,,,34200.000000000000000,53100.000000000000000,900.000000000000000,3136.000000000000000,6272.000000000000000,20125,MONTGOMERY
184121,204401,2012500032640004001,64917.693564275876270,,46800.000000000000000,900.000000000000000,900.000000000000000,20700.000000000000000,5400.000000000000000,41400.000000000000000,,900.000000000000000,,42300.000000000000000,,2700.000000000000000,6272.000000000000000,3136.000000000000000,20125,MONTGOMERY
184122,204402,2012500003140002001,83340.985150206877734,9000.000000000000000,2700.000000000000000,7200.000000000000000,9900.000000000000000,,,,20700.000000000000000,12600.000000000000000,44100.000000000000000,18900.000000000000000,36000.000000000000000,13500.000000000000000,,,20125,MONTGOMERY
184123,204403,2012500288740003001,190064.931026395614026,6300.000000000000000,,2700.000000000000000,,4500.000000000000000,900.000000000000000,178200.000000000000000,1800.000000000000000,,900.000000000000000,180000.000000000000000,,,,,20125,MONTGOMERY
184124,204404,2012500013810002001,42252.289167265946162,46800.000000000000000,47700.000000000000000,44100.000000000000000,47700.000000000000000,1800.000000000000000,,44100.000000000000000,,,,,,2700.000000000000000,,,20125,MONTGOMERY
184125,204405,2012500027440003001,45749.802203111481504,,,,,,,,,,,900.000000000000000,,,,3136.000000000000000,20125,MONTGOMERY
184126,204406,2012500289990004001,218289.833081515535014,205200.000000000000000,207000.000000000000000,207900.000000000000000,210600.000000000000000,207900.000000000000000,207900.000000000000000,5400.000000000000000,146700.000000000000000,,212400.000000000000000,179100.000000000000000,201600.000000000000000,900.000000000000000,159936.000000000000000,,20125,MONTGOMERY
184127,204407,2012500028870007001,88554.025881035588100,80100.000000000000000,84600.000000000000000,,77400.000000000000000,,,,,,,,72900.000000000000000,,,,20125,MONTGOMERY
184128,204408,2012500280300005001,17472.693384952835913,,,,,,,,,,,,,,,,20125,MONTGOMERY
184129,204409,2012500281560005001,84936.467385637326515,73800.000000000000000,77400.000000000000000,900.000000000000000,68400.000000000000000,900.000000000000000,,,,,,2700.000000000000000,900.000000000000000,,47040.000000000000000,3136.000000000000000,20125,MONTGOMERY
184130,204410,2012500292440034001,27395.736570753673732,,,,,,,,,,,,,,,3136.000000000000000,20125,MONTGOMERY
