,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
822959,966151,2013720039100005001,330712.659738571732305,,,,,,,,1800.000000000000000,,,,,,,,20137,NORTON
822960,966152,2013700020300001001,80643.990551231108839,,,,,,,,900.000000000000000,,,,,,,,20137,NORTON
822961,966153,2013700020300004001,302603.191757218388375,900.000000000000000,,900.000000000000000,,,,,,,,,,,,,20137,NORTON
822962,966154,2013700020300002001,754162.775094387936406,,,900.000000000000000,,,,2700.000000000000000,3600.000000000000000,,,,,,,,20137,NORTON
822963,966155,2013700020300005001,125608.104441452989704,2700.000000000000000,1800.000000000000000,,,,,,,,,,,,,,20137,NORTON
822964,966156,2013700020300003001,21199.319133063650952,,,,,,,,,,,,,,,,20137,NORTON
822965,966157,2013700037690004001,43303.274894268186472,2700.000000000000000,,,,,,,,,,,,,,,20137,NORTON
822966,966159,2013700027920002001,477797.158817118324805,2700.000000000000000,,,,,,,,,900.000000000000000,1800.000000000000000,,,,,20137,NORTON
822967,966160,2013700037690005001,324541.052356312051415,45900.000000000000000,900.000000000000000,,,,,,,,,19800.000000000000000,,,,6272.000000000000000,20137,NORTON
822968,966162,2013720039100009001,104475.431309063918889,,,,,,,,,,,,,,,,20137,NORTON
822969,966163,2013700311450010001,121655.909771618942614,3600.000000000000000,,,,,,,,,8100.000000000000000,36000.000000000000000,,,,12544.000000000000000,20137,NORTON
822970,966165,2013703114520001001,8398.683423412636330,,,,,,,,,,,,,,,,20137,NORTON
822971,966166,2013700039190001001,73266.348713345447322,61200.000000000000000,,900.000000000000000,,,,,,,,38700.000000000000000,,,9408.000000000000000,,20137,NORTON
822972,966167,2013700039190002001,78471.838991851400351,47700.000000000000000,9000.000000000000000,,,,,,,,,27000.000000000000000,,,28224.000000000000000,,20137,NORTON
822973,966168,2013700037690009001,6958.246309284926610,,,,,,,,,,,,,,,,20137,NORTON
822974,966169,2013700037690002001,106033.626002687306027,,,,,,,,900.000000000000000,,900.000000000000000,,,,,,20137,NORTON
822975,966170,2013700039190009001,136150.247386848990573,,,,,,,,,,,,,,,,20137,NORTON
822976,966171,2013700027930007001,25878.826519797861692,,,,,3600.000000000000000,,,,,,,,,,,20137,NORTON
822977,966172,2013700027930020001,15928.838295272405958,,,,,,,,,,,,,,,,20137,NORTON
822978,966173,2013700027920006001,78039.207529408420669,,1800.000000000000000,900.000000000000000,900.000000000000000,,,,,,,7200.000000000000000,,,,,20137,NORTON
