,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
73783,82954,2014102005110003001,13627.958676532674872,,,,,,,,,,,,,,,,20141,OSBORNE
74289,83494,2014102005110002001,422555.756575632607564,,,,,,,,,,,,,,,,20141,OSBORNE
78564,88145,2014102005110001001,163806.035415718331933,,,,,,,,,,,,,,,,20141,OSBORNE
126934,139656,2014102008940005001,75174.013556835969212,,2700.000000000000000,,1800.000000000000000,,,,,,,4500.000000000000000,,,,,20141,OSBORNE
127468,140278,2014102008940006001,18425.922659961248428,4500.000000000000000,1800.000000000000000,10800.000000000000000,,5400.000000000000000,,,,7200.000000000000000,,,,13500.000000000000000,,,20141,OSBORNE
128253,141197,2014102008910002001,173808.053699380485341,162900.000000000000000,1800.000000000000000,148500.000000000000000,4500.000000000000000,1800.000000000000000,144900.000000000000000,2700.000000000000000,,153000.000000000000000,3600.000000000000000,149400.000000000000000,4500.000000000000000,2700.000000000000000,,106624.000000000000000,20141,OSBORNE
128272,141219,2014102008920002001,596722.990821660961956,,553500.000000000000000,92700.000000000000000,172800.000000000000000,,,17100.000000000000000,,16200.000000000000000,20700.000000000000000,,3600.000000000000000,123300.000000000000000,,,20141,OSBORNE
129057,142132,2014102008920009001,23108.795640334134077,,23400.000000000000000,5400.000000000000000,,18900.000000000000000,,,,14400.000000000000000,,,18000.000000000000000,,,3136.000000000000000,20141,OSBORNE
131088,144536,2014102008920008001,6548.991411683827209,,,2700.000000000000000,,4500.000000000000000,,,,1800.000000000000000,,,2700.000000000000000,,,,20141,OSBORNE
132108,145745,2014102008920004001,283055.624025035707746,,248400.000000000000000,1800.000000000000000,,248400.000000000000000,2700.000000000000000,,,245700.000000000000000,,,251100.000000000000000,900.000000000000000,,,20141,OSBORNE
133751,147722,2014102008940002001,233819.479015739518218,221400.000000000000000,,15300.000000000000000,,198900.000000000000000,6300.000000000000000,4500.000000000000000,,214200.000000000000000,,,,220500.000000000000000,,,20141,OSBORNE
134167,148217,2014102008920005001,5262.350534806311771,,1800.000000000000000,900.000000000000000,,2700.000000000000000,,,,2700.000000000000000,900.000000000000000,,900.000000000000000,,,,20141,OSBORNE
134710,148862,2014102008920001001,204942.411758483154699,,202500.000000000000000,16200.000000000000000,,198000.000000000000000,,,,189000.000000000000000,,,176400.000000000000000,,,,20141,OSBORNE
134831,149005,2014102008930001002,6585.808109265934945,6300.000000000000000,,7200.000000000000000,,,,8100.000000000000000,,,,8100.000000000000000,,,,,20141,OSBORNE
135611,149931,2014102008920003001,91372.020102808688534,,85500.000000000000000,7200.000000000000000,,84600.000000000000000,,,,84600.000000000000000,,,80100.000000000000000,6300.000000000000000,,,20141,OSBORNE
135650,149977,2014102008920006001,11580.742142293827783,,7200.000000000000000,5400.000000000000000,,10800.000000000000000,,,,11700.000000000000000,,,11700.000000000000000,,,,20141,OSBORNE
136146,150556,2014102008920011001,17572.548133028267330,,10800.000000000000000,18000.000000000000000,5400.000000000000000,,,900.000000000000000,,900.000000000000000,5400.000000000000000,,,,,,20141,OSBORNE
136398,150847,2014102008920010001,25378.503661041253508,,10800.000000000000000,18900.000000000000000,900.000000000000000,,,900.000000000000000,,,900.000000000000000,,,900.000000000000000,,,20141,OSBORNE
148795,164288,2014102010540001001,283803.161604268825613,1800.000000000000000,8100.000000000000000,,133200.000000000000000,1800.000000000000000,,42300.000000000000000,,65700.000000000000000,153000.000000000000000,12600.000000000000000,900.000000000000000,,,,20141,OSBORNE
148854,164352,2014102010510008001,13039.912436297612658,,,,,,,,,,,,,,,,20141,OSBORNE
149045,164562,2014120105110006001,83703.533611897000810,3600.000000000000000,5400.000000000000000,11700.000000000000000,32400.000000000000000,,2700.000000000000000,900.000000000000000,,4500.000000000000000,,,,,,,20141,OSBORNE
149094,164617,2014120105150001001,140323.665187817678088,,900.000000000000000,,,,23400.000000000000000,,,,1800.000000000000000,2700.000000000000000,9900.000000000000000,,3136.000000000000000,,20141,OSBORNE
149192,164727,2014120105120002001,59438.735154700945714,,,,,,,,,20700.000000000000000,,,,,,,20141,OSBORNE
149720,165726,2014102010590029001,4990.358568402743913,,,,,,,,,,,,,,,,20141,OSBORNE
149823,165839,2014120105110002001,140890.289141984510934,,17100.000000000000000,900.000000000000000,4500.000000000000000,,15300.000000000000000,,,,,5400.000000000000000,42300.000000000000000,3600.000000000000000,,,20141,OSBORNE
149860,165879,2014102010590007001,18708.477998690788809,,,,,,,,,,,,,,,,20141,OSBORNE
150161,166197,2014100036790004001,164138.881476193928393,,,,,,,,,,,,,,,,20141,OSBORNE
150256,166299,2014102010550010001,9706.817532076374846,,,,,,,,,,,,,,,,20141,OSBORNE
150313,166358,2014120105110015001,7466.307651472113321,,,,900.000000000000000,,,,,,,900.000000000000000,900.000000000000000,5400.000000000000000,,,20141,OSBORNE
150571,166641,2014120105120001001,97885.768055203981930,48600.000000000000000,900.000000000000000,2700.000000000000000,,,,,7200.000000000000000,16200.000000000000000,,,4500.000000000000000,5400.000000000000000,,,20141,OSBORNE
