,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
832566,977703,2014700015480003001,75154.088954119841219,,,,,,,,,,,,,,,,20147,PHILLIPS
832567,977704,2014700015480010001,10329.060891604593053,,,,,,,,,,,,,,,,20147,PHILLIPS
832568,977705,2014700015480006001,15368.508712436312635,,,,,,,,,,,,,,,,20147,PHILLIPS
832569,977706,2014700015480005001,83465.711412793622003,,,,,,,,,,,,,,,,20147,PHILLIPS
832570,977707,2014700015480011001,321503.836456778866705,,,,,,,,,,,,,,,,20147,PHILLIPS
832571,977708,2014700048720002001,48466.798365598428063,,,,,,,,,,,,,,,,20147,PHILLIPS
832572,977709,2014700048720003001,11877.566107761180319,,,,,,,,,,,,,,,,20147,PHILLIPS
832573,977710,2014700048720004001,12640.094290877597814,,,,,,,,,,,,,,,,20147,PHILLIPS
832574,977713,2014700020410012001,20666.532085312748677,,,,,,,,,,,900.000000000000000,,,,,20147,PHILLIPS
832575,977714,2014700020410011001,14097.405293953788714,,,,,,,,,,900.000000000000000,,,,,,20147,PHILLIPS
832576,977715,2014700020410010001,17778.404444007599523,,,,,,,,,,,900.000000000000000,,,,,20147,PHILLIPS
832577,977716,2014700020410008001,39454.861367052013520,,,,,,,,,,,2700.000000000000000,6300.000000000000000,,,,20147,PHILLIPS
832578,977717,2014700020410002001,98161.481953025562689,,,,,,,,,7200.000000000000000,6300.000000000000000,36000.000000000000000,31500.000000000000000,,,,20147,PHILLIPS
832579,977718,2014700020410015001,33349.585455088301387,,,,,,,,,,900.000000000000000,8100.000000000000000,2700.000000000000000,,,,20147,PHILLIPS
832580,977720,2014700020410013001,5192.107139660623943,,,,,,,,,,900.000000000000000,2700.000000000000000,900.000000000000000,,,,20147,PHILLIPS
832581,977723,2014700020410003001,235902.274559022422181,,,,,,3600.000000000000000,6300.000000000000000,,900.000000000000000,12600.000000000000000,72900.000000000000000,5400.000000000000000,,,,20147,PHILLIPS
832582,977725,2014700019930003001,308168.904190752306022,,,,,,,,,,,,,,,,20147,PHILLIPS
832583,977726,2014700048730002001,4631.554482544835082,,,,,,,,,,,,,,,,20147,PHILLIPS
832584,977728,2014700048730003001,31586.293609458629362,20700.000000000000000,,,,,,,,,,7200.000000000000000,23400.000000000000000,,,,20147,PHILLIPS
832585,977731,2014700048730010001,1005267.671357072540559,,,,,,,,,,,,,,,,20147,PHILLIPS
832586,977732,2014700020410001001,212703.788754615496146,,,,,,,,,,,,,,,,20147,PHILLIPS
832587,977733,2014700020410005001,112390.421100892359391,,,,,,,,,,,,,,,,20147,PHILLIPS
832588,977734,2014700020410004001,235583.189365943078883,,,,,,,,,,,,,,,,20147,PHILLIPS
832589,977735,2014700021170001001,54043.065926708499319,,,,,,,,,,,,,,,,20147,PHILLIPS
832590,977736,2014700021170002001,590429.776701514609158,,,,,,,,,,,,,,,,20147,PHILLIPS
832591,977737,2014700015490001001,222249.502589949755929,,,,,,,,,,,,,,,,20147,PHILLIPS
832592,977738,2014700015490009001,468949.214672791247722,,,,,,,,,,,,,,,,20147,PHILLIPS
832593,977739,2014700015490002001,233466.431479062594008,,,,,,,,,,,,,,,,20147,PHILLIPS
832594,977740,2014700015490003001,39720.516503254999407,,,,,,,,,,,,,,,,20147,PHILLIPS
832595,977741,2014700018920005001,647318.589891171432100,,,,,,,,,900.000000000000000,,,,,,,20147,PHILLIPS
832596,977742,2014700015470003001,91334.346625131118344,,,,,,1800.000000000000000,,,13500.000000000000000,,,,,,,20147,PHILLIPS
832597,977743,2014700015470002001,120287.536151478212560,900.000000000000000,3600.000000000000000,,,23400.000000000000000,900.000000000000000,,,19800.000000000000000,,,,,,,20147,PHILLIPS
832598,977744,2014700015470004001,563722.783688950934447,,,,,,,,,,,,,,,,20147,PHILLIPS
832599,977745,2014700061620001001,241164.612130727968179,,,,,,,,,,,,,,,,20147,PHILLIPS
832600,977746,2014700019230002001,325338.846705908712465,,,,,,,,,,,,,,,,20147,PHILLIPS
832601,977749,2014700019940021001,662900.050413993420079,,,,,,,,,900.000000000000000,,,,,,,20147,PHILLIPS
832602,977750,2014700019940003001,232964.328512399137253,,,,,,,,,,,,,,,,20147,PHILLIPS
832603,977751,2014700019940005001,292213.372546009311918,,,,,,,,,,,,,,,,20147,PHILLIPS
832604,977752,2014700019940013001,5237.267245829256353,,,,,,,,,,,,,,,,20147,PHILLIPS
832605,977753,2014700019940001001,220689.491726558771916,,,,,,,,,,,,,,,,20147,PHILLIPS
832606,977754,2014700019940006001,13812.594444892341926,,,,,,,,,,,,,,,,20147,PHILLIPS
832607,977756,2014700049240001001,124269.257616766175488,900.000000000000000,900.000000000000000,3600.000000000000000,,,,,,15300.000000000000000,,,,,,,20147,PHILLIPS
832608,977757,2014700049240003001,399813.723420629568864,900.000000000000000,,,,,,,,,,,,,,,20147,PHILLIPS
832609,977758,2014700012930006001,563976.306899197865278,,,,,,,,,,,,,,,,20147,PHILLIPS
832610,977762,2014700016010001001,46280.060421803587815,,34200.000000000000000,,,1800.000000000000000,,,,900.000000000000000,,,,,,,20147,PHILLIPS
832611,977763,2014700016010003001,26029.759490479707893,,,,,900.000000000000000,,,,900.000000000000000,,,,,,,20147,PHILLIPS
832612,977764,2014700016010005001,276261.287250305176713,5400.000000000000000,900.000000000000000,,,900.000000000000000,,,,,,900.000000000000000,,,,,20147,PHILLIPS
832613,977765,2014700016010002001,277481.503580844844691,,246600.000000000000000,900.000000000000000,,,,,,1800.000000000000000,,1800.000000000000000,900.000000000000000,,,,20147,PHILLIPS
832614,977766,2014700016010004001,4362.157646755536916,,,,,,,,,,,,,,,,20147,PHILLIPS
832615,977767,2014700014280006001,22246.842400983528933,,,,,,,,,,,,,,,,20147,PHILLIPS
832616,977768,2014700014280010001,12034.637797468110875,,,,,,,,,,,,,,,,20147,PHILLIPS
832617,977769,2014700014280007001,404304.236722080095205,900.000000000000000,,,900.000000000000000,900.000000000000000,900.000000000000000,,,,,900.000000000000000,,,,,20147,PHILLIPS
832618,977770,2014700014280001001,12759.339772961302515,,,,900.000000000000000,,3600.000000000000000,900.000000000000000,900.000000000000000,,,,,,,,20147,PHILLIPS
832619,977771,2014700014550009001,52867.253862483616103,,38700.000000000000000,,,4500.000000000000000,,3600.000000000000000,900.000000000000000,12600.000000000000000,6300.000000000000000,,,,,,20147,PHILLIPS
832620,977772,2014700014550006001,4375.112208922008904,,,,,,900.000000000000000,,,,1800.000000000000000,,,,,,20147,PHILLIPS
832621,977773,2014700014550013001,6046.105228035422442,,3600.000000000000000,,,,,,,,,,,,,,20147,PHILLIPS
832622,977774,2014700014550016001,11915.302524567712680,,,,,,,,,,,,,,,,20147,PHILLIPS
832623,977775,2014700012160003001,116053.934927950132987,2700.000000000000000,,,,2700.000000000000000,,,,,,,,,,,20147,PHILLIPS
832624,977776,2014700018150005001,34284.216464607350645,,,,,,,,,,,,,,,,20147,PHILLIPS
832625,977779,2014700020630009001,138198.710121281066677,,,,,,,,,,,,,,,,20147,PHILLIPS
832626,977780,2014700020630002001,9823.988667703231840,,,,,,,,,,,,,,,,20147,PHILLIPS
832627,977782,2014700020710008001,7705.066894816095555,,,,,,,,,,,,,,,,20147,PHILLIPS
832628,977783,2014700020730002001,99098.084762126745773,,,,,,,,,,,,,,,,20147,PHILLIPS
832629,977785,2014700020650004001,32942.466283529400243,,,,,,,,,,,,,,,,20147,PHILLIPS
832630,977786,2014700020350004001,257337.093713305075653,,6300.000000000000000,900.000000000000000,,1800.000000000000000,,900.000000000000000,,,,3600.000000000000000,,,,,20147,PHILLIPS
832631,977788,2014700021240010001,31836.641103647918499,,,,,,,,,,,11700.000000000000000,,8100.000000000000000,,,20147,PHILLIPS
832632,977791,2014700049540004001,20398.741851586324628,,,,,,,,,,,,,,,,20147,PHILLIPS
832633,977792,2014700059700001001,449595.968355710443575,1800.000000000000000,,,,,,,,1800.000000000000000,,900.000000000000000,,,,,20147,PHILLIPS
832634,977793,2014700059700003001,10201.639178260727931,,,,,,,,,,,,,,,,20147,PHILLIPS
832635,977794,2014700019090010001,13946.041053476297748,,,,,,,,,,,,,,,,20147,PHILLIPS
832636,977795,2014700019030004001,79485.257630762454937,,,,,,,,,900.000000000000000,,5400.000000000000000,,,,,20147,PHILLIPS
832637,977796,2014700014260008001,49491.934860726338229,,,,,,900.000000000000000,,,2700.000000000000000,,,,,,,20147,PHILLIPS
832638,977797,2014700014560002001,83552.066873075644253,,,,,900.000000000000000,,9900.000000000000000,1800.000000000000000,900.000000000000000,,900.000000000000000,,,,,20147,PHILLIPS
832639,977798,2014700013780010001,20138.106667852149258,,,,,,,,,,,,,,,,20147,PHILLIPS
832640,977800,2014700060930001001,146915.173399536724901,,,,,900.000000000000000,,,2700.000000000000000,,2700.000000000000000,2700.000000000000000,,,,,20147,PHILLIPS
832641,977801,2014700014220001001,611296.053287268732674,,,,,,,1800.000000000000000,,,3600.000000000000000,,,,,,20147,PHILLIPS
