,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
972749,1138003,2015500295140003001,220827.621659569180338,,5400.000000000000000,23400.000000000000000,12600.000000000000000,,,,,,,,,,,,20155,RENO
972750,1138004,2015500037110004001,239988.850681816285942,226800.000000000000000,21600.000000000000000,226800.000000000000000,,226800.000000000000000,,224100.000000000000000,,221400.000000000000000,10800.000000000000000,219600.000000000000000,1800.000000000000000,218700.000000000000000,28224.000000000000000,,20155,RENO
972751,1138005,2015500273710001001,190583.437471601180732,,,,,,117000.000000000000000,,,,36900.000000000000000,7200.000000000000000,9900.000000000000000,,,3136.000000000000000,20155,RENO
972752,1138006,2015500039140001001,308408.903674021712504,,,,,,,,,900.000000000000000,,,,,,,20155,RENO
972753,1138007,2015500039490002001,359521.669746127037797,,,,,,,,,,,,,,,,20155,RENO
972754,1138008,2015500018220001001,181723.525528681697324,21600.000000000000000,72900.000000000000000,46800.000000000000000,51300.000000000000000,3600.000000000000000,115200.000000000000000,145800.000000000000000,12600.000000000000000,8100.000000000000000,,,,900.000000000000000,3136.000000000000000,21952.000000000000000,20155,RENO
972755,1138009,2015500004410001001,236310.934759516589111,9000.000000000000000,31500.000000000000000,13500.000000000000000,,,,,,21600.000000000000000,,,,14400.000000000000000,,,20155,RENO
972756,1138010,2015500000310001001,41869.292283797243726,44100.000000000000000,6300.000000000000000,32400.000000000000000,8100.000000000000000,26100.000000000000000,42300.000000000000000,,1800.000000000000000,39600.000000000000000,9900.000000000000000,900.000000000000000,,,,3136.000000000000000,20155,RENO
972757,1138011,2015500003510002001,72115.272607404927840,26100.000000000000000,900.000000000000000,24300.000000000000000,,54000.000000000000000,,,900.000000000000000,,,,,,,,20155,RENO
972758,1138012,2015500036770001001,142710.103021595277824,23400.000000000000000,94500.000000000000000,135900.000000000000000,4500.000000000000000,48600.000000000000000,,,,,71100.000000000000000,91800.000000000000000,86400.000000000000000,16200.000000000000000,75264.000000000000000,3136.000000000000000,20155,RENO
972759,1138013,2015500303030002001,203664.923977082071360,900.000000000000000,,,,,,,,,3600.000000000000000,,,,,,20155,RENO
972760,1138014,2015500022870001001,132366.426717592781642,4500.000000000000000,9900.000000000000000,21600.000000000000000,9900.000000000000000,1800.000000000000000,5400.000000000000000,11700.000000000000000,10800.000000000000000,43200.000000000000000,6300.000000000000000,90000.000000000000000,22500.000000000000000,56700.000000000000000,,15680.000000000000000,20155,RENO
972761,1138015,2015500023750001001,282240.347558607289102,2700.000000000000000,30600.000000000000000,112500.000000000000000,249300.000000000000000,900.000000000000000,81900.000000000000000,6300.000000000000000,16200.000000000000000,5400.000000000000000,187200.000000000000000,9900.000000000000000,31500.000000000000000,18900.000000000000000,178752.000000000000000,43904.000000000000000,20155,RENO
972762,1138016,2015500016810001001,382960.178803891874850,1800.000000000000000,9900.000000000000000,33300.000000000000000,49500.000000000000000,,3600.000000000000000,,,28800.000000000000000,49500.000000000000000,42300.000000000000000,4500.000000000000000,10800.000000000000000,,65856.000000000000000,20155,RENO
972763,1138017,2015500018210005001,168715.981904716900317,18000.000000000000000,40500.000000000000000,85500.000000000000000,42300.000000000000000,,3600.000000000000000,79200.000000000000000,,,900.000000000000000,124200.000000000000000,59400.000000000000000,6300.000000000000000,,,20155,RENO
972764,1138018,2015500003050001001,281099.468611683812924,282600.000000000000000,,1800.000000000000000,,,,239400.000000000000000,,,149400.000000000000000,240300.000000000000000,,,59584.000000000000000,,20155,RENO
972765,1138019,2015500310160002001,100489.545934194975416,3600.000000000000000,23400.000000000000000,1800.000000000000000,64800.000000000000000,55800.000000000000000,6300.000000000000000,8100.000000000000000,6300.000000000000000,9000.000000000000000,1800.000000000000000,1800.000000000000000,2700.000000000000000,,6272.000000000000000,3136.000000000000000,20155,RENO
972766,1138020,2015500000370001001,274270.855912879342213,24300.000000000000000,58500.000000000000000,31500.000000000000000,135000.000000000000000,3600.000000000000000,,,20700.000000000000000,39600.000000000000000,36000.000000000000000,48600.000000000000000,12600.000000000000000,,,,20155,RENO
972767,1138021,2015500000600002001,428649.213280177966226,12600.000000000000000,23400.000000000000000,5400.000000000000000,131400.000000000000000,,900.000000000000000,7200.000000000000000,30600.000000000000000,19800.000000000000000,39600.000000000000000,900.000000000000000,,,3136.000000000000000,9408.000000000000000,20155,RENO
972768,1138022,2015500304010001001,150495.216555032035103,129600.000000000000000,3600.000000000000000,116100.000000000000000,,,,,,,900.000000000000000,108000.000000000000000,135000.000000000000000,137700.000000000000000,9408.000000000000000,37632.000000000000000,20155,RENO
972769,1138023,2015500289730001001,62705.771202651070780,,,68400.000000000000000,20700.000000000000000,,51300.000000000000000,,60300.000000000000000,,,,,,,,20155,RENO
972770,1138024,2015500000410001001,128174.447541536501376,63900.000000000000000,1800.000000000000000,3600.000000000000000,16200.000000000000000,68400.000000000000000,44100.000000000000000,,,,,6300.000000000000000,,,,34496.000000000000000,20155,RENO
972771,1138025,2015500019120001001,189065.377101330785081,11700.000000000000000,50400.000000000000000,177300.000000000000000,,,,,900.000000000000000,,1800.000000000000000,,,,,3136.000000000000000,20155,RENO
972772,1138026,2015500000410004001,175907.200377132568974,168300.000000000000000,900.000000000000000,900.000000000000000,,161100.000000000000000,163800.000000000000000,,,156600.000000000000000,57600.000000000000000,41400.000000000000000,1800.000000000000000,,,,20155,RENO
972773,1138027,2015500000410005001,64555.259404984957655,61200.000000000000000,,1800.000000000000000,,51300.000000000000000,58500.000000000000000,,,,900.000000000000000,900.000000000000000,,,,,20155,RENO
