,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
57796,64593,2016100200270232001,11785.957929233722098,7200.000000000000000,,7200.000000000000000,7200.000000000000000,1800.000000000000000,,,,,8100.000000000000000,,,,,,20161,RILEY
58006,64835,2016100200270135001,50736.218956174961932,,49500.000000000000000,,,,49500.000000000000000,16200.000000000000000,39600.000000000000000,,,,,48600.000000000000000,,,20161,RILEY
58028,64861,2016100200270094001,51583.827253632276552,9900.000000000000000,,,,,36900.000000000000000,,36900.000000000000000,,,52200.000000000000000,44100.000000000000000,,,47040.000000000000000,20161,RILEY
58041,64875,2016100200270139001,44567.173759780002001,,,,,,,,,,,,,,,,20161,RILEY
58128,64975,2016100200270125001,133519.872686915186932,118800.000000000000000,122400.000000000000000,,900.000000000000000,128700.000000000000000,,900.000000000000000,126000.000000000000000,900.000000000000000,122400.000000000000000,,123300.000000000000000,,9408.000000000000000,,20161,RILEY
58152,65002,2016100200270149001,109171.627975130060804,110700.000000000000000,8100.000000000000000,19800.000000000000000,101700.000000000000000,98100.000000000000000,102600.000000000000000,89100.000000000000000,90900.000000000000000,,100800.000000000000000,,94500.000000000000000,,62720.000000000000000,,20161,RILEY
58226,65083,2016100200270135002,129886.985027608578093,121500.000000000000000,2700.000000000000000,39600.000000000000000,24300.000000000000000,37800.000000000000000,,27000.000000000000000,,39600.000000000000000,38700.000000000000000,45000.000000000000000,40500.000000000000000,23400.000000000000000,,,20161,RILEY
58292,65160,2016100200270173002,36793.062888401378586,900.000000000000000,1800.000000000000000,,36900.000000000000000,,36900.000000000000000,6300.000000000000000,25200.000000000000000,3600.000000000000000,3600.000000000000000,,,,,,20161,RILEY
58316,65189,2016100200270218001,47660.743350834563898,,,,,,,,,,,,,,,,20161,RILEY
58480,65375,2016100200270064001,9612.803945797717461,900.000000000000000,900.000000000000000,2700.000000000000000,900.000000000000000,,900.000000000000000,,,,,,,,3136.000000000000000,,20161,RILEY
58495,65392,2016100200270186001,38862.136224708934606,12600.000000000000000,,8100.000000000000000,,1800.000000000000000,,6300.000000000000000,9000.000000000000000,,23400.000000000000000,18900.000000000000000,18000.000000000000000,,,,20161,RILEY
