,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
13717,16095,2016500041710002001,362374.615374287473969,4500.000000000000000,,19800.000000000000000,,,,,,,5400.000000000000000,11700.000000000000000,,29700.000000000000000,34496.000000000000000,,20165,RUSH
13725,16103,2016520009800001001,14588.097158785762076,10800.000000000000000,,,,,,,,,,,,,,,20165,RUSH
13783,16165,2016520009420001001,279990.414484253968112,30600.000000000000000,6300.000000000000000,,,,,4500.000000000000000,,,,900.000000000000000,,,,,20165,RUSH
13807,16189,2016520009370002001,16294.387049445598677,,9900.000000000000000,,11700.000000000000000,,2700.000000000000000,,,,900.000000000000000,16200.000000000000000,,,,,20165,RUSH
13979,16366,2016520009110001001,277240.032916010415647,,1800.000000000000000,,900.000000000000000,,,900.000000000000000,,,900.000000000000000,,18000.000000000000000,81000.000000000000000,,,20165,RUSH
14173,16561,2016520009240003001,193751.419649775576545,900.000000000000000,,1800.000000000000000,91800.000000000000000,,,,,,,,,,,,20165,RUSH
14264,16655,2016520009330010001,18395.507321214594413,,,,,,,,,,,,,,,,20165,RUSH
14289,16680,2016520009300008001,315221.699103449762333,,2700.000000000000000,900.000000000000000,,,,131400.000000000000000,,,172800.000000000000000,,,5400.000000000000000,,,20165,RUSH
14518,16914,2016502000930001001,70619.934440825512866,,,,,,,,,,,,,,,,20165,RUSH
14541,16937,2016520009130002001,167411.887529237545095,,,,,,,,,,,,,,,,20165,RUSH
14640,17039,2016520009410001001,116290.977681183372624,,900.000000000000000,900.000000000000000,,,1800.000000000000000,,,,,,,900.000000000000000,,,20165,RUSH
14856,17259,2016520009270001001,97637.344218973332318,,,,46800.000000000000000,,,,,,,,,,,,20165,RUSH
15124,17534,2016520009640002001,279225.577006898471154,,,,,,,3600.000000000000000,,,67500.000000000000000,,,,,,20165,RUSH
15166,17577,2016520009140001001,507762.859034713124856,900.000000000000000,1800.000000000000000,,,,,,,,,,,,,,20165,RUSH
15219,17632,2016520009380001001,196724.320154438493773,,18900.000000000000000,,11700.000000000000000,,,,,120600.000000000000000,,900.000000000000000,,4500.000000000000000,,100352.000000000000000,20165,RUSH
15266,17679,2016520009370002002,40444.098921226745006,,,1800.000000000000000,18000.000000000000000,,,900.000000000000000,,,,34200.000000000000000,,,,,20165,RUSH
15267,17680,2016520009130003001,213300.079199453874025,,,,,,,,,,,,,,,,20165,RUSH
