,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
594315,703125,2017700013630009001,23101.241554817879660,,,,,,,,,,900.000000000000000,,,,,,20177,SHAWNEE
858299,1007137,2017700105090005001,6944.124848315745112,,,,,,,,,,,,,,,,20177,SHAWNEE
858300,1007138,2017700103210007001,54382.133932872420701,,,,,,,,,,,900.000000000000000,,,,,20177,SHAWNEE
858301,1007139,2017700110110006001,12116.899111731692756,,,,,,,,,,,,,,,,20177,SHAWNEE
858302,1007140,2017702008510001001,232320.981745130819036,216900.000000000000000,152100.000000000000000,142200.000000000000000,63000.000000000000000,,115200.000000000000000,,56700.000000000000000,3600.000000000000000,53100.000000000000000,1800.000000000000000,205200.000000000000000,124200.000000000000000,9408.000000000000000,194432.000000000000000,20177,SHAWNEE
858303,1007141,2017700103210018001,27683.746450565242412,,,,,,,,,,,,,,,,20177,SHAWNEE
858304,1007142,2017702008510002001,242609.618934306403389,900.000000000000000,241200.000000000000000,1800.000000000000000,243900.000000000000000,,,9000.000000000000000,,3600.000000000000000,234900.000000000000000,,,235800.000000000000000,,228928.000000000000000,20177,SHAWNEE
858305,1007143,2017700000230001001,67941.283876278030220,,57600.000000000000000,,37800.000000000000000,900.000000000000000,45000.000000000000000,,33300.000000000000000,,39600.000000000000000,,,31500.000000000000000,31360.000000000000000,6272.000000000000000,20177,SHAWNEE
858306,1007144,2017702008510004001,10000.345939801778513,,6300.000000000000000,3600.000000000000000,9900.000000000000000,,,,,,9000.000000000000000,,,8100.000000000000000,,3136.000000000000000,20177,SHAWNEE
858307,1007145,2017700001320001001,116875.754415311879711,7200.000000000000000,105300.000000000000000,7200.000000000000000,101700.000000000000000,900.000000000000000,102600.000000000000000,7200.000000000000000,92700.000000000000000,2700.000000000000000,102600.000000000000000,17100.000000000000000,102600.000000000000000,12600.000000000000000,97216.000000000000000,12544.000000000000000,20177,SHAWNEE
858308,1007146,2017700000600004001,14839.841871675662333,,14400.000000000000000,,11700.000000000000000,,12600.000000000000000,,12600.000000000000000,8100.000000000000000,4500.000000000000000,8100.000000000000000,3600.000000000000000,2700.000000000000000,,,20177,SHAWNEE
858309,1007147,2017700000600011001,13913.464322288082258,,1800.000000000000000,,9000.000000000000000,,9000.000000000000000,,5400.000000000000000,4500.000000000000000,5400.000000000000000,10800.000000000000000,,,,,20177,SHAWNEE
858310,1007148,2017700102710002001,98003.647739149600966,91800.000000000000000,94500.000000000000000,90000.000000000000000,,,91800.000000000000000,,82800.000000000000000,,89100.000000000000000,,91800.000000000000000,,84672.000000000000000,6272.000000000000000,20177,SHAWNEE
858311,1007149,2017702014950003001,66150.061291372010601,900.000000000000000,,,,,,,,,,,,,,,20177,SHAWNEE
858312,1007150,2017700000600006001,115937.321055104795960,,,,,,,,2700.000000000000000,,1800.000000000000000,,,,,,20177,SHAWNEE
858313,1007151,2017700000600003001,39714.991477835115802,36000.000000000000000,,36900.000000000000000,,15300.000000000000000,,31500.000000000000000,36000.000000000000000,30600.000000000000000,37800.000000000000000,,36000.000000000000000,1800.000000000000000,,25088.000000000000000,20177,SHAWNEE
858314,1007152,2017700105100011001,8174.858823101177222,,,,,,,,,,,,,,,,20177,SHAWNEE
858315,1007153,2017702014950004001,57204.577166722323454,,,,,,,,,,,,,,,,20177,SHAWNEE
858316,1007154,2017700114650002001,85922.139984203153290,15300.000000000000000,12600.000000000000000,55800.000000000000000,14400.000000000000000,30600.000000000000000,,1800.000000000000000,,,,,,,,,20177,SHAWNEE
858317,1007155,2017700001390001001,218132.423261435789755,76500.000000000000000,13500.000000000000000,200700.000000000000000,90000.000000000000000,198900.000000000000000,,192600.000000000000000,,194400.000000000000000,,900.000000000000000,,,,,20177,SHAWNEE
858318,1007156,2017700000620009001,7663.459709095785001,3600.000000000000000,3600.000000000000000,4500.000000000000000,4500.000000000000000,1800.000000000000000,4500.000000000000000,,4500.000000000000000,,1800.000000000000000,,2700.000000000000000,,3136.000000000000000,,20177,SHAWNEE
858319,1007157,2017700001390004001,8282.435134259552797,,,,,,,,,,,,,,,,20177,SHAWNEE
858320,1007158,2017700017780001001,6397.067877125522500,5400.000000000000000,,3600.000000000000000,,2700.000000000000000,,2700.000000000000000,,1800.000000000000000,,,3600.000000000000000,1800.000000000000000,,,20177,SHAWNEE
