,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
160818,177713,2019320109610001001,261221.134040559438290,,,,,,,,,,,,,,,,20193,THOMAS
160819,177715,2019320109570001001,30235.288763294847740,,,,,,,,,,,1800.000000000000000,,,,,20193,THOMAS
160857,177753,2019320109720001001,326279.908074851962738,,,,,,,,,,,,,,,,20193,THOMAS
160902,177799,2019320109670055001,600292.444250897970051,,,,,,,,,,,,,,,,20193,THOMAS
160909,177806,2019320109680026001,47681.447906478737423,,,,,,,,,,,,,,,,20193,THOMAS
160919,177816,2019320109290059001,1244247.147146261064336,,,,,,,,,,,,,,,,20193,THOMAS
160921,177818,2019320109270058001,1252725.732665172778070,,,,,,,,,,,,,,,,20193,THOMAS
160949,177846,2019320109280002001,536472.833756081177853,,,,,,,,,,,,,,,,20193,THOMAS
160975,177872,2019320109510001001,237666.645120713015785,,,,,,,,,,,900.000000000000000,,,,,20193,THOMAS
161008,177905,2019302010980046001,408972.579767361748964,,,,,,,,,,,,900.000000000000000,,,,20193,THOMAS
161024,177921,2019320109570001002,744507.665577770094387,900.000000000000000,,,,,102600.000000000000000,,,,,900.000000000000000,,,,,20193,THOMAS
161070,177967,2019320109270058002,1257229.281769397901371,,,,,,,,,,,,,30600.000000000000000,,,20193,THOMAS
161112,178009,2019320109160042001,418039.330906684277579,,,,,,,,,,,,,,,,20193,THOMAS
161130,178027,2019320109360001001,1250560.862252606544644,,,,,,,900.000000000000000,,,,,,,,,20193,THOMAS
161195,178092,2019320109720001002,321903.198501940176357,,,,,,,,,,,,,,,,20193,THOMAS
161313,178212,2019320109520010001,83465.987490563828032,,,,,,,,,,,,,,,,20193,THOMAS
161403,178305,2019320109710002001,328599.812289254623465,,,,,,,,,,,,,,,,20193,THOMAS
161415,178317,2019320109430003001,644575.568739286274649,,,,,,,,,,,,,,,,20193,THOMAS
161432,178334,2019320109520010002,314249.078915006073657,,,,,,,,,,,,,,,,20193,THOMAS
161476,178379,2019320109540001001,636988.992858078447171,,,,,,,,,,,,,,,,20193,THOMAS
161520,178423,2019320109340001001,316035.068862964282744,,,,,,,,,,,,,,,,20193,THOMAS
161674,178578,2019320109900003001,48785.538939383390243,,,,,,,,,,,900.000000000000000,,,,,20193,THOMAS
161675,178579,2019320109920031001,44817.218855726394395,,,,,,,,,,,,,,,,20193,THOMAS
161683,178587,2019320109420003001,1391621.064171172911301,,,,,,,,,,,,,5400.000000000000000,,,20193,THOMAS
161719,178623,2019320109660001001,154806.854387443949236,,,,,,,,,,,3600.000000000000000,,,,,20193,THOMAS
161739,178643,2019320109610002001,774209.931783750536852,,,,,,,,,,,,,,,,20193,THOMAS
161765,178669,2019320109470056001,44927.553829890370253,,,,,,,,,,,,,,,,20193,THOMAS
161771,178675,2019320109120001001,648886.922375074005686,,,,,,,,,,,,,,,,20193,THOMAS
161772,178676,2019320109470056002,542576.410211418638937,,,,,,,,,,,2700.000000000000000,,900.000000000000000,,,20193,THOMAS
161778,178682,2019320109520010003,246201.770622367883334,,,,,,,,,,,,,,,,20193,THOMAS
161780,178684,2019320109900005001,18796.903910303532030,,,,,,,,,,,,,,,,20193,THOMAS
161782,178686,2019320109380003002,662973.016209388617426,,,,,,,,,,,,,,,,20193,THOMAS
161796,178700,2019320109480001001,440658.905449345766101,,,,,,,,,,,7200.000000000000000,,,,,20193,THOMAS
161800,178704,2019320109640001001,1299835.982259906362742,,,,,,,,,,,,,,,,20193,THOMAS
161804,178708,2019320109460002001,106624.371761996138957,,,,,,,,,,,,,,,,20193,THOMAS
161808,178713,2019320109830001001,287520.896392469760031,,,,,,,,,,,,,,,,20193,THOMAS
161831,178736,2019320109570001003,39112.043873342794541,,,2700.000000000000000,,,,,,,,900.000000000000000,,,,,20193,THOMAS
161849,178754,2019320109380003003,623746.672052482375875,,,,,,,900.000000000000000,,,,,,,,,20193,THOMAS
161879,178784,2019320109610054001,34009.896802731069329,,,,,,,,,,,,,,,,20193,THOMAS
161893,178798,2019320109110002001,640522.018630234175362,,,,,,,,,,,,,,,,20193,THOMAS
161930,178835,2019320109350001001,633512.063318294938654,,,,,,,,,,,,,1800.000000000000000,,,20193,THOMAS
161947,178852,2019320109240001001,315588.268332777079195,,,,,,,,,,900.000000000000000,,,,,,20193,THOMAS
161955,178860,2019320109510001002,34807.751733734694426,,,,,,,,,,,,,2700.000000000000000,,,20193,THOMAS
161990,178895,2019320109160042002,45525.788449629653769,,,,,,,,,,,,,,,,20193,THOMAS
161992,178897,2019320109310040001,123909.127543731825426,,,,,,,,,,,,,,,,20193,THOMAS
162064,178970,2019320109200001001,636693.910866945749149,,,,,,,,,,,,,,,,20193,THOMAS
162065,178971,2019320109230001001,634601.826121918740682,,,,,,,,,,,3600.000000000000000,,,,,20193,THOMAS
162077,178983,2019320109420002001,322995.516227173910011,,,,,,,,,,,,,,,,20193,THOMAS
162103,179009,2019320109290059002,46333.486083998948743,,,,,,,,,,,,,,,,20193,THOMAS
162107,179013,2019320109820054001,493967.331944911100436,,,2700.000000000000000,,,,,,,,,,,,,20193,THOMAS
162108,179014,2019320109880003001,263477.541627642931417,,,,,,,,,,,,,,,,20193,THOMAS
162131,179037,2019320109170001001,949519.546285756397992,,,,,,,,,,,,,,,,20193,THOMAS
162137,179044,2019320109590044001,109835.579254490789026,900.000000000000000,,,,,,900.000000000000000,,900.000000000000000,,,,34200.000000000000000,,,20193,THOMAS
162156,179063,2019320109900008001,8133.911909477964400,,,,,,,,,,,,,,,,20193,THOMAS
162167,179074,2019320109920030001,183642.829332354100188,,,2700.000000000000000,,,,,,,,,,,,,20193,THOMAS
162174,179081,2019320109610002002,267626.662796268472448,,,,,,,,,,,900.000000000000000,,,,,20193,THOMAS
162183,179090,2019302010930002001,631078.441504855756648,,,,,,,,,,,,,,,,20193,THOMAS
162197,179104,2019320109860001001,597856.569908653851599,,,,,,,,,,,,,,,,20193,THOMAS
162218,179126,2019320109830051001,48040.779634620572324,,,,,,,,,,,,,,,,20193,THOMAS
