,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
73755,82925,2019502005170003001,17208.081668144124706,,,,,,900.000000000000000,,,,,,,,,,20195,TREGO
73817,82988,2019502005150002001,155132.260057855542982,,,,,,,,,,,,,,,,20195,TREGO
73975,83156,2019520051420001001,602685.549192083417438,900.000000000000000,5400.000000000000000,,,,,,,,,,7200.000000000000000,,3136.000000000000000,,20195,TREGO
73984,83166,2019520051220002001,202536.101413917378522,,,,,,,,,,,,,,,,20195,TREGO
74155,83354,2019520051360002001,171663.120066923322156,,,900.000000000000000,,,,,,,,,,,,,20195,TREGO
74331,83539,2019520051130004001,7701.872424498352302,,,,,,900.000000000000000,,,,,,,,,,20195,TREGO
74505,83723,2019520151170001001,102094.316034748204402,,,,,,,,,,,,,,,,20195,TREGO
74588,83815,2019502005170002001,107807.441549096329254,,,,,,,,,,,,,,,,20195,TREGO
74922,84169,2019520051430001002,337717.455266807752196,,,,,,,,900.000000000000000,,,3600.000000000000000,,,,,20195,TREGO
74927,84174,2019520051220003001,58160.805328081652988,,,,,,,,,,,,,,,,20195,TREGO
75055,84315,2019520051430001003,144419.780058223055676,,900.000000000000000,,,,900.000000000000000,,,3600.000000000000000,,900.000000000000000,,,,,20195,TREGO
75171,84440,2019520051130002001,47143.928538445805316,,,,,,7200.000000000000000,,,,,900.000000000000000,,,,,20195,TREGO
75202,84473,2019502005180001001,198585.622144326043781,,,,,,,,3600.000000000000000,,,,,,,,20195,TREGO
75312,84589,2019520051310001001,56548.373667678133643,,,,,,,,,,,,,,,,20195,TREGO
75380,84660,2019520051430004001,9320.743774211849086,,,,,,,,,,,2700.000000000000000,,,,,20195,TREGO
75402,84683,2019520051270002001,7236.568270066467448,,,,,,,,,,,,,,,,20195,TREGO
75509,84800,2019502005160001001,153014.318846104608383,,,,900.000000000000000,,,,5400.000000000000000,,,900.000000000000000,,,,,20195,TREGO
75641,85011,2019520051230001001,47427.064972163010680,,,,,,,,,,,,,,,,20195,TREGO
75744,85121,2019520051430001004,112163.329991785663879,,,,,,,,,,,3600.000000000000000,,,,,20195,TREGO
75931,85323,2019502005160001003,170561.676346176362131,,,,,,,,63000.000000000000000,,,9900.000000000000000,,,,,20195,TREGO
76184,85589,2019520051260001001,105761.612486768164672,,,,,,,,,2700.000000000000000,14400.000000000000000,,,,,,20195,TREGO
76299,85710,2019520051230001002,126928.565538249589736,,,,,,,,,,,,,,,,20195,TREGO
76370,85786,2019520051360001001,375910.224262208561413,,,,,,,,,,,,,,,,20195,TREGO
76517,85948,2019520051110001002,311996.149930520157795,,,,,,,1800.000000000000000,,,,41400.000000000000000,,1800.000000000000000,,,20195,TREGO
76747,86195,2019520051240002001,97747.811598596235854,,,,,,,,,,,1800.000000000000000,,,,,20195,TREGO
77133,86617,2019520051330001001,228561.995828333136160,,,,,,,,,,,,,,,,20195,TREGO
77327,86824,2019502005190001003,162436.697812096448615,,,,,,,,,,,,,,,,20195,TREGO
77575,87093,2019520051220002002,136427.009893714479404,,,,,,,,,,,,,,,,20195,TREGO
77625,87145,2019520051250001001,468038.405483658192679,,,,,,,2700.000000000000000,,,,,,,,,20195,TREGO
77650,87171,2019502005170001001,132642.989417288103141,,,,,,,,,,,,,,,,20195,TREGO
77815,87345,2019520051190002001,6450.991617762701935,,,,,,,,,,,,,,,,20195,TREGO
77895,87428,2019502005160002001,9665.323667155505973,,,,,,,,,,,900.000000000000000,,,,,20195,TREGO
77944,87480,2019520051200003001,205598.166423420916544,,,,,,,,,,,,,1800.000000000000000,,,20195,TREGO
77963,87501,2019502005180001002,353756.887853223131970,,,,,,,,8100.000000000000000,,,,,,,,20195,TREGO
78062,87607,2019520051270001001,176465.236848804081092,1800.000000000000000,1800.000000000000000,,,,,,,,,,900.000000000000000,,,3136.000000000000000,20195,TREGO
78074,87622,2019520051120003001,25874.587216278592678,,,,,,,,,,,,,,,,20195,TREGO
78086,87634,2019520051240002002,216484.243643432273529,,,,,,,,,,900.000000000000000,,,,,,20195,TREGO
78206,87763,2019520051260001002,113096.971078364847926,,,,,,,,,,8100.000000000000000,,,,,,20195,TREGO
78276,87843,2019502005170001002,79214.129583082845784,,,,,,,,,,,,,,,,20195,TREGO
78428,88000,2019520051350001001,321097.463793683447875,,,,,,,900.000000000000000,,,,,,,,,20195,TREGO
78561,88141,2019502005170001003,61714.468166025551909,,,,,,,,,,,900.000000000000000,,,,,20195,TREGO
78672,88262,2019520051430001005,20765.989089126233011,,,,,,,,,,,,,,,,20195,TREGO
79085,88701,2019520051150001002,116654.169734900366166,,,,,,,,,1800.000000000000000,,,,,,,20195,TREGO
79260,88885,2019502005160001005,223920.117891163157765,,,,,,,,35100.000000000000000,,,2700.000000000000000,,,,,20195,TREGO
79406,89058,2019520051130001001,76714.992445895652054,,,,,,14400.000000000000000,,,,,1800.000000000000000,,,,,20195,TREGO
79546,89209,2019520051410003002,58673.821422511311539,,,,,,,,,,,,,,,,20195,TREGO
79597,89267,2019502005140001001,297220.676485626318026,,,,,,,,,,,,,,,,20195,TREGO
79769,89447,2019520051400001002,120778.164031246444210,,,,,,,,,,,,,,3136.000000000000000,,20195,TREGO
79789,89469,2019520051240001001,228084.041388039477170,,,,,,,,,,,,,,,,20195,TREGO
79797,89479,2019520051270003001,4483.514063228170016,,,,,,,,,,,,,,,,20195,TREGO
79859,89547,2019520051100003002,42698.500879201717908,,,,,,,,,,,,,,,,20195,TREGO
79898,89590,2019520051120001001,649962.215262834099121,,,,,,,,,,,,,,,,20195,TREGO
79935,89634,2019502005180001003,59643.260982978303218,,,,,,,,900.000000000000000,,,,,,,,20195,TREGO
79987,89689,2019520051380001001,124734.669774533875170,,,,,,,,,,,,,,,,20195,TREGO
80152,89872,2019520051410001001,197717.327985697600525,,,,,,,,,,,,6300.000000000000000,,,,20195,TREGO
80211,89936,2019502005140001002,10105.271274677525071,,,,,,,,,,900.000000000000000,,,,,,20195,TREGO
80351,90085,2019520051380001002,223010.725040792924119,,,,,,,,,,,,,,,,20195,TREGO
80536,90283,2019520051390001001,195558.985202195908641,,,,,,,,,,,,,,,,20195,TREGO
