,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
111404,123433,2020320071150001001,635604.273216013796628,,,,,,,,,,,,,,,,20203,WICHITA
111444,123473,2020320071360001001,39456.781459620688111,,,,,,,,,,,,,,,,20203,WICHITA
111501,123532,2020320071320004001,262595.220594828540925,,,,,,,,,,,,,,,,20203,WICHITA
111513,123544,2020320071360001002,505666.446607598976698,,,,,,,,,,,,2700.000000000000000,,,,20203,WICHITA
111517,123548,2020320071320004002,31853.409565564881632,,,,,,,,,,,,,,,,20203,WICHITA
111661,123692,2020320071210001001,591567.908931798185222,,,,,,,,,,,,,,,,20203,WICHITA
111748,123779,2020320071320004004,27843.111066204692179,,,,,,,,,,,,,,,,20203,WICHITA
111997,124030,2020302007190001001,1199472.042360952356830,,,,,,,,,,,,,,,,20203,WICHITA
112210,124243,2020302007190001003,318862.505753561330494,,,,,,,,,,,,,,,,20203,WICHITA
112411,124445,2020320071370001001,641866.935900129028596,,,,,,,,,,,,,,,,20203,WICHITA
112477,124511,2020320071320004005,40503.267273386001762,,,,,,,,,,,,,,,,20203,WICHITA
112494,124529,2020320071160003001,242155.584311153012095,,,,,,,,,,,,,,,,20203,WICHITA
112514,124549,2020300027900001001,321908.607262134901248,,,,,,,,,,,,,,,,20203,WICHITA
112531,124566,2020320071360001004,34707.457838174464996,,,,,,,,,,,,,,,,20203,WICHITA
112642,124678,2020320071280002001,642137.784823794616386,,,,,,,,,,,,,,,,20203,WICHITA
112689,124725,2020320071190001001,641229.211186471162364,,,,,,,,,,,,,,,,20203,WICHITA
112797,124833,2020320071300001001,646044.570079167373478,,,,,,,,,,,1800.000000000000000,,,,,20203,WICHITA
112804,124840,2020300027900001002,325735.306605267222039,,,,,,,,,,,,,,,,20203,WICHITA
112919,124956,2020320071120001001,649111.824047870002687,,,,,,,,,,,,,,,,20203,WICHITA
112959,124996,2020320071310001001,1207751.513171650469303,,,,,,,,,,,,,,,,20203,WICHITA
113093,125130,2020320071360001005,37329.952202407534060,,,,,,,,,,,,,,,,20203,WICHITA
113176,125213,2020320071360001006,33839.239685433116392,,,,,,,,,,,,900.000000000000000,,,,20203,WICHITA
113328,125365,2020320071230001001,644140.002018899889663,,,,,,,,,,,,,,,,20203,WICHITA
113333,125370,2020320071340004001,639604.558234378462657,,,,,,,,,,,,,,,,20203,WICHITA
113453,125490,2020320071140001001,664124.740329812397249,,,,,,,,,,,,,,,,20203,WICHITA
113471,125508,2020320071250001001,334387.712165172153618,,,,,,,,,,,,,,,,20203,WICHITA
113485,125522,2020320071130001001,655433.747691062628292,,,,,,,,,,,,,,,,20203,WICHITA
113507,125544,2020320071360001007,444683.348427449003793,,,,,,,,,,,1800.000000000000000,,,,,20203,WICHITA
113559,125614,2020320071360001008,38337.022805857617641,,,,,,,,,,,,,,,,20203,WICHITA
113597,125652,2020320071160003002,347235.092219316225965,,,,,,,,,,,900.000000000000000,,,,,20203,WICHITA
113684,125739,2020320071160003003,216553.467216771125095,,,,,,,,,,,,,,,,20203,WICHITA
113797,125852,2020320071160003004,373523.936455218819901,,,,,,,,,,,,1800.000000000000000,,,,20203,WICHITA
113841,125896,2020320071220001001,632677.838193027768284,,,,,,,,,,,,,,,,20203,WICHITA
113931,125986,2020302007130001001,656793.350774789112620,,,,,,,,,,,,,,,,20203,WICHITA
114067,126122,2020320071260002002,330472.969275738520082,,,,,,,,,,,,,,,,20203,WICHITA
114068,126123,2020302007130001002,636595.033104687696323,,,,,,,,,,,,,,,,20203,WICHITA
114151,126206,2020320071290001002,209329.513172609993489,,,,,,,,,,,,,,,,20203,WICHITA
114219,126274,2020320071290001003,195084.796434866526397,,,,,,,,,,,,,,,,20203,WICHITA
160739,177634,2020302010920002001,698749.587168995174579,,,,,,,,,,,,,,,,20203,WICHITA
160786,177681,2020320109120002001,685115.154405825072899,,,,,,,,,,,,,,,,20203,WICHITA
160863,177759,2020320109300001001,334558.605740059865639,,,,,,,,,,,,,,,,20203,WICHITA
160965,177862,2020320109160001001,217319.443228737072786,,,,,,,,,,,,,,,,20203,WICHITA
161139,178036,2020320109210002001,202597.745896461798111,,,,,,,,,,,,,,,,20203,WICHITA
161161,178058,2020320109270001001,1282073.729966617189348,,,,,,,,,,,,,,,,20203,WICHITA
161237,178134,2020320109140001001,213479.765222255984554,,,,,,,,,,,,,,,,20203,WICHITA
161256,178153,2020302010940001001,72062.361975092004286,,,,,,,,,,,,,,,,20203,WICHITA
161331,178230,2020302010930001001,218802.387937090010382,,,,,,,,,,,,,,,,20203,WICHITA
161381,178283,2020320109400001001,35071.103289131853671,,,,,,,,,,,,,,,,20203,WICHITA
161495,178398,2020320109390001001,36243.651778246770846,,,,,,,,,,,,,,,,20203,WICHITA
161538,178441,2020302010940001002,247263.879213189647999,,,,,,,,,,,,,,,,20203,WICHITA
161546,178449,2020302010940001003,246933.698577613016823,,,,,,,,,,1800.000000000000000,,,,,,20203,WICHITA
161672,178576,2020320109220004001,62921.610840666471631,,,,,,,,,,,,,,,,20203,WICHITA
161781,178685,2020320109390001002,505146.314850667142309,,,,,,,,,,,,,,,,20203,WICHITA
161802,178706,2020320109260002001,256878.668239564634860,,,,,,,,,,,,,,,,20203,WICHITA
161855,178760,2020320109400001002,69135.909728130311123,,,,,,,,,,,,,,,,20203,WICHITA
161962,178867,2020320109140001002,221508.126134272082709,,,,,,,,,,,,,,,,20203,WICHITA
161994,178899,2020320109320005001,1024054.377209621714428,,,,,,,,,,,,,,,,20203,WICHITA
162073,178979,2020320109200005001,2136360.250444075558335,,,,,,,,,,900.000000000000000,,,,,,20203,WICHITA
162184,179091,2020320109170001002,250942.897589167871047,,,,,,,,,,,900.000000000000000,,900.000000000000000,,,20203,WICHITA
162343,179254,2020320109390001004,73934.304276403039694,,,,,,,,,,,,,,,,20203,WICHITA
162370,179281,2020320109120002002,594427.591822655405849,,,,,,,,,,,,,,,,20203,WICHITA
162481,179393,2020300028530001001,529247.668441548943520,,,,,,,,,,,,,,,,20203,WICHITA
162496,179408,2020300028530002001,59130.000911663948500,,,,,,,,,,,,,,,,20203,WICHITA
162497,179409,2020302010950001001,1028189.376896533649415,,,,,,,,,,,,,,,,20203,WICHITA
162512,179424,2020320109310001001,1086098.276829053880647,,,,,,,,,,,,,2700.000000000000000,,,20203,WICHITA
162987,179906,2020320109400001004,500908.793176256353036,,,,,,,,,,,,,,,,20203,WICHITA
163028,179948,2020302010930001002,225662.976318209257443,,,,,,,,,,,900.000000000000000,,,,,20203,WICHITA
163192,180114,2020320109250002001,23492.792994470859412,,,,,,,,,,,,,,,,20203,WICHITA
163231,180154,2020320109160001003,212791.149462355388096,,,,,,,,,,,,,,3136.000000000000000,,20203,WICHITA
163690,180616,2020320109310001002,644366.763834965182468,,,,,,,,,,,,,,,,20203,WICHITA
163917,180843,2020302010940001004,84345.940990706265438,,,,,,,,,,4500.000000000000000,,,,,,20203,WICHITA
163935,180861,2020320109170001004,78364.222681655766792,,,,,,,,,,,,,,,,20203,WICHITA
