,UID,SCTFS,Shape_Area,AREA_2020,AREA_2019,AREA_2018,AREA_2017,AREA_2016,AREA_2015,AREA_2014,AREA_2013,AREA_2012,AREA_2011,AREA_2010,AREA_2009,AREA_2008,AREA_2007,AREA_2006,FIPSSTCO,County
184151,204431,2020520125370003001,56691.820851409254828,28800.000000000000000,,26100.000000000000000,,22500.000000000000000,,,,,,21600.000000000000000,,,,6272.000000000000000,20205,WILSON
184198,204479,2020520125220009001,75837.330989163529011,14400.000000000000000,1800.000000000000000,20700.000000000000000,4500.000000000000000,13500.000000000000000,,900.000000000000000,26100.000000000000000,1800.000000000000000,,900.000000000000000,27900.000000000000000,,3136.000000000000000,,20205,WILSON
184211,204495,2020520125220007001,118343.783256627386436,72900.000000000000000,,71100.000000000000000,71100.000000000000000,1800.000000000000000,,2700.000000000000000,10800.000000000000000,900.000000000000000,,,73800.000000000000000,,,,20205,WILSON
184258,204542,2020500124920004001,134851.856609170266893,108900.000000000000000,25200.000000000000000,105300.000000000000000,103500.000000000000000,,,900.000000000000000,900.000000000000000,,91800.000000000000000,,2700.000000000000000,,,81536.000000000000000,20205,WILSON
184398,204687,2020520125200004001,4153.636937880651203,5400.000000000000000,,5400.000000000000000,,5400.000000000000000,,,,,,5400.000000000000000,,,,,20205,WILSON
184427,204716,2020520125140002001,281302.747192633687519,268200.000000000000000,268200.000000000000000,,268200.000000000000000,268200.000000000000000,57600.000000000000000,,,,264600.000000000000000,,59400.000000000000000,264600.000000000000000,,3136.000000000000000,20205,WILSON
184485,204774,2020520125160001001,48815.779540847637691,,42300.000000000000000,,,37800.000000000000000,,,37800.000000000000000,5400.000000000000000,2700.000000000000000,34200.000000000000000,36900.000000000000000,,,21952.000000000000000,20205,WILSON
184714,205009,2020520125370002001,334697.326596946513746,333000.000000000000000,,326700.000000000000000,,326700.000000000000000,,,900.000000000000000,,,317700.000000000000000,,44100.000000000000000,,275968.000000000000000,20205,WILSON
184764,205059,2020520125210002001,44861.577939125010744,39600.000000000000000,900.000000000000000,36900.000000000000000,,35100.000000000000000,,,36900.000000000000000,,26100.000000000000000,,,,6272.000000000000000,3136.000000000000000,20205,WILSON
184859,205154,2020502012560002001,5204.522360432122696,1800.000000000000000,,1800.000000000000000,,,,,,,,,,,,,20205,WILSON
